Time [s];Range [m];Altitude [m];mode_name;TAS m/s];Mach [-];Ambient Temperature [K];Ambient Pressure [N/m^2];(8) Consumed Fuel [kg];Fuel Flow [kg/s];N_1 [-];St3_mass_flow [kg/s];St3_total_temperature [K];St3_static_temperature [K];St3_total_pressure [kPa];St3_mach [-];St4_fuel_air [-];EI CO2 [kg/kg];EI H2O [kg/kg];EI NOx [kg/kg];EI CO [kg/kg];EI HC [kg/kg];EI soot [kg/kg];EI SO2 [kg/kg];EI SO4 [kg/kg]
0.1776830105;0.04437667858;0;takeoff;0.4995039026;0.001467846794;288.15;101325;-0.3265941287;1.838071787;0.98;30.8224349;796.1059963;790.3718788;2908.250457;0.202752822;0.03345601836;3.149;1.2;0.02602803757;0.0005551212347;4.037857214e-05;1.690995337e-05;0.00084;0.0002;
0.3556979837;0.1777554393;0;takeoff;0.9990078052;0.002935693588;288.15;101325;-0.6538023486;1.838093808;0.98;30.82326413;796.1079925;790.3737577;2908.320913;0.202753644;0.03345563672;3.149;1.2;0.02602841068;0.0005551189372;4.037847291e-05;1.691075349e-05;0.00084;0.0002;
0.5340470974;0.4004706352;0;takeoff;1.498511708;0.004403540381;288.15;101325;-0.9816286779;1.83811583;0.98;30.82409337;796.1099888;790.3756365;2908.39137;0.202754466;0.03345525508;3.149;1.2;0.0260287838;0.0005551166399;4.037837368e-05;1.691155362e-05;0.00084;0.0002;
0.7127325473;0.7128599136;0;takeoff;1.99801561;0.005871387175;288.15;101325;-1.310077167;1.838137854;0.98;30.8249226;796.1119851;790.3775154;2908.461827;0.202755288;0.03345487344;3.149;1.2;0.02602915692;0.0005551143428;4.037827446e-05;1.691235375e-05;0.00084;0.0002;
0.8917565465;1.115264252;0;takeoff;2.497519513;0.007339233969;288.15;101325;-1.6391519;1.83815988;0.98;30.82575183;796.1139814;790.3793942;2908.532283;0.20275611;0.0334544918;3.149;1.2;0.02602953003;0.0005551120458;4.037817524e-05;1.691315387e-05;0.00084;0.0002;
1.071121326;1.608027993;0;takeoff;2.997023416;0.008807080763;288.15;101325;-1.968856993;1.838181907;0.98;30.82658107;796.1159776;790.3812731;2908.60274;0.202756932;0.03345411016;3.149;1.2;0.02602990314;0.000555109749;4.037807603e-05;1.6913954e-05;0.00084;0.0002;
1.250829136;2.191498883;0;takeoff;3.496527318;0.01027492756;288.15;101325;-2.299196597;1.838203936;0.98;30.8274103;796.1179739;790.3831519;2908.673197;0.202757754;0.03345372852;3.149;1.2;0.02603027625;0.0005551074523;4.037797682e-05;1.691475413e-05;0.00084;0.0002;
1.430882244;2.866028108;0;takeoff;3.996031221;0.01174277435;288.15;101325;-2.630174895;1.838225967;0.98;30.82823953;796.1199702;790.3850308;2908.743653;0.202758576;0.03345334688;3.149;1.2;0.02603064936;0.0005551051559;4.037787761e-05;1.691555425e-05;0.00084;0.0002;
1.611282935;3.631970329;0;takeoff;4.495535123;0.01321062114;288.15;101325;-2.961796105;1.838247999;0.98;30.82906877;796.1219664;790.3869096;2908.81411;0.2027593979;0.03345296524;3.149;1.2;0.02603102247;0.0005551028595;4.037777841e-05;1.691635437e-05;0.00084;0.0002;
1.792033517;4.489683725;0;takeoff;4.995039026;0.01467846794;288.15;101325;-3.294064482;1.838270033;0.98;30.829898;796.1239627;790.3887884;2908.884566;0.2027602199;0.0334525836;3.149;1.2;0.02603139558;0.0005551005634;4.037767921e-05;1.69171545e-05;0.00084;0.0002;
1.973136311;5.439530029;0;takeoff;5.494542929;0.01614631473;288.15;101325;-3.626984313;1.838292069;0.98;30.83072723;796.125959;790.3906673;2908.955023;0.2027610419;0.03345220196;3.149;1.2;0.02603176868;0.0005550982674;4.037758002e-05;1.691795461e-05;0.00084;0.0002;
2.154593663;6.481874567;0;takeoff;5.994046831;0.01761416153;288.15;101325;-3.960559923;1.838314107;0.98;30.83155647;796.1279553;790.3925461;2909.02548;0.2027618639;0.03345182032;3.149;1.2;0.02603214179;0.0005550959716;4.037748082e-05;1.691875473e-05;0.00084;0.0002;
2.336407935;7.617086297;0;takeoff;6.493550734;0.01908200832;288.15;101325;-4.294795671;1.838336146;0.98;30.8323857;796.1299515;790.394425;2909.095936;0.2027626859;0.03345143868;3.149;1.2;0.02603251489;0.000555093676;4.037738164e-05;1.691955485e-05;0.00084;0.0002;
2.51858151;8.845537854;0;takeoff;6.993054636;0.02054985511;288.15;101325;-4.629695954;1.838358187;0.98;30.83321493;796.1319478;790.3963038;2909.166393;0.2027635079;0.03345105704;3.149;1.2;0.02603288799;0.0005550913805;4.037728245e-05;1.692035497e-05;0.00084;0.0002;
2.701116791;10.16760559;0;takeoff;7.492558539;0.02201770191;288.15;101325;-4.965265205;1.83838023;0.98;30.83404417;796.1339441;790.3981827;2909.23685;0.2027643299;0.0334506754;3.149;1.2;0.02603326109;0.0005550890852;4.037718327e-05;1.692115508e-05;0.00084;0.0002;
2.8840162;11.5836696;0;takeoff;7.992062442;0.0234855487;288.15;101325;-5.301507894;1.838402274;0.98;30.8348734;796.1359403;790.4000615;2909.307306;0.2027651519;0.03345029376;3.149;1.2;0.02603363419;0.0005550867901;4.03770841e-05;1.69219552e-05;0.00084;0.0002;
3.06728218;13.09411379;0;takeoff;8.491566344;0.02495339549;288.15;101325;-5.63842853;1.83842432;0.98;30.83570263;796.1379366;790.4019403;2909.377763;0.2027659739;0.03344991212;3.149;1.2;0.02603400729;0.0005550844952;4.037698492e-05;1.692275531e-05;0.00084;0.0002;
3.250917196;14.69932592;0;takeoff;8.991070247;0.02642124229;288.15;101325;-5.976031658;1.838446368;0.98;30.83653187;796.1399329;790.4038192;2909.44822;0.2027667959;0.03344953048;3.149;1.2;0.02603438039;0.0005550822004;4.037688575e-05;1.692355542e-05;0.00084;0.0002;
3.434923733;16.39969761;0;takeoff;9.490574149;0.02788908908;288.15;101325;-6.314321865;1.838468418;0.98;30.8373611;796.1419292;790.405698;2909.518676;0.2027676179;0.03344914884;3.149;1.2;0.02603475348;0.0005550799058;4.037678659e-05;1.692435553e-05;0.00084;0.0002;
3.619304296;18.19562442;0;takeoff;9.990078052;0.02935693588;288.15;101325;-6.653303773;1.83849047;0.98;30.83819033;796.1439254;790.4075769;2909.589133;0.2027684399;0.0334487672;3.149;1.2;0.02603512657;0.0005550776113;4.037668743e-05;1.692515563e-05;0.00084;0.0002;
3.804061413;20.08750589;0;takeoff;10.48958195;0.03082478267;288.15;101325;-6.992982047;1.838512523;0.98;30.83901957;796.1459217;790.4094557;2909.65959;0.2027692619;0.03344838556;3.149;1.2;0.02603549967;0.000555075317;4.037658827e-05;1.692595574e-05;0.00084;0.0002;
3.989197633;22.07574558;0;takeoff;10.98908586;0.03229262946;288.15;101325;-7.333361389;1.838534579;0.98;30.8398488;796.147918;790.4113346;2909.730046;0.2027700839;0.03344800392;3.149;1.2;0.02603587276;0.0005550730229;4.037648912e-05;1.692675584e-05;0.00084;0.0002;
