Time [s]; Range [m]; Altitude [m]; FL [100 ft]; Mode name [-]; Total mass [kg]; Energy carrier (ID); Thrust [N]; Fuelflow [kg/s]; Fuel consumed (kerosene | ID = 0) [kg]; Energy consumed (kerosene | ID = 0) [J]; Mach [-]; CAS [m/s]; TAS [m/s]; TAS [kts]; ROC [fpm]; SAR [m/kg]; Aero Config [-]; C_L [-]; L over D [-]; Air Brake Factor [-]; Reynolds Number [-]; Engine Rating [-]; Engine N1 (PW1127G-JM | ID = 0) [-]; Engine N1 (PW1127G-JM | ID = 1) [-]; Shaft power offtake [W]; Bleed [kg/s]; Angle of attack [deg]; Glidepath angle [deg]; Incidence angle (stabilizer) [deg]
0; 0; 0; 0; takeoff; 76629.79342; kerosene (ID = 0); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; takeoff; 0; 0; 1; 0; takeoff; 0; 0; 0; 0; 0; 0; 0
0.1776830105; 0.04437667858; 0; 0; takeoff; 76629.46682; kerosene (ID = 0); 237765.7059; 1.838071787; -0.3265941287; -14076206.94; 0.001467846794; 0.4995039025; 0.4995039026; 0.9709579088; 0; 0; takeoff; 0.4; 9.289083237; 1; 144110.8219; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
0.3556979837; 0.1777554393; 0; 0; takeoff; 76629.13962; kerosene (ID = 0); 237364.097; 1.838093808; -0.6538023486; -28178881.22; 0.002935693588; 0.9990078052; 0.9990078052; 1.941915818; 0; 0; takeoff; 0.4; 9.289083237; 1; 288221.6438; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
0.5340470974; 0.4004706352; 0; 0; takeoff; 76628.81179; kerosene (ID = 0); 236962.4878; 1.83811583; -0.9816286779; -42308196.02; 0.004403540381; 1.498511708; 1.498511708; 2.912873726; 0; 0; takeoff; 0.4; 9.289083237; 1; 432332.4657; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
0.7127325473; 0.7128599136; 0; 0; takeoff; 76628.48334; kerosene (ID = 0); 236560.8784; 1.838137854; -1.310077167; -56464325.91; 0.005871387175; 1.99801561; 1.99801561; 3.883831635; 0; 0; takeoff; 0.4; 9.289083237; 1; 576443.2876; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
0.8917565465; 1.115264252; 0; 0; takeoff; 76628.15427; kerosene (ID = 0); 236159.2688; 1.83815988; -1.6391519; -70647446.91; 0.007339233969; 2.497519513; 2.497519513; 4.854789544; 0; 0; takeoff; 0.4; 9.289083237; 1; 720554.1095; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
1.071121326; 1.608027993; 0; 0; takeoff; 76627.82456; kerosene (ID = 0); 235757.659; 1.838181907; -1.968856993; -84857736.42; 0.008807080763; 2.997023416; 2.997023416; 5.825747453; 0; 0; takeoff; 0.4; 9.289083237; 1; 864664.9314; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
1.250829136; 2.191498883; 0; 0; takeoff; 76627.49422; kerosene (ID = 0); 235356.0489; 1.838203936; -2.299196597; -99095373.32; 0.01027492756; 3.496527318; 3.496527318; 6.796705362; 0; 0; takeoff; 0.4; 9.289083237; 1; 1008775.753; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
1.430882244; 2.866028108; 0; 0; takeoff; 76627.16324; kerosene (ID = 0); 234954.4387; 1.838225967; -2.630174895; -113360538; 0.01174277435; 3.996031221; 3.996031221; 7.76766327; 0; 0; takeoff; 0.4; 9.289083237; 1; 1152886.575; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
1.611282935; 3.631970329; 0; 0; takeoff; 76626.83162; kerosene (ID = 0); 234552.8282; 1.838247999; -2.961796105; -127653412.1; 0.01321062114; 4.495535123; 4.495535123; 8.738621179; 0; 0; takeoff; 0.4; 9.289083237; 1; 1296997.397; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
1.792033517; 4.489683725; 0; 0; takeoff; 76626.49935; kerosene (ID = 0); 234151.2176; 1.838270033; -3.294064482; -141974179.2; 0.01467846794; 4.995039026; 4.995039026; 9.709579088; 0; 0; takeoff; 0.4; 9.289083237; 1; 1441108.219; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
1.973136311; 5.439530029; 0; 0; takeoff; 76626.16643; kerosene (ID = 0); 233749.6067; 1.838292069; -3.626984313; -156323023.9; 0.01614631473; 5.494542929; 5.494542929; 10.680537; 0; 0; takeoff; 0.4; 9.289083237; 1; 1585219.041; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
2.154593663; 6.481874567; 0; 0; takeoff; 76625.83286; kerosene (ID = 0); 233347.9956; 1.838314107; -3.960559923; -170700132.7; 0.01761416153; 5.994046831; 5.994046831; 11.65149491; 0; 0; takeoff; 0.4; 9.289083237; 1; 1729329.863; takeoff; 0.98; 0.98; 90599.3514; 2.197380386; 0; 0; 0
