Time [s];Range [m];Altitude [m];mode_name;TAS m/s];Mach [-];Ambient Temperature [K];Ambient Pressure [N/m^2];(8) Consumed Fuel [kg];Fuel Flow [kg/s];N_1 [-];St3_mass_flow [kg/s];St3_total_temperature [K];St3_static_temperature [K];St3_total_pressure [kPa];St3_mach [-];St4_fuel_air [-];EI CO2 [kg/kg];EI H2O [kg/kg];EI NOx [kg/kg];EI CO [kg/kg];EI HC [kg/kg];EI soot [kg/kg];EI SO2 [kg/kg];EI SO4 [kg/kg]
0.1451364524;0.0362691298;0;takeoff;0.4997935282;0.00146869789;288.15;101325;-0.2667713487;1.838072685;0.98;30.82243538;796.1059974;790.3718799;2908.250497;0.2027528225;0.03345601814;3.149;1.2;0.02602803778;0.0005551212334;4.037857208e-05;1.690994569e-05;0.00084;0.0002;
0.2905395019;0.1452763845;0;takeoff;0.9995870565;0.002937395781;288.15;101325;-0.534035926;1.838094717;0.98;30.82326509;796.1079949;790.3737599;2908.320995;0.2027536449;0.03345563628;3.149;1.2;0.02602841112;0.0005551189346;4.03784728e-05;1.691074629e-05;0.00084;0.0002;
0.4362108813;0.3272904162;0;takeoff;1.499380585;0.004406093671;288.15;101325;-0.8017969285;1.838116751;0.98;30.82409481;796.1099923;790.3756398;2908.391492;0.2027544674;0.03345525442;3.149;1.2;0.02602878445;0.0005551166359;4.037837351e-05;1.691154689e-05;0.00084;0.0002;
0.5821523368;0.5825824985;0;takeoff;1.999174113;0.005874791561;288.15;101325;-1.070057579;1.838138787;0.98;30.82492452;796.1119897;790.3775197;2908.46199;0.2027552899;0.03345487255;3.149;1.2;0.02602915778;0.0005551143374;4.037827423e-05;1.691234749e-05;0.00084;0.0002;
0.7283656288;0.9114265554;0;takeoff;2.498967641;0.007343489452;288.15;101325;-1.338821124;1.838160824;0.98;30.82575424;796.1139871;790.3793997;2908.532487;0.2027561124;0.03345449069;3.149;1.2;0.02602953111;0.0005551120391;4.037817496e-05;1.691314809e-05;0.00084;0.0002;
0.8748525317;1.314099189;0;takeoff;2.998761169;0.008812187342;288.15;101325;-1.608090838;1.838182863;0.98;30.82658395;796.1159846;790.3812796;2908.602985;0.2027569348;0.03345410883;3.149;1.2;0.02602990444;0.000555109741;4.037807568e-05;1.691394869e-05;0.00084;0.0002;
1.021614834;1.790879707;0;takeoff;3.498554698;0.01028088523;288.15;101325;-1.877870022;1.838204904;0.98;30.82741366;796.117982;790.3831595;2908.673482;0.2027577573;0.03345372697;3.149;1.2;0.02603027777;0.000555107443;4.037797642e-05;1.691474929e-05;0.00084;0.0002;
1.168654339;2.342050154;0;takeoff;3.998348226;0.01174958312;288.15;101325;-2.148162003;1.838226946;0.98;30.82824338;796.1199794;790.3850395;2908.74398;0.2027585798;0.03345334511;3.149;1.2;0.02603065109;0.0005551051452;4.037787715e-05;1.691554989e-05;0.00084;0.0002;
1.315972865;2.967895342;0;takeoff;4.498141754;0.01321828101;288.15;101325;-2.418970133;1.83824899;0.98;30.82907309;796.1219769;790.3869194;2908.814477;0.2027594022;0.03345296325;3.149;1.2;0.02603102442;0.0005551028476;4.037777789e-05;1.691635049e-05;0.00084;0.0002;
1.463572243;3.668702874;0;takeoff;4.997935282;0.0146869789;288.15;101325;-2.690297795;1.838271035;0.98;30.82990281;796.1239743;790.3887993;2908.884975;0.2027602247;0.03345258139;3.149;1.2;0.02603139774;0.0005551005501;4.037767864e-05;1.691715109e-05;0.00084;0.0002;
1.611454321;4.444763182;0;takeoff;5.49772881;0.01615567679;288.15;101325;-2.962148396;1.838293083;0.98;30.83073252;796.1259717;790.3906793;2908.955472;0.2027610472;0.03345219952;3.149;1.2;0.02603177106;0.0005550982528;4.037757938e-05;1.691795168e-05;0.00084;0.0002;
1.759620961;5.296369555;0;takeoff;5.997522339;0.01762437468;288.15;101325;-3.234525373;1.838315132;0.98;30.83156224;796.1279691;790.3925592;2909.02597;0.2027618696;0.03345181766;3.149;1.2;0.02603214439;0.0005550959557;4.037748013e-05;1.691875227e-05;0.00084;0.0002;
1.908074042;6.223818167;0;takeoff;6.497315867;0.01909307257;288.15;101325;-3.507432191;1.838337183;0.98;30.83239195;796.1299666;790.3944391;2909.096467;0.2027626921;0.0334514358;3.149;1.2;0.0260325177;0.0005550936587;4.037738089e-05;1.691955287e-05;0.00084;0.0002;
2.056815456;7.227408114;0;takeoff;6.997109395;0.02056177046;288.15;101325;-3.780872343;1.838359235;0.98;30.83322166;796.131964;790.3963191;2909.166965;0.2027635146;0.03345105394;3.149;1.2;0.02603289102;0.0005550913619;4.037728165e-05;1.692035346e-05;0.00084;0.0002;
2.205847112;8.307441443;0;takeoff;7.496902923;0.02203046836;288.15;101325;-4.054849351;1.83838129;0.98;30.83405138;796.1339614;790.398199;2909.237462;0.2027643371;0.03345067208;3.149;1.2;0.02603326434;0.0005550890653;4.037718241e-05;1.692115405e-05;0.00084;0.0002;
2.355170935;9.464223186;0;takeoff;7.996696452;0.02349916625;288.15;101325;-4.329366766;1.838403346;0.98;30.83488109;796.1359589;790.4000789;2909.30796;0.2027651595;0.03345029022;3.149;1.2;0.02603363765;0.0005550867688;4.037708318e-05;1.692195464e-05;0.00084;0.0002;
