Time [s]; Range [m]; Altitude [m]; FL [100 ft]; Mode name [-]; Total mass [kg]; Energy carrier (ID); Thrust [N]; Fuelflow [kg/s]; Fuel consumed (kerosene | ID = 0) [kg]; Energy consumed (kerosene | ID = 0) [J]; Mach [-]; CAS [m/s]; TAS [m/s]; TAS [kts]; ROC [fpm]; SAR [m/kg]; Aero Config [-]; C_L [-]; L over D [-]; Air Brake Factor [-]; Reynolds Number [-]; Engine Rating [-]; Engine N1 (PW1127G-JM | ID = 0) [-]; Engine N1 (PW1127G-JM | ID = 1) [-]; Shaft power offtake [W]; Bleed [kg/s]; Angle of attack [deg]; Glidepath angle [deg]; Incidence angle (stabilizer) [deg]
0; 0; 0; 0; takeoff; 63664.70193; kerosene (ID = 0); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; takeoff; 0; 0; 1; 0; takeoff; 0; 0; 0; 0; 0; 0; 0
0.1451364524; 0.0362691298; 0; 0; takeoff; 63664.43516; kerosene (ID = 0); 237765.4731; 1.838072685; -0.2667713487; -11497845.13; 0.00146869789; 0.4997935283; 0.4997935282; 0.971520896; 0; 0; takeoff; 0.4; 9.289083237; 1; 144194.3812; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
0.2905395019; 0.1452763845; 0; 0; takeoff; 63664.1679; kerosene (ID = 0); 237363.6312; 1.838094717; -0.534035926; -23016948.41; 0.002937395781; 0.9995870565; 0.9995870565; 1.943041792; 0; 0; takeoff; 0.4; 9.289083237; 1; 288388.7624; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
0.4362108813; 0.3272904162; 0; 0; takeoff; 63663.90014; kerosene (ID = 0); 236961.7892; 1.838116751; -0.8017969285; -34557447.62; 0.004406093671; 1.499380585; 1.499380585; 2.914562688; 0; 0; takeoff; 0.4; 9.289083237; 1; 432583.1436; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
0.5821523368; 0.5825824985; 0; 0; takeoff; 63663.63188; kerosene (ID = 0); 236559.9469; 1.838138787; -1.070057579; -46119481.63; 0.005874791561; 1.999174113; 1.999174113; 3.886083584; 0; 0; takeoff; 0.4; 9.289083237; 1; 576777.5248; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
0.7283656288; 0.9114265554; 0; 0; takeoff; 63663.36311; kerosene (ID = 0); 236158.1045; 1.838160824; -1.338821124; -57703190.44; 0.007343489452; 2.498967641; 2.498967641; 4.85760448; 0; 0; takeoff; 0.4; 9.289083237; 1; 720971.9059; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
0.8748525317; 1.314099189; 0; 0; takeoff; 63663.09384; kerosene (ID = 0); 235756.2618; 1.838182863; -1.608090838; -69308715.13; 0.008812187342; 2.998761169; 2.998761169; 5.829125376; 0; 0; takeoff; 0.4; 9.289083237; 1; 865166.2871; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
1.021614834; 1.790879707; 0; 0; takeoff; 63662.82406; kerosene (ID = 0); 235354.4189; 1.838204904; -1.877870022; -80936197.96; 0.01028088523; 3.498554698; 3.498554698; 6.800646272; 0; 0; takeoff; 0.4; 9.289083237; 1; 1009360.668; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
1.168654339; 2.342050154; 0; 0; takeoff; 63662.55377; kerosene (ID = 0); 234952.5758; 1.838226946; -2.148162003; -92585782.32; 0.01174958312; 3.998348226; 3.998348226; 7.772167168; 0; 0; takeoff; 0.4; 9.289083237; 1; 1153555.05; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
1.315972865; 2.967895342; 0; 0; takeoff; 63662.28296; kerosene (ID = 0); 234550.7324; 1.83824899; -2.418970133; -104257612.7; 0.01321828101; 4.498141754; 4.498141754; 8.743688064; 0; 0; takeoff; 0.4; 9.289083237; 1; 1297749.431; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
1.463572243; 3.668702874; 0; 0; takeoff; 63662.01164; kerosene (ID = 0); 234148.8889; 1.838271035; -2.690297795; -115951834.9; 0.0146869789; 4.997935282; 4.997935282; 9.71520896; 0; 0; takeoff; 0.4; 9.289083237; 1; 1441943.812; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
1.611454321; 4.444763182; 0; 0; takeoff; 63661.73978; kerosene (ID = 0); 233747.0452; 1.838293083; -2.962148396; -127668595.9; 0.01615567679; 5.49772881; 5.49772881; 10.68672986; 0; 0; takeoff; 0.4; 9.289083237; 1; 1586138.193; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
1.759620961; 5.296369555; 0; 0; takeoff; 63661.46741; kerosene (ID = 0); 233345.2012; 1.838315132; -3.234525373; -139408043.6; 0.01762437468; 5.997522339; 5.997522339; 11.65825075; 0; 0; takeoff; 0.4; 9.289083237; 1; 1730332.574; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
1.908074042; 6.223818167; 0; 0; takeoff; 63661.1945; kerosene (ID = 0); 232943.357; 1.838337183; -3.507432191; -151170327.4; 0.01909307257; 6.497315867; 6.497315867; 12.62977165; 0; 0; takeoff; 0.4; 9.289083237; 1; 1874526.955; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
2.056815456; 7.227408114; 0; 0; takeoff; 63660.92106; kerosene (ID = 0); 232541.5127; 1.838359235; -3.780872343; -162955598; 0.02056177046; 6.997109395; 6.997109395; 13.60129254; 0; 0; takeoff; 0.4; 9.289083237; 1; 2018721.337; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
2.205847112; 8.307441443; 0; 0; takeoff; 63660.64708; kerosene (ID = 0); 232139.6681; 1.83838129; -4.054849351; -174764007; 0.02203046836; 7.496902923; 7.496902923; 14.57281344; 0; 0; takeoff; 0.4; 9.289083237; 1; 2162915.718; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
2.355170935; 9.464223186; 0; 0; takeoff; 63660.37257; kerosene (ID = 0); 231737.8233; 1.838403346; -4.329366766; -186595707.6; 0.02349916625; 7.996696452; 7.996696452; 15.54433434; 0; 0; takeoff; 0.4; 9.289083237; 1; 2307110.099; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
2.504788864; 10.69806139; 0; 0; takeoff; 63660.0975; kerosene (ID = 0); 231335.9783; 1.838425404; -4.604428169; -198450854.1; 0.02496786414; 8.49648998; 8.49648998; 16.51585523; 0; 0; takeoff; 0.4; 9.289083237; 1; 2451304.48; takeoff; 0.98; 0.98; 90619.15007; 2.197380386; 0; 0; 0
