# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/climate_model_climate_impact.csv
# (1) Year; (2) ATR Total [K]; (3) ATR CO2 [K]; (4) ATR CH4 [K]; (5) ATR O3L [K]; (6) ATR O3S [K]; (7) ATR H2O [K];  (8) ATR Soot [K]; (9) ATR SO4 [K]; (10) ATR AIC [K]; (11) Radiative Forcing Total [W/m^2]; (12) Radiative Forcing CO2 [W/m^2]; (13) Radiative Forcing CH4 [W/m^2]; (14) Radiative Forcing O3L [W/m^2]; (15) Radiative Forcing O3S [W/m^2]; (16) Radiative Forcing H2O [W/m^2]; (17) Radiative Forcing Soot [W/m^2]; (18) Radiative Forcing SO4 [W/m^2]; (19) Radiative Forcing AIC [W/m^2];  (20) Normalized Radiative Forcing Total [-]; (21) Normalized Radiative Forcing CO2 [-]; (22) Normalized Radiative Forcing CH4 [-]; (23) Normalized Radiative Forcing O3L [-]; (24) Normalized Radiative Forcing O3S [-]; (25)Normalized Radiative Forcing H2O [-]; (26) Normalized Radiative Forcing Soot [-]; (27) Normalized Radiative Forcing SO4 [-]; (28)Normalized Radiative Forcing AIC [-]; (29) AGWP Total [W/m^2]; (30) AGWP CO2 [W/m^2]; (31) AGWP CH4 [W/m^2]; (32) AGWP O3L [W/m^2]; (33) AGWP O3S [W/m^2]; (34) AGWP H2O [W/m^2]; (35) AGWP Soot [W/m^2]; (36) AGWP SO4 [W/m^2]; (37) AGWP AIC [W/m^2]; (38) Temperature Change Total [K]; (39) Temperature Change CO2 [K]; (40) Temperature Change CH4 [K]; (41) Temperature Change O3L [K]; (42) Temperature Change O3S [K]; (43) Temperature Change H2O [K]; (44) Temperature Change Soot [K]; (45) Temperature Change SO4 [K]; (46) Temperature Change AIC [K]; (47) Temperature Change Weighted Total [K]; (48) Temperature Change Weighted CO2 [K]; (49) Temperature Change Weighted CH4 [K]; (50) Temperature Change Weighted O3L[K]; (51) Temperature Change Weighted O3S [K]; (52) Temperature Change Weighted_H2O [K]; (53) Temperature Change Weighted Soot [K];  (54) Temperature Change Weighted SO4 [K]; (55) Temperature Change Weighted AIC [K]; (56) AGTP Total [K]; (57) AGTP CO2 [K]; (58) AGTP CH4 [K]; (59) AGTP O3L [K]; (60) AGTP O3S [K]; (61) AGTP H2O [K]; (62) AGTP Soot [K]; (63) AGTP SO4 [K]; (64) AGTP SO4 [K]; (65) Emissions per Year CO2 [kg]; (66) Emissions per Year NOx [kg]; (67) Emissions per Year H2O [kg]; (68) Emissions per Year Soot [kg]; (69) Emissions per Year SO4 [kg]; (70) Nautical Miles per Year for AIC [NMi];  
0; 1.95892e-06;3.92902e-07;-2.73875e-07;-7.45635e-08;6.95915e-07;3.22068e-08;1.37436e-08;-1.11636e-08;1.18375e-06;5.32023e-06;1.82865e-08;-2.43029e-08;-5.69894e-09;1.06222e-06;5.90772e-08;4.10563e-08;-2.59382e-08;4.19553e-06;1.07707e-06;4.94229e-09;-7.75066e-09;-2.11015e-09;3.93308e-07;1.82022e-08;7.7674e-09;-6.3093e-09;6.69017e-07;2.66011e-06;9.14323e-09;-1.21515e-08;-2.84947e-09;5.31109e-07;2.95386e-08;2.05281e-08;-1.29691e-08;2.09777e-06;1.16036e-07;5.3245e-10;-8.35006e-10;-2.27334e-10;4.23724e-08;1.96098e-09;8.36809e-10;-6.79723e-10;7.20756e-08;1.16036e-07;5.3245e-10;-8.35006e-10;-2.27334e-10;4.23724e-08;1.96098e-09;8.36809e-10;-6.79723e-10;7.20756e-08;1.16036e-07;5.3245e-10;-8.35006e-10;-2.27334e-10;4.23724e-08;1.96098e-09;8.36809e-10;-6.79723e-10;7.20756e-08;2.03183e+07;88978.9;7.74276e+06;91.6434;1290.46;1.2736e+06;
1; 1.95892e-06;3.92902e-07;-2.73875e-07;-7.45635e-08;6.95915e-07;3.22068e-08;1.37436e-08;-1.11636e-08;1.18375e-06;5.30862e-06;3.4283e-08;-4.66627e-08;-1.09422e-08;1.06222e-06;5.90772e-08;4.10563e-08;-2.59382e-08;4.19553e-06;1.07232e-06;9.26567e-09;-1.48816e-08;-4.05158e-09;3.93308e-07;1.82022e-08;7.7674e-09;-6.3093e-09;6.69017e-07;5.31443e-06;2.62847e-08;-3.54828e-08;-8.32058e-09;1.06222e-06;5.90772e-08;4.10563e-08;-2.59382e-08;4.19553e-06;2.18713e-07;1.47172e-09;-2.3458e-09;-6.38653e-10;8.00533e-08;3.70484e-09;1.58096e-09;-1.28419e-09;1.36171e-07;2.18713e-07;1.47172e-09;-2.3458e-09;-6.38653e-10;8.00533e-08;3.70484e-09;1.58096e-09;-1.28419e-09;1.36171e-07;3.34749e-07;2.00417e-09;-3.1808e-09;-8.65987e-10;1.22426e-07;5.66583e-09;2.41777e-09;-1.96391e-09;2.08246e-07;2.03183e+07;88978.9;7.74276e+06;91.6434;1290.46;1.2736e+06;
2; 1.95892e-06;3.92902e-07;-2.73875e-07;-7.45635e-08;6.95915e-07;3.22068e-08;1.37436e-08;-1.11636e-08;1.18375e-06;5.28645e-06;6.51071e-08;-8.95944e-08;-2.10095e-08;1.06222e-06;5.90772e-08;4.10563e-08;-2.59382e-08;4.19553e-06;1.06323e-06;1.75965e-08;-2.85733e-08;-7.77921e-09;3.93308e-07;1.82022e-08;7.7674e-09;-6.3093e-09;6.69017e-07;1.0612e-05;7.59798e-08;-1.03611e-07;-2.42964e-08;2.12444e-06;1.18154e-07;8.21125e-08;-5.18765e-08;8.39106e-06;4.11794e-07;4.09229e-09;-6.59024e-09;-1.79422e-09;1.5125e-07;6.9998e-09;2.98702e-09;-2.42629e-09;2.57276e-07;4.11794e-07;4.09229e-09;-6.59024e-09;-1.79422e-09;1.5125e-07;6.9998e-09;2.98702e-09;-2.42629e-09;2.57276e-07;7.46543e-07;6.09645e-09;-9.77105e-09;-2.66021e-09;2.73675e-07;1.26656e-08;5.40479e-09;-4.3902e-09;4.65522e-07;2.03183e+07;88978.9;7.74276e+06;91.6434;1290.46;1.2736e+06;
3; 1.95892e-06;3.92902e-07;-2.73875e-07;-7.45635e-08;6.95915e-07;3.22068e-08;1.37436e-08;-1.11636e-08;1.18375e-06;5.26666e-06;9.40847e-08;-1.29093e-07;-3.02719e-08;1.06222e-06;5.90772e-08;4.10563e-08;-2.59382e-08;4.19553e-06;1.05503e-06;2.54283e-08;-4.11703e-08;-1.12088e-08;3.93308e-07;1.82022e-08;7.7674e-09;-6.3093e-09;6.69017e-07;1.58885e-05;1.55576e-07;-2.12955e-07;-4.99372e-08;3.18665e-06;1.77232e-07;1.23169e-07;-7.78147e-08;1.25866e-05;5.81798e-07;8.06498e-09;-1.30342e-08;-3.54862e-09;2.14583e-07;9.93085e-09;4.23779e-09;-3.44227e-09;3.65006e-07;5.81798e-07;8.06498e-09;-1.30342e-08;-3.54862e-09;2.14583e-07;9.93085e-09;4.23779e-09;-3.44227e-09;3.65006e-07;1.32834e-06;1.41614e-08;-2.28053e-08;-6.20883e-09;4.88259e-07;2.25965e-08;9.64258e-09;-7.83247e-09;8.30529e-07;2.03183e+07;88978.9;7.74276e+06;91.6434;1290.46;1.2736e+06;
4; 1.95892e-06;3.92902e-07;-2.73875e-07;-7.45635e-08;6.95915e-07;3.22068e-08;1.37436e-08;-1.11636e-08;1.18375e-06;5.24964e-06;1.21927e-07;-1.65434e-07;-3.87937e-08;1.06222e-06;5.90772e-08;4.10563e-08;-2.59382e-08;4.19553e-06;1.04781e-06;3.29532e-08;-5.27602e-08;-1.43642e-08;3.93308e-07;1.82022e-08;7.7674e-09;-6.3093e-09;6.69017e-07;2.11467e-05;2.63581e-07;-3.60219e-07;-8.447e-08;4.24887e-06;2.36309e-07;1.64225e-07;-1.03753e-07;1.67821e-05;7.31502e-07;1.31598e-08;-2.12218e-08;-5.77771e-09;2.70936e-07;1.25388e-08;5.35069e-09;-4.34625e-09;4.60862e-07;7.31502e-07;1.31598e-08;-2.12218e-08;-5.77771e-09;2.70936e-07;1.25388e-08;5.35069e-09;-4.34625e-09;4.60862e-07;2.05984e-06;2.73212e-08;-4.4027e-08;-1.19865e-08;7.59194e-07;3.51353e-08;1.49933e-08;-1.21787e-08;1.29139e-06;2.03183e+07;88978.9;7.74276e+06;91.6434;1290.46;1.2736e+06;
5; 1.95892e-06;3.92902e-07;-2.73875e-07;-7.45635e-08;6.95915e-07;3.22068e-08;1.37436e-08;-1.11636e-08;1.18375e-06;5.2354e-06;1.48957e-07;-1.9887e-07;-4.66342e-08;1.06222e-06;5.90772e-08;4.10563e-08;-2.59382e-08;4.19553e-06;1.04155e-06;4.02585e-08;-6.34233e-08;-1.72672e-08;3.93308e-07;1.82022e-08;7.7674e-09;-6.3093e-09;6.69017e-07;2.63892e-05;3.99023e-07;-5.42371e-07;-1.27184e-07;5.31109e-06;2.95386e-07;2.05281e-07;-1.29691e-07;2.09777e-05;8.63377e-07;1.92002e-08;-3.07648e-08;-8.37583e-09;3.21091e-07;1.486e-08;6.34119e-09;-5.15082e-09;5.46176e-07;8.63377e-07;1.92002e-08;-3.07648e-08;-8.37583e-09;3.21091e-07;1.486e-08;6.34119e-09;-5.15082e-09;5.46176e-07;2.92322e-06;4.65215e-08;-7.47918e-08;-2.03624e-08;1.08029e-06;4.99953e-08;2.13345e-08;-1.73295e-08;1.83757e-06;2.03183e+07;88978.9;7.74276e+06;91.6434;1290.46;1.2736e+06;
6; 1.95892e-06;3.92902e-07;-2.73875e-07;-7.45635e-08;6.95915e-07;3.22068e-08;1.37436e-08;-1.11636e-08;1.18375e-06;5.22379e-06;1.75328e-07;-2.29632e-07;-5.38477e-08;1.06222e-06;5.90772e-08;4.10563e-08;-2.59382e-08;4.19553e-06;1.0362e-06;4.73859e-08;-7.32339e-08;-1.99382e-08;3.93308e-07;1.82022e-08;7.7674e-09;-6.3093e-09;6.69017e-07;3.16188e-05;5.61165e-07;-7.56622e-07;-1.77425e-07;6.37331e-06;3.54463e-07;2.46338e-07;-1.55629e-07;2.51732e-05;9.79611e-07;2.60423e-08;-4.1334e-08;-1.12533e-08;3.65743e-07;1.69265e-08;7.22303e-09;-5.86712e-09;6.2213e-07;9.79611e-07;2.60423e-08;-4.1334e-08;-1.12533e-08;3.65743e-07;1.69265e-08;7.22303e-09;-5.86712e-09;6.2213e-07;3.90283e-06;7.25638e-08;-1.16126e-07;-3.16157e-08;1.44603e-06;6.69218e-08;2.85575e-08;-2.31967e-08;2.4597e-06;2.03183e+07;88978.9;7.74276e+06;91.6434;1290.46;1.2736e+06;
7; 1.95892e-06;3.92902e-07;-2.73875e-07;-7.45635e-08;6.95915e-07;3.22068e-08;1.37436e-08;-1.11636e-08;1.18375e-06;5.21465e-06;2.01122e-07;-2.57934e-07;-6.04845e-08;1.06222e-06;5.90772e-08;4.10563e-08;-2.59382e-08;4.19553e-06;1.03169e-06;5.43574e-08;-8.226e-08;-2.23956e-08;3.93308e-07;1.82022e-08;7.7674e-09;-6.3093e-09;6.69017e-07;3.6838e-05;7.49391e-07;-1.0004e-06;-2.34591e-07;7.43552e-06;4.13541e-07;2.87394e-07;-1.81568e-07;2.93687e-05;1.08213e-06;3.35645e-08;-5.26514e-08;-1.43346e-08;4.05511e-07;1.87669e-08;8.0084e-09;-6.50506e-09;6.89775e-07;1.08213e-06;3.35645e-08;-5.26514e-08;-1.43346e-08;4.05511e-07;1.87669e-08;8.0084e-09;-6.50506e-09;6.89775e-07;4.98496e-06;1.06128e-07;-1.68777e-07;-4.59503e-08;1.85154e-06;8.56887e-08;3.65659e-08;-2.97017e-08;3.14947e-06;2.03183e+07;88978.9;7.74276e+06;91.6434;1290.46;1.2736e+06;
8; 1.95892e-06;3.92902e-07;-2.73875e-07;-7.45635e-08;6.95915e-07;3.22068e-08;1.37436e-08;-1.11636e-08;1.18375e-06;5.20777e-06;2.26389e-07;-2.83973e-07;-6.65906e-08;1.06222e-06;5.90772e-08;4.10563e-08;-2.59382e-08;4.19553e-06;1.02795e-06;6.11861e-08;-9.05645e-08;-2.46565e-08;3.93308e-07;1.82022e-08;7.7674e-09;-6.3093e-09;6.69017e-07;4.20492e-05;9.63146e-07;-1.27136e-06;-2.98129e-07;8.49774e-06;4.72618e-07;3.2845e-07;-2.07506e-07;3.35643e-05;1.17265e-06;4.16625e-08;-6.44832e-08;-1.75558e-08;4.40941e-07;2.04066e-08;8.7081e-09;-7.07342e-09;7.50041e-07;1.17265e-06;4.16625e-08;-6.44832e-08;-1.75558e-08;4.40941e-07;2.04066e-08;8.7081e-09;-7.07342e-09;7.50041e-07;6.15761e-06;1.47791e-07;-2.3326e-07;-6.35061e-08;2.29248e-06;1.06095e-07;4.5274e-08;-3.67751e-08;3.89951e-06;2.03183e+07;88978.9;7.74276e+06;91.6434;1290.46;1.2736e+06;
9; 1.95892e-06;3.92902e-07;-2.73875e-07;-7.45635e-08;6.95915e-07;3.22068e-08;1.37436e-08;-1.11636e-08;1.18375e-06;5.20297e-06;2.51161e-07;-3.07931e-07;-7.22086e-08;1.06222e-06;5.90772e-08;4.10563e-08;-2.59382e-08;4.19553e-06;1.02492e-06;6.78814e-08;-9.82049e-08;-2.67367e-08;3.93308e-07;1.82022e-08;7.7674e-09;-6.3093e-09;6.69017e-07;4.72546e-05;1.20192e-06;-1.56731e-06;-3.67528e-07;9.55996e-06;5.31695e-07;3.69506e-07;-2.33444e-07;3.77598e-05;1.25265e-06;5.02458e-08;-7.66336e-08;-2.08638e-08;4.7252e-07;2.18681e-08;9.33177e-09;-7.58e-09;8.03758e-07;1.25265e-06;5.02458e-08;-7.66336e-08;-2.08638e-08;4.7252e-07;2.18681e-08;9.33177e-09;-7.58e-09;8.03758e-07;7.41026e-06;1.98037e-07;-3.09894e-07;-8.43699e-08;2.765e-06;1.27963e-07;5.46058e-08;-4.43551e-08;4.70327e-06;2.03183e+07;88978.9;7.74276e+06;91.6434;1290.46;1.2736e+06;
