# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_design_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 260; 38.3151; 460.421; 
0.74; 265; 38.3151; 469.011; 
0.74; 270; 38.3151; 477.715; 
0.74; 275; 38.3151; 486.553; 
0.74; 280; 38.3151; 495.539; 
0.74; 285; 38.3151; 504.523; 
0.74; 290; 38.3151; 513.666; 
0.74; 295; 38.3151; 522.974; 
0.74; 300; 38.3151; 532.222; 
0.74; 305; 38.3151; 541.623; 
0.74; 310; 38.3151; 551.148; 
0.74; 315; 38.3151; 560.655; 
0.74; 320; 38.3151; 570.227; 
0.74; 325; 38.3151; 579.903; 
0.74; 330; 38.3151; 589.587; 
0.74; 335; 38.3151; 599.243; 
0.74; 340; 38.3151; 608.991; 
0.74; 345; 38.3151; 618.78; 
0.74; 350; 38.3151; 628.412; 
0.74; 355; 38.3151; 638.089; 
0.74; 360; 38.3151; 647.797; 
0.74; 365; 38.3151; 656.887; 
0.74; 370; 38.3151; 665.733; 
0.74; 375; 38.3151; 674.447; 
0.74; 380; 38.3151; 682.933; 
0.74; 385; 38.3151; 691.157; 
0.74; 390; 38.3151; 699.154; 
0.74; 395; 38.3151; 706.881; 
0.74; 400; 38.3151; 714.278; 
0.74; 405; 38.3151; 721.363; 
0.74; 260; 39.5923; 458.024; 
0.74; 265; 39.5923; 466.479; 
0.74; 270; 39.5923; 475.016; 
0.74; 275; 39.5923; 483.689; 
0.74; 280; 39.5923; 492.504; 
0.74; 285; 39.5923; 501.285; 
0.74; 290; 39.5923; 510.234; 
0.74; 295; 39.5923; 519.315; 
0.74; 300; 39.5923; 528.343; 
0.74; 305; 39.5923; 537.505; 
0.74; 310; 39.5923; 546.768; 
0.74; 315; 39.5923; 556.005; 
0.74; 320; 39.5923; 565.288; 
0.74; 325; 39.5923; 574.661; 
0.74; 330; 39.5923; 584.022; 
0.74; 335; 39.5923; 593.332; 
0.74; 340; 39.5923; 602.711; 
0.74; 345; 39.5923; 612.127; 
0.74; 350; 39.5923; 621.358; 
0.74; 355; 39.5923; 630.6; 
0.74; 360; 39.5923; 639.849; 
0.74; 365; 39.5923; 648.468; 
0.74; 370; 39.5923; 656.826; 
0.74; 375; 39.5923; 665.031; 
0.74; 380; 39.5923; 672.978; 
0.74; 385; 39.5923; 680.634; 
0.74; 390; 39.5923; 688.042; 
0.74; 395; 39.5923; 695.157; 
0.74; 400; 39.5923; 701.91; 
0.74; 405; 39.5923; 708.223; 
0.74; 260; 40.8695; 455.57; 
0.74; 265; 40.8695; 463.887; 
0.74; 270; 40.8695; 472.243; 
0.74; 275; 40.8695; 480.756; 
0.74; 280; 40.8695; 489.371; 
0.74; 285; 40.8695; 497.969; 
0.74; 290; 40.8695; 506.721; 
0.74; 295; 40.8695; 515.571; 
0.74; 300; 40.8695; 524.374; 
0.74; 305; 40.8695; 533.295; 
0.74; 310; 40.8695; 542.289; 
0.74; 315; 40.8695; 551.253; 
0.74; 320; 40.8695; 560.244; 
0.74; 325; 40.8695; 569.313; 
0.74; 330; 40.8695; 578.345; 
0.74; 335; 40.8695; 587.308; 
0.74; 340; 40.8695; 596.318; 
0.74; 345; 40.8695; 605.34; 
0.74; 350; 40.8695; 614.179; 
0.74; 355; 40.8695; 622.997; 
0.74; 360; 40.8695; 631.786; 
0.74; 365; 40.8695; 639.94; 
0.74; 370; 40.8695; 647.815; 
0.74; 375; 40.8695; 655.517; 
0.74; 380; 40.8695; 662.933; 
0.74; 385; 40.8695; 670.033; 
0.74; 390; 40.8695; 676.862; 
0.74; 395; 40.8695; 683.364; 
0.74; 400; 40.8695; 689.315; 
0.74; 405; 40.8695; 694.852; 
0.74; 260; 42.1467; 453.062; 
0.74; 265; 42.1467; 461.217; 
0.74; 270; 42.1467; 469.407; 
0.74; 275; 42.1467; 477.757; 
0.74; 280; 42.1467; 486.168; 
0.74; 285; 42.1467; 494.58; 
0.74; 290; 42.1467; 503.119; 
