# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_study_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 260; 38.3537; 460.349; 
0.74; 265; 38.3537; 468.935; 
0.74; 270; 38.3537; 477.633; 
0.74; 275; 38.3537; 486.468; 
0.74; 280; 38.3537; 495.447; 
0.74; 285; 38.3537; 504.428; 
0.74; 290; 38.3537; 513.563; 
0.74; 295; 38.3537; 522.867; 
0.74; 300; 38.3537; 532.106; 
0.74; 305; 38.3537; 541.498; 
0.74; 310; 38.3537; 551.018; 
0.74; 315; 38.3537; 560.516; 
0.74; 320; 38.3537; 570.077; 
0.74; 325; 38.3537; 579.749; 
0.74; 330; 38.3537; 589.421; 
0.74; 335; 38.3537; 599.065; 
0.74; 340; 38.3537; 608.801; 
0.74; 345; 38.3537; 618.584; 
0.74; 350; 38.3537; 628.202; 
0.74; 355; 38.3537; 637.865; 
0.74; 360; 38.3537; 647.559; 
0.74; 365; 38.3537; 656.633; 
0.74; 370; 38.3537; 665.464; 
0.74; 375; 38.3537; 674.162; 
0.74; 380; 38.3537; 682.632; 
0.74; 385; 38.3537; 690.838; 
0.74; 390; 38.3537; 698.816; 
0.74; 395; 38.3537; 706.525; 
0.74; 400; 38.3537; 713.903; 
0.74; 405; 38.3537; 720.968; 
0.74; 260; 39.6322; 457.95; 
0.74; 265; 39.6322; 466.398; 
0.74; 270; 39.6322; 474.932; 
0.74; 275; 39.6322; 483.598; 
0.74; 280; 39.6322; 492.408; 
0.74; 285; 39.6322; 501.183; 
0.74; 290; 39.6322; 510.124; 
0.74; 295; 39.6322; 519.201; 
0.74; 300; 39.6322; 528.22; 
0.74; 305; 39.6322; 537.373; 
0.74; 310; 39.6322; 546.631; 
0.74; 315; 39.6322; 555.858; 
0.74; 320; 39.6322; 565.13; 
0.74; 325; 39.6322; 574.499; 
0.74; 330; 39.6322; 583.847; 
0.74; 335; 39.6322; 593.145; 
0.74; 340; 39.6322; 602.512; 
0.74; 345; 39.6322; 611.914; 
0.74; 350; 39.6322; 621.139; 
0.74; 355; 39.6322; 630.366; 
0.74; 360; 39.6322; 639.6; 
0.74; 365; 39.6322; 648.204; 
0.74; 370; 39.6322; 656.547; 
0.74; 375; 39.6322; 664.736; 
0.74; 380; 39.6322; 672.666; 
0.74; 385; 39.6322; 680.304; 
0.74; 390; 39.6322; 687.694; 
0.74; 395; 39.6322; 694.791; 
0.74; 400; 39.6322; 701.524; 
0.74; 405; 39.6322; 707.811; 
0.74; 260; 40.9106; 455.491; 
0.74; 265; 40.9106; 463.801; 
0.74; 270; 40.9106; 472.153; 
0.74; 275; 40.9106; 480.659; 
0.74; 280; 40.9106; 489.271; 
0.74; 285; 40.9106; 497.861; 
0.74; 290; 40.9106; 506.605; 
0.74; 295; 40.9106; 515.45; 
0.74; 300; 40.9106; 524.244; 
0.74; 305; 40.9106; 533.155; 
0.74; 310; 40.9106; 542.144; 
0.74; 315; 40.9106; 551.098; 
0.74; 320; 40.9106; 560.078; 
0.74; 325; 40.9106; 569.141; 
0.74; 330; 40.9106; 578.162; 
0.74; 335; 40.9106; 587.113; 
0.74; 340; 40.9106; 596.109; 
0.74; 345; 40.9106; 605.117; 
0.74; 350; 40.9106; 613.942; 
0.74; 355; 40.9106; 622.754; 
0.74; 360; 40.9106; 631.527; 
0.74; 365; 40.9106; 639.666; 
0.74; 370; 40.9106; 647.525; 
0.74; 375; 40.9106; 655.211; 
0.74; 380; 40.9106; 662.611; 
0.74; 385; 40.9106; 669.693; 
0.74; 390; 40.9106; 676.503; 
0.74; 395; 40.9106; 682.975; 
0.74; 400; 40.9106; 688.9; 
0.74; 405; 40.9106; 694.413; 
0.74; 260; 42.1891; 452.977; 
0.74; 265; 42.1891; 461.129; 
0.74; 270; 42.1891; 469.312; 
0.74; 275; 42.1891; 477.653; 
0.74; 280; 42.1891; 486.062; 
0.74; 285; 42.1891; 494.465; 
0.74; 290; 42.1891; 503; 
0.74; 295; 42.1891; 511.617; 
0.74; 300; 42.1891; 520.181; 
0.74; 305; 42.1891; 528.845; 
0.74; 310; 42.1891; 537.564; 
0.74; 315; 42.1891; 546.241; 
0.74; 320; 42.1891; 554.927; 
0.74; 325; 42.1891; 563.68; 
0.74; 330; 42.1891; 572.373; 
0.74; 335; 42.1891; 580.974; 
0.74; 340; 42.1891; 589.6; 
0.74; 345; 42.1891; 598.216; 
0.74; 350; 42.1891; 606.624; 
0.74; 355; 42.1891; 615; 
0.74; 360; 42.1891; 623.329; 
0.74; 365; 42.1891; 631.01; 
0.74; 370; 42.1891; 638.392; 
0.74; 375; 42.1891; 645.576; 
0.74; 380; 42.1891; 652.444; 
0.74; 385; 42.1891; 658.957; 
0.74; 390; 42.1891; 665.118; 
0.74; 395; 42.1891; 670.828; 
0.74; 400; 42.1891; 676.054; 
0.74; 405; 42.1891; 680.602; 
0.74; 260; 43.4675; 450.409; 
0.74; 265; 43.4675; 458.382; 
0.74; 270; 43.4675; 466.41; 
0.74; 275; 43.4675; 474.568; 
0.74; 280; 43.4675; 482.785; 
0.74; 285; 43.4675; 490.997; 
0.74; 290; 43.4675; 499.306; 
0.74; 295; 43.4675; 507.705; 
0.74; 300; 43.4675; 516.035; 
0.74; 305; 43.4675; 524.44; 
0.74; 310; 43.4675; 532.895; 
0.74; 315; 43.4675; 541.293; 
0.74; 320; 43.4675; 549.681; 
0.74; 325; 43.4675; 558.119; 
0.74; 330; 43.4675; 566.486; 
0.74; 335; 43.4675; 574.737; 
0.74; 340; 43.4675; 582.993; 
0.74; 345; 43.4675; 591.216; 
0.74; 350; 43.4675; 599.21; 
0.74; 355; 43.4675; 607.15; 
0.74; 360; 43.4675; 615.02; 
0.74; 365; 43.4675; 622.237; 
