# ./csv_filesperformance_assessment_Ceiling.csv
# (1) Mach; (2) Gross Mass [kg]; (3) Service Ceiling [m]; (4) Max Ceiling [m] ; (5) OEI max Ceiling [m]; (6) Initial Cruise Altitude [m]
0.78; 76707.4; 11150; 11250; 7200; 10058.4
0.78; 73340.6; 11400; 11500; 7650; 10058.4
0.78; 69973.8; 11700; 11800; 8050; 10058.4
0.78; 66607; 12000; 12100; 8400; 10058.4
0.78; 63240.2; 12300; 12400; 8850; 10058.4
0.78; 59873.4; 12650; 12750; 9300; 10058.4
0.78; 56506.6; 13050; 13150; 9800; 10058.4
0.78; 53139.8; 13400; 13550; 10200; 10058.4
0.78; 49772.9; 13800; 13900; 10750; 10058.4
0.78; 46406.1; 14000; 14000; 11250; 10058.4
0.78; 43039.3; 14000; 14000; 11700; 10058.4
