# ./csv_filesperformance_assessment_LDN.csv
# (1) Altitude [m]; (2) Gross Mass [kg]; (3) ALD_AEO [m]
0; 43039.3; 1330.64
0; 45217.6; 1373.46
0; 47395.8; 1416.27
0; 49574.1; 1459.09
0; 51752.3; 1501.9
0; 53930.6; 1544.72
0; 56108.8; 1587.53
0; 58287.1; 1630.35
0; 60465.3; 1673.17
0; 62643.6; 1715.98
0; 64821.8; 1758.8


609.6; 43039.3; 1381.99
609.6; 45217.6; 1427.41
609.6; 47395.8; 1472.82
609.6; 49574.1; 1518.23
609.6; 51752.3; 1563.65
609.6; 53930.6; 1609.06
609.6; 56108.8; 1654.48
609.6; 58287.1; 1699.89
609.6; 60465.3; 1745.31
609.6; 62643.6; 1790.72
609.6; 64821.8; 1836.14


1219.2; 43039.3; 1437.25
1219.2; 45217.6; 1485.46
1219.2; 47395.8; 1533.67
1219.2; 49574.1; 1581.88
1219.2; 51752.3; 1630.09
1219.2; 53930.6; 1678.3
1219.2; 56108.8; 1726.51
1219.2; 58287.1; 1774.72
1219.2; 60465.3; 1822.93
1219.2; 62643.6; 1871.14
1219.2; 64821.8; 1919.36


1828.8; 43039.3; 1496.76
1828.8; 45217.6; 1547.99
1828.8; 47395.8; 1599.21
1828.8; 49574.1; 1650.43
1828.8; 51752.3; 1701.66
1828.8; 53930.6; 1752.88
1828.8; 56108.8; 1804.1
1828.8; 58287.1; 1855.33
1828.8; 60465.3; 1906.55
1828.8; 62643.6; 1957.77
1828.8; 64821.8; 2009


2438.4; 43039.3; 1560.94
2438.4; 45217.6; 1615.41
2438.4; 47395.8; 1669.89
2438.4; 49574.1; 1724.36
2438.4; 51752.3; 1778.83
2438.4; 53930.6; 1833.3
2438.4; 56108.8; 1887.77
2438.4; 58287.1; 1942.24
2438.4; 60465.3; 1996.71
2438.4; 62643.6; 2051.19
2438.4; 64821.8; 2105.66


3048; 43039.3; 1630.22
3048; 45217.6; 1688.2
3048; 47395.8; 1746.18
3048; 49574.1; 1804.16
3048; 51752.3; 1862.13
3048; 53930.6; 1920.11
3048; 56108.8; 1978.09
3048; 58287.1; 2036.07
3048; 60465.3; 2094.05
3048; 62643.6; 2152.02
3048; 64821.8; 2210


3657.6; 43039.3; 1705.1
3657.6; 45217.6; 1766.86
3657.6; 47395.8; 1828.63
3657.6; 49574.1; 1890.4
3657.6; 51752.3; 1952.16
3657.6; 53930.6; 2013.93
3657.6; 56108.8; 2075.7
3657.6; 58287.1; 2137.47
3657.6; 60465.3; 2199.23
3657.6; 62643.6; 2261
3657.6; 64821.8; 2322.77


0; 64821.8; 1758.8


0; 64821.8; 2425.67
