# performance_assessment_TOFL.csv
# (1) Altitude [m]; (2) Gross Mass [kg]; (3) TODR_AEO [m]
0; 43039.3; 834.647
0; 46406.1; 911.541
0; 49772.9; 990.78
0; 53139.8; 1071.47
0; 56506.6; 1154.74
0; 59873.4; 1240.19
0; 63240.2; 1327.96
0; 66607; 1418.19
0; 69973.8; 1510.79
0; 73340.6; 1606.09
0; 76707.4; 1704.29


609.6; 43039.3; 893.322
609.6; 46406.1; 976.902
609.6; 49772.9; 1062.16
609.6; 53139.8; 1150.22
609.6; 56506.6; 1240.72
609.6; 59873.4; 1333.26
609.6; 63240.2; 1426.9
609.6; 66607; 1521.3
609.6; 69973.8; 1622.62
609.6; 73340.6; 1726.52
609.6; 76707.4; 1833.85


1219.2; 43039.3; 955.669
1219.2; 46406.1; 1045.26
1219.2; 49772.9; 1137.85
1219.2; 53139.8; 1233.1
1219.2; 56506.6; 1330.62
1219.2; 59873.4; 1431.54
1219.2; 63240.2; 1535.54
1219.2; 66607; 1642.9
1219.2; 69973.8; 1753.88
1219.2; 73340.6; 1869.42
1219.2; 76707.4; 1988.62


1828.8; 43039.3; 1026.82
1828.8; 46406.1; 1124.17
1828.8; 49772.9; 1224.99
1828.8; 53139.8; 1328.42
1828.8; 56506.6; 1435.55
1828.8; 59873.4; 1546.21
1828.8; 63240.2; 1653.72
1828.8; 66607; 1771.22
1828.8; 69973.8; 1893.06
1828.8; 73340.6; 2020.3
1828.8; 76707.4; 2152.11


2438.4; 43039.3; 1104.94
2438.4; 46406.1; 1207.92
2438.4; 49772.9; 1317.46
2438.4; 53139.8; 1429.87
2438.4; 56506.6; 1546.73
2438.4; 59873.4; 1667.76
2438.4; 63240.2; 1793.32
2438.4; 66607; 1923.86
2438.4; 69973.8; 2059.87
2438.4; 73340.6; 2202.62
2438.4; 76707.4; 2351.45


3048; 43039.3; 1188.67
3048; 46406.1; 1304.69
3048; 49772.9; 1424.06
3048; 53139.8; 1548.37
3048; 56506.6; 1677.4
3048; 59873.4; 1811.6
3048; 63240.2; 1951.5
3048; 66607; 2097.72
3048; 69973.8; 2238.41
3048; 73340.6; 2397.81
3048; 76707.4; 2564.64


3657.6; 43039.3; 1285.31
3657.6; 46406.1; 1411.98
3657.6; 49772.9; 1544.14
3657.6; 53139.8; 1681.65
3657.6; 56506.6; 1817.38
3657.6; 59873.4; 1965.9
3657.6; 63240.2; 2121.44
3657.6; 66607; 2284.83
3657.6; 69973.8; 2456.5
3657.6; 73340.6; 2638.85
3657.6; 76707.4; 2831.03


0; 76707.4; 1704.29


0; 76707.4; 1951
