# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_M073_design_-600_plot.csv
# Clean Polar
# Mach Number 0.730000
AoA; C_L; C_Dtotal; C_Dind; C_Dvisc; C_Dwave; C_M; L/D; i_stab; C_Dvisc_wing; C_Dwave_wing; C_Dvisc_stab; C_Dwave_stab; C_Dind_stab; C_L_stab
-4.679;-0.4000;0.033645;0.016051;0.017594;0.000000;0.543547;-11.88872;-6.000000;0.005175;0.000000;0.001091;0.000000;0.013471;-0.167694;
-4.593;-0.3900;0.033241;0.015672;0.017569;0.000000;0.540905;-11.73244;-6.000000;0.005151;0.000000;0.001091;0.000000;0.013244;-0.166854;
-4.506;-0.3800;0.032846;0.015300;0.017547;0.000000;0.538263;-11.56905;-6.000000;0.005128;0.000000;0.001091;0.000000;0.013019;-0.166014;
-4.420;-0.3700;0.032461;0.014935;0.017526;0.000000;0.535621;-11.39847;-6.000000;0.005107;0.000000;0.001091;0.000000;0.012795;-0.165174;
-4.334;-0.3600;0.032084;0.014578;0.017506;0.000000;0.532979;-11.22060;-6.000000;0.005087;0.000000;0.001091;0.000000;0.012572;-0.164334;
-4.248;-0.3500;0.031716;0.014228;0.017488;0.000000;0.530337;-11.03538;-6.000000;0.005069;0.000000;0.001091;0.000000;0.012352;-0.163494;
-4.161;-0.3400;0.031357;0.013886;0.017472;0.000000;0.527695;-10.84273;-6.000000;0.005053;0.000000;0.001091;0.000000;0.012133;-0.162654;
-4.075;-0.3300;0.031007;0.013551;0.017457;0.000000;0.525053;-10.64259;-6.000000;0.005038;0.000000;0.001091;0.000000;0.011915;-0.161814;
-3.989;-0.3200;0.030666;0.013223;0.017443;0.000000;0.522411;-10.43491;-6.000000;0.005024;0.000000;0.001091;0.000000;0.011698;-0.160971;
-3.903;-0.3100;0.030334;0.012903;0.017430;0.000000;0.519769;-10.21963;-6.000000;0.005012;0.000000;0.001091;0.000000;0.011478;-0.160109;
-3.817;-0.3000;0.030010;0.012591;0.017419;0.000000;0.517127;-9.99670;-6.000000;0.005000;0.000000;0.001091;0.000000;0.011260;-0.159247;
-3.730;-0.2900;0.029695;0.012286;0.017409;0.000000;0.514485;-9.76611;-6.000000;0.004990;0.000000;0.001091;0.000000;0.011044;-0.158385;
-3.644;-0.2800;0.029388;0.011988;0.017400;0.000000;0.511843;-9.52782;-6.000000;0.004981;0.000000;0.001091;0.000000;0.010829;-0.157524;
-3.558;-0.2700;0.029089;0.011698;0.017391;0.000000;0.509201;-9.28183;-6.000000;0.004972;0.000000;0.001091;0.000000;0.010616;-0.156662;
-3.472;-0.2600;0.028799;0.011415;0.017384;0.000000;0.506559;-9.02811;-6.000000;0.004965;0.000000;0.001091;0.000000;0.010405;-0.155800;
-3.385;-0.2500;0.028517;0.011140;0.017377;0.000000;0.503917;-8.76669;-6.000000;0.004958;0.000000;0.001091;0.000000;0.010195;-0.154939;
-3.299;-0.2400;0.028243;0.010872;0.017371;0.000000;0.501275;-8.49758;-6.000000;0.004952;0.000000;0.001091;0.000000;0.009987;-0.154077;
-3.213;-0.2300;0.027978;0.010612;0.017366;0.000000;0.498633;-8.22081;-6.000000;0.004947;0.000000;0.001091;0.000000;0.009781;-0.153215;
-3.127;-0.2200;0.027720;0.010359;0.017362;0.000000;0.495991;-7.93640;-6.000000;0.004943;0.000000;0.001091;0.000000;0.009576;-0.152353;
-3.040;-0.2100;0.027471;0.010113;0.017358;0.000000;0.493349;-7.64443;-6.000000;0.004939;0.000000;0.001091;0.000000;0.009373;-0.151492;
-2.954;-0.2000;0.027230;0.009876;0.017354;0.000000;0.490707;-7.34495;-6.000000;0.004935;0.000000;0.001091;0.000000;0.009172;-0.150630;
-2.868;-0.1900;0.026996;0.009645;0.017351;0.000000;0.488065;-7.03803;-6.000000;0.004932;0.000000;0.001091;0.000000;0.008973;-0.149768;
-2.782;-0.1800;0.026771;0.009422;0.017349;0.000000;0.485423;-6.72378;-6.000000;0.004930;0.000000;0.001091;0.000000;0.008775;-0.148907;
-2.695;-0.1700;0.026553;0.009207;0.017346;0.000000;0.482781;-6.40229;-6.000000;0.004928;0.000000;0.001091;0.000000;0.008579;-0.148045;
-2.609;-0.1600;0.026343;0.008999;0.017345;0.000000;0.480139;-6.07367;-6.000000;0.004926;0.000000;0.001091;0.000000;0.008384;-0.147183;
-2.523;-0.1500;0.026141;0.008798;0.017343;0.000000;0.477497;-5.73808;-6.000000;0.004924;0.000000;0.001091;0.000000;0.008192;-0.146322;
-2.437;-0.1400;0.025947;0.008605;0.017342;0.000000;0.474855;-5.39564;-6.000000;0.004923;0.000000;0.001091;0.000000;0.008000;-0.145460;
-2.351;-0.1300;0.025760;0.008419;0.017341;0.000000;0.472213;-5.04651;-6.000000;0.004922;0.000000;0.001091;0.000000;0.007811;-0.144598;
-2.264;-0.1200;0.025581;0.008241;0.017340;0.000000;0.469571;-4.69089;-6.000000;0.004921;0.000000;0.001091;0.000000;0.007624;-0.143736;
-2.178;-0.1100;0.025410;0.008071;0.017340;0.000000;0.466929;-4.32895;-6.000000;0.004921;0.000000;0.001091;0.000000;0.007438;-0.142875;
-2.092;-0.1000;0.025247;0.007908;0.017339;0.000000;0.464287;-3.96090;-6.000000;0.004920;0.000000;0.001091;0.000000;0.007253;-0.142013;
-2.006;-0.0900;0.025091;0.007752;0.017339;0.000000;0.461645;-3.58697;-6.000000;0.004920;0.000000;0.001091;0.000000;0.007071;-0.141151;
-1.919;-0.0800;0.024943;0.007604;0.017339;0.000000;0.459003;-3.20738;-6.000000;0.004920;0.000000;0.001091;0.000000;0.006886;-0.140270;
-1.833;-0.0700;0.024802;0.007463;0.017338;0.000000;0.456361;-2.82238;-6.000000;0.004920;0.000000;0.001091;0.000000;0.006703;-0.139390;
-1.747;-0.0600;0.024669;0.007330;0.017338;0.000000;0.453719;-2.43225;-6.000000;0.004919;0.000000;0.001091;0.000000;0.006521;-0.138509;
-1.661;-0.0500;0.024543;0.007205;0.017338;0.000000;0.451077;-2.03721;-6.000000;0.004919;0.000000;0.001091;0.000000;0.006342;-0.137628;
-1.574;-0.0400;0.024427;0.007089;0.017338;0.000000;0.448434;-1.63755;-6.000000;0.004919;0.000000;0.001091;0.000000;0.006164;-0.136747;
-1.488;-0.0300;0.024317;0.006979;0.017338;0.000000;0.445792;-1.23369;-6.000000;0.004919;0.000000;0.001091;0.000000;0.005988;-0.135866;
-1.402;-0.0200;0.024215;0.006877;0.017338;0.000000;0.443150;-0.82594;-6.000000;0.004919;0.000000;0.001091;0.000000;0.005814;-0.134986;
-1.316;-0.0100;0.024120;0.006782;0.017338;0.000000;0.440508;-0.41459;-6.000000;0.004919;0.000000;0.001091;0.000000;0.005641;-0.134105;
-1.229;0.0000;0.024032;0.006694;0.017338;0.000000;0.437866;0.00000;-6.000000;0.004919;0.000000;0.001091;0.000000;0.005471;-0.133224;
-1.143;0.0100;0.023952;0.006614;0.017338;0.000000;0.435224;0.41750;-6.000000;0.004919;0.000000;0.001091;0.000000;0.005302;-0.132343;
-1.057;0.0200;0.023879;0.006541;0.017338;0.000000;0.432582;0.83756;-6.000000;0.004919;0.000000;0.001091;0.000000;0.005135;-0.131463;
-0.971;0.0300;0.023813;0.006475;0.017338;0.000000;0.429940;1.25980;-6.000000;0.004919;0.000000;0.001091;0.000000;0.004969;-0.130582;
-0.885;0.0400;0.023755;0.006417;0.017338;0.000000;0.427298;1.68384;-6.000000;0.004919;0.000000;0.001091;0.000000;0.004806;-0.129701;
-0.798;0.0500;0.023704;0.006366;0.017338;0.000000;0.424656;2.10931;-6.000000;0.004919;0.000000;0.001091;0.000000;0.004644;-0.128820;
-0.712;0.0600;0.023661;0.006323;0.017338;0.000000;0.422014;2.53580;-6.000000;0.004919;0.000000;0.001091;0.000000;0.004484;-0.127939;
-0.626;0.0700;0.023625;0.006287;0.017338;0.000000;0.419372;2.96291;-6.000000;0.004920;0.000000;0.001091;0.000000;0.004325;-0.127059;
-0.540;0.0800;0.023597;0.006259;0.017339;0.000000;0.416730;3.39022;-6.000000;0.004920;0.000000;0.001091;0.000000;0.004169;-0.126178;
-0.453;0.0900;0.023577;0.006238;0.017339;0.000000;0.414088;3.81732;-6.000000;0.004920;0.000000;0.001091;0.000000;0.004014;-0.125297;
-0.367;0.1000;0.023564;0.006225;0.017339;0.000000;0.411446;4.24378;-6.000000;0.004920;0.000000;0.001091;0.000000;0.003861;-0.124416;
-0.281;0.1100;0.023559;0.006219;0.017340;0.000000;0.408804;4.66917;-6.000000;0.004921;0.000000;0.001091;0.000000;0.003710;-0.123536;
-0.195;0.1200;0.023561;0.006221;0.017340;0.000000;0.406162;5.09307;-6.000000;0.004921;0.000000;0.001091;0.000000;0.003560;-0.122655;
-0.108;0.1300;0.023572;0.006231;0.017341;0.000000;0.403520;5.51504;-6.000000;0.004922;0.000000;0.001091;0.000000;0.003413;-0.121774;
-0.022;0.1400;0.023590;0.006248;0.017342;0.000000;0.400878;5.93465;-6.000000;0.004923;0.000000;0.001091;0.000000;0.003267;-0.120893;
0.064;0.1500;0.023617;0.006273;0.017343;0.000000;0.398236;6.35147;-6.000000;0.004924;0.000000;0.001091;0.000000;0.003121;-0.119999;
0.150;0.1600;0.023651;0.006306;0.017345;0.000000;0.395594;6.76507;-6.000000;0.004926;0.000000;0.001091;0.000000;0.002976;-0.119102;
0.236;0.1700;0.023693;0.006347;0.017346;0.000000;0.392952;7.17502;-6.000000;0.004928;0.000000;0.001091;0.000000;0.002832;-0.118205;
0.323;0.1800;0.023744;0.006395;0.017349;0.000000;0.390310;7.58091;-6.000000;0.004930;0.000000;0.001091;0.000000;0.002691;-0.117308;
0.409;0.1900;0.023803;0.006452;0.017351;0.000000;0.387668;7.98231;-6.000000;0.004932;0.000000;0.001091;0.000000;0.002552;-0.116411;
0.495;0.2000;0.023870;0.006516;0.017354;0.000000;0.385026;8.37882;-6.000000;0.004935;0.000000;0.001091;0.000000;0.002414;-0.115513;
0.581;0.2100;0.023945;0.006588;0.017358;0.000000;0.382384;8.77005;-6.000000;0.004939;0.000000;0.001091;0.000000;0.002278;-0.114616;
0.668;0.2200;0.024029;0.006667;0.017362;0.000000;0.379742;9.15561;-6.000000;0.004943;0.000000;0.001091;0.000000;0.002144;-0.113719;
0.754;0.2300;0.024121;0.006755;0.017366;0.000000;0.377100;9.53511;-6.000000;0.004947;0.000000;0.001091;0.000000;0.002012;-0.112822;
0.840;0.2400;0.024222;0.006851;0.017371;0.000000;0.374458;9.90819;-6.000000;0.004952;0.000000;0.001091;0.000000;0.001882;-0.111924;
0.926;0.2500;0.024332;0.006955;0.017377;0.000000;0.371816;10.27451;-6.000000;0.004958;0.000000;0.001091;0.000000;0.001753;-0.111027;
1.013;0.2600;0.024451;0.007067;0.017384;0.000000;0.369174;10.63372;-6.000000;0.004965;0.000000;0.001091;0.000000;0.001627;-0.110130;
1.099;0.2700;0.024578;0.007187;0.017391;0.000000;0.366532;10.98550;-6.000000;0.004972;0.000000;0.001091;0.000000;0.001502;-0.109233;
