# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_M076_design_600_plot.csv
# Clean Polar
# Mach Number 0.760000
AoA; C_L; C_Dtotal; C_Dind; C_Dvisc; C_Dwave; C_M; L/D; i_stab; C_Dvisc_wing; C_Dwave_wing; C_Dvisc_stab; C_Dwave_stab; C_Dind_stab; C_L_stab
-4.916;-0.2000;0.019783;0.002558;0.017226;0.000000;-0.463214;-10.10962;6.000000;0.004919;0.000000;0.001074;0.000000;-0.000921;0.055690;
-4.831;-0.1900;0.019645;0.002423;0.017223;0.000000;-0.465817;-9.67146;6.000000;0.004916;0.000000;0.001074;0.000000;-0.000890;0.056588;
-4.747;-0.1800;0.019516;0.002295;0.017220;0.000000;-0.468420;-9.22339;6.000000;0.004914;0.000000;0.001074;0.000000;-0.000858;0.057486;
-4.662;-0.1700;0.019394;0.002176;0.017218;0.000000;-0.471024;-8.76578;6.000000;0.004912;0.000000;0.001074;0.000000;-0.000823;0.058384;
-4.577;-0.1600;0.019279;0.002063;0.017216;0.000000;-0.473627;-8.29902;6.000000;0.004910;0.000000;0.001074;0.000000;-0.000787;0.059283;
-4.493;-0.1500;0.019173;0.001958;0.017215;0.000000;-0.476230;-7.82353;6.000000;0.004908;0.000000;0.001074;0.000000;-0.000749;0.060181;
-4.408;-0.1400;0.019074;0.001861;0.017213;0.000000;-0.478834;-7.33976;6.000000;0.004907;0.000000;0.001074;0.000000;-0.000708;0.061079;
-4.324;-0.1300;0.018983;0.001771;0.017212;0.000000;-0.481437;-6.84819;6.000000;0.004906;0.000000;0.001074;0.000000;-0.000666;0.061978;
-4.239;-0.1200;0.018900;0.001688;0.017212;0.000000;-0.484041;-6.34930;6.000000;0.004905;0.000000;0.001074;0.000000;-0.000622;0.062876;
-4.155;-0.1100;0.018824;0.001613;0.017211;0.000000;-0.486644;-5.84362;6.000000;0.004905;0.000000;0.001074;0.000000;-0.000575;0.063774;
-4.070;-0.1000;0.018756;0.001545;0.017211;0.000000;-0.489247;-5.33169;6.000000;0.004904;0.000000;0.001074;0.000000;-0.000527;0.064672;
-3.986;-0.0900;0.018695;0.001485;0.017210;0.000000;-0.491851;-4.81408;6.000000;0.004904;0.000000;0.001074;0.000000;-0.000477;0.065570;
-3.901;-0.0800;0.018642;0.001432;0.017210;0.000000;-0.494454;-4.29135;6.000000;0.004904;0.000000;0.001074;0.000000;-0.000425;0.066465;
-3.816;-0.0700;0.018597;0.001387;0.017210;0.000000;-0.497057;-3.76412;6.000000;0.004904;0.000000;0.001074;0.000000;-0.000371;0.067361;
-3.732;-0.0600;0.018559;0.001349;0.017210;0.000000;-0.499661;-3.23299;6.000000;0.004903;0.000000;0.001074;0.000000;-0.000315;0.068256;
-3.647;-0.0500;0.018528;0.001319;0.017210;0.000000;-0.502264;-2.69859;6.000000;0.004903;0.000000;0.001074;0.000000;-0.000257;0.069152;
-3.563;-0.0400;0.018505;0.001296;0.017210;0.000000;-0.504867;-2.16155;6.000000;0.004903;0.000000;0.001074;0.000000;-0.000197;0.070047;
-3.478;-0.0300;0.018490;0.001280;0.017210;0.000000;-0.507471;-1.62252;6.000000;0.004903;0.000000;0.001074;0.000000;-0.000135;0.070943;
-3.394;-0.0200;0.018482;0.001272;0.017210;0.000000;-0.510074;-1.08215;6.000000;0.004903;0.000000;0.001074;0.000000;-0.000071;0.071838;
-3.309;-0.0100;0.018481;0.001272;0.017210;0.000000;-0.512678;-0.54109;6.000000;0.004903;0.000000;0.001074;0.000000;-0.000005;0.072734;
-3.224;0.0000;0.018488;0.001279;0.017210;0.000000;-0.515281;0.00000;6.000000;0.004903;0.000000;0.001074;0.000000;0.000062;0.073629;
-3.140;0.0100;0.018503;0.001293;0.017210;0.000000;-0.517884;0.54046;6.000000;0.004903;0.000000;0.001074;0.000000;0.000132;0.074525;
-3.055;0.0200;0.018525;0.001315;0.017210;0.000000;-0.520488;1.07965;6.000000;0.004903;0.000000;0.001074;0.000000;0.000204;0.075420;
-2.971;0.0300;0.018554;0.001344;0.017210;0.000000;-0.523091;1.61690;6.000000;0.004903;0.000000;0.001074;0.000000;0.000278;0.076316;
-2.886;0.0400;0.018591;0.001381;0.017210;0.000000;-0.525694;2.15158;6.000000;0.004903;0.000000;0.001074;0.000000;0.000353;0.077211;
-2.802;0.0500;0.018635;0.001426;0.017210;0.000000;-0.528298;2.68307;6.000000;0.004903;0.000000;0.001074;0.000000;0.000431;0.078107;
-2.717;0.0600;0.018687;0.001478;0.017210;0.000000;-0.530901;3.21073;6.000000;0.004903;0.000000;0.001074;0.000000;0.000511;0.079002;
-2.633;0.0700;0.018747;0.001537;0.017210;0.000000;-0.533504;3.73396;6.000000;0.004904;0.000000;0.001074;0.000000;0.000592;0.079898;
-2.548;0.0800;0.018814;0.001604;0.017210;0.000000;-0.536108;4.25218;6.000000;0.004904;0.000000;0.001074;0.000000;0.000676;0.080793;
-2.463;0.0900;0.018888;0.001678;0.017210;0.000000;-0.538711;4.76481;6.000000;0.004904;0.000000;0.001074;0.000000;0.000761;0.081689;
-2.379;0.1000;0.018971;0.001760;0.017211;0.000000;-0.541315;5.27128;6.000000;0.004904;0.000000;0.001074;0.000000;0.000849;0.082584;
-2.294;0.1100;0.019061;0.001849;0.017211;0.000000;-0.543918;5.77108;6.000000;0.004905;0.000000;0.001074;0.000000;0.000938;0.083480;
-2.210;0.1200;0.019158;0.001946;0.017212;0.000000;-0.546521;6.26369;6.000000;0.004905;0.000000;0.001074;0.000000;0.001030;0.084375;
-2.125;0.1300;0.019263;0.002051;0.017212;0.000000;-0.549125;6.74861;6.000000;0.004906;0.000000;0.001074;0.000000;0.001123;0.085271;
-2.041;0.1400;0.019376;0.002163;0.017213;0.000000;-0.551728;7.22539;6.000000;0.004907;0.000000;0.001074;0.000000;0.001218;0.086166;
