# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_approach_design_-600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-19.661;-0.5000;0.116562;0.746165;-4.289578;-6.000000;
-19.550;-0.4900;0.115636;0.743810;-4.237441;-6.000000;
-19.440;-0.4800;0.114720;0.741455;-4.184091;-6.000000;
-19.330;-0.4700;0.113815;0.739101;-4.129513;-6.000000;
-19.220;-0.4600;0.112920;0.736746;-4.073692;-6.000000;
-19.110;-0.4500;0.112035;0.734391;-4.016614;-6.000000;
-19.000;-0.4400;0.111160;0.732037;-3.958264;-6.000000;
-18.890;-0.4300;0.110295;0.729682;-3.898628;-6.000000;
-18.780;-0.4200;0.109441;0.727327;-3.837693;-6.000000;
-18.670;-0.4100;0.108596;0.724972;-3.775444;-6.000000;
-18.559;-0.4000;0.107762;0.722618;-3.711869;-6.000000;
-18.449;-0.3900;0.106939;0.720263;-3.646955;-6.000000;
-18.339;-0.3800;0.106125;0.717908;-3.580688;-6.000000;
-18.229;-0.3700;0.105321;0.715553;-3.513058;-6.000000;
-18.119;-0.3600;0.104528;0.713199;-3.444053;-6.000000;
-18.009;-0.3500;0.103745;0.710844;-3.373660;-6.000000;
-17.899;-0.3400;0.102972;0.708489;-3.301871;-6.000000;
-17.789;-0.3300;0.102209;0.706134;-3.228673;-6.000000;
-17.679;-0.3200;0.101457;0.703780;-3.154058;-6.000000;
-17.568;-0.3100;0.100714;0.701425;-3.078016;-6.000000;
-17.458;-0.3000;0.099982;0.699070;-3.000539;-6.000000;
-17.348;-0.2900;0.099260;0.696715;-2.921619;-6.000000;
-17.238;-0.2800;0.098548;0.694361;-2.841249;-6.000000;
-17.128;-0.2700;0.097847;0.692006;-2.759422;-6.000000;
-17.018;-0.2600;0.097155;0.689651;-2.676133;-6.000000;
-16.908;-0.2500;0.096474;0.687297;-2.591375;-6.000000;
-16.798;-0.2400;0.095803;0.684942;-2.505146;-6.000000;
-16.688;-0.2300;0.095142;0.682587;-2.417441;-6.000000;
-16.577;-0.2200;0.094491;0.680232;-2.328258;-6.000000;
-16.467;-0.2100;0.093851;0.677878;-2.237596;-6.000000;
-16.357;-0.2000;0.093220;0.675523;-2.145453;-6.000000;
-16.247;-0.1900;0.092600;0.673168;-2.051830;-6.000000;
-16.137;-0.1800;0.091990;0.670813;-1.956727;-6.000000;
-16.027;-0.1700;0.091391;0.668459;-1.860148;-6.000000;
-15.917;-0.1600;0.090801;0.666104;-1.762095;-6.000000;
-15.807;-0.1500;0.090222;0.663749;-1.662572;-6.000000;
-15.697;-0.1400;0.089652;0.661394;-1.561586;-6.000000;
-15.586;-0.1300;0.089093;0.659040;-1.459142;-6.000000;
-15.476;-0.1200;0.088545;0.656685;-1.355249;-6.000000;
-15.366;-0.1100;0.088006;0.654330;-1.249915;-6.000000;
-15.256;-0.1000;0.087478;0.651975;-1.143150;-6.000000;
-15.146;-0.0900;0.086959;0.649621;-1.034967;-6.000000;
-15.036;-0.0800;0.086451;0.647266;-0.925377;-6.000000;
-14.926;-0.0700;0.085953;0.644911;-0.814395;-6.000000;
-14.816;-0.0600;0.085466;0.642557;-0.702036;-6.000000;
-14.705;-0.0500;0.084988;0.640202;-0.588317;-6.000000;
-14.595;-0.0400;0.084521;0.637847;-0.473256;-6.000000;
-14.485;-0.0300;0.084064;0.635492;-0.356872;-6.000000;
-14.375;-0.0200;0.083617;0.633138;-0.239186;-6.000000;
-14.265;-0.0100;0.083180;0.630783;-0.120221;-6.000000;
-14.155;0.0000;0.082753;0.628428;0.000000;-6.000000;
-14.045;0.0100;0.082337;0.626073;0.121452;-6.000000;
-13.935;0.0200;0.081931;0.623719;0.244108;-6.000000;
-13.825;0.0300;0.081535;0.621364;0.367941;-6.000000;
-13.714;0.0400;0.081149;0.619009;0.492920;-6.000000;
-13.604;0.0500;0.080773;0.616654;0.619015;-6.000000;
-13.494;0.0600;0.080408;0.614300;0.746194;-6.000000;
-13.384;0.0700;0.080053;0.611945;0.874423;-6.000000;
-13.274;0.0800;0.079708;0.609590;1.003667;-6.000000;
-13.164;0.0900;0.079373;0.607236;1.133889;-6.000000;
-13.054;0.1000;0.079048;0.604881;1.265052;-6.000000;
-12.944;0.1100;0.078734;0.602526;1.397115;-6.000000;
-12.834;0.1200;0.078429;0.600171;1.530040;-6.000000;
