# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_approach_design_000_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-20.752;-0.5000;0.110568;0.356808;-4.522100;0.000000;
-20.641;-0.4900;0.109686;0.354558;-4.467279;0.000000;
-20.531;-0.4800;0.108815;0.352308;-4.411164;0.000000;
-20.421;-0.4700;0.107953;0.350058;-4.353738;0.000000;
-20.310;-0.4600;0.107102;0.347807;-4.294985;0.000000;
-20.200;-0.4500;0.106260;0.345557;-4.234891;0.000000;
-20.089;-0.4400;0.105429;0.343307;-4.173440;0.000000;
-19.979;-0.4300;0.104607;0.341057;-4.110619;0.000000;
-19.869;-0.4200;0.103796;0.338807;-4.046411;0.000000;
-19.758;-0.4100;0.102994;0.336557;-3.980805;0.000000;
-19.648;-0.4000;0.102203;0.334306;-3.913785;0.000000;
-19.537;-0.3900;0.101422;0.332056;-3.845338;0.000000;
-19.427;-0.3800;0.100650;0.329806;-3.775453;0.000000;
-19.316;-0.3700;0.099889;0.327556;-3.704116;0.000000;
-19.206;-0.3600;0.099138;0.325306;-3.631316;0.000000;
-19.096;-0.3500;0.098396;0.323056;-3.557042;0.000000;
-18.985;-0.3400;0.097665;0.320806;-3.481282;0.000000;
-18.875;-0.3300;0.096944;0.318555;-3.404028;0.000000;
-18.764;-0.3200;0.096233;0.316305;-3.325269;0.000000;
-18.654;-0.3100;0.095532;0.314055;-3.244996;0.000000;
-18.544;-0.3000;0.094841;0.311805;-3.163202;0.000000;
-18.433;-0.2900;0.094160;0.309555;-3.079878;0.000000;
-18.323;-0.2800;0.093489;0.307305;-2.995020;0.000000;
-18.212;-0.2700;0.092828;0.305054;-2.908620;0.000000;
-18.102;-0.2600;0.092177;0.302804;-2.820674;0.000000;
-17.991;-0.2500;0.091536;0.300554;-2.731177;0.000000;
-17.881;-0.2400;0.090905;0.298304;-2.640127;0.000000;
-17.771;-0.2300;0.090284;0.296054;-2.547522;0.000000;
-17.660;-0.2200;0.089673;0.293804;-2.453359;0.000000;
-17.550;-0.2100;0.089072;0.291553;-2.357639;0.000000;
-17.439;-0.2000;0.088481;0.289303;-2.260363;0.000000;
-17.329;-0.1900;0.087901;0.287053;-2.161532;0.000000;
-17.219;-0.1800;0.087330;0.284803;-2.061150;0.000000;
-17.108;-0.1700;0.086769;0.282553;-1.959221;0.000000;
-16.998;-0.1600;0.086219;0.280303;-1.855750;0.000000;
-16.887;-0.1500;0.085678;0.278053;-1.750744;0.000000;
-16.777;-0.1400;0.085147;0.275802;-1.644210;0.000000;
-16.666;-0.1300;0.084627;0.273552;-1.536159;0.000000;
-16.556;-0.1200;0.084116;0.271302;-1.426599;0.000000;
-16.446;-0.1100;0.083616;0.269052;-1.315544;0.000000;
-16.335;-0.1000;0.083125;0.266802;-1.203006;0.000000;
-16.225;-0.0900;0.082645;0.264552;-1.089000;0.000000;
-16.114;-0.0800;0.082174;0.262301;-0.973541;0.000000;
-16.004;-0.0700;0.081714;0.260051;-0.856648;0.000000;
-15.894;-0.0600;0.081263;0.257801;-0.738339;0.000000;
-15.783;-0.0500;0.080823;0.255551;-0.618635;0.000000;
-15.673;-0.0400;0.080393;0.253301;-0.497557;0.000000;
-15.562;-0.0300;0.079973;0.251051;-0.375129;0.000000;
-15.452;-0.0200;0.079562;0.248800;-0.251375;0.000000;
-15.341;-0.0100;0.079162;0.246550;-0.126323;0.000000;
-15.231;0.0000;0.078772;0.244300;0.000000;0.000000;
-15.121;0.0100;0.078392;0.242050;0.127565;0.000000;
-15.010;0.0200;0.078022;0.239800;0.256339;0.000000;
-14.900;0.0300;0.077661;0.237550;0.386292;0.000000;
-14.789;0.0400;0.077311;0.235299;0.517388;0.000000;
-14.679;0.0500;0.076971;0.233049;0.649592;0.000000;
-14.569;0.0600;0.076641;0.230799;0.782867;0.000000;
-14.458;0.0700;0.076321;0.228549;0.917174;0.000000;
-14.348;0.0800;0.076011;0.226299;1.052474;0.000000;
-14.237;0.0900;0.075711;0.224049;1.188723;0.000000;
-14.127;0.1000;0.075422;0.221799;1.325880;0.000000;
-14.016;0.1100;0.075142;0.219548;1.463900;0.000000;
-13.906;0.1200;0.074872;0.217298;1.602737;0.000000;
-13.796;0.1300;0.074612;0.215048;1.742345;0.000000;
-13.685;0.1400;0.074362;0.212798;1.882674;0.000000;
-13.575;0.1500;0.074123;0.210548;2.023675;0.000000;
-13.464;0.1600;0.073893;0.208298;2.165297;0.000000;
-13.354;0.1700;0.073673;0.206047;2.307488;0.000000;
-13.244;0.1800;0.073464;0.203797;2.450195;0.000000;
-13.133;0.1900;0.073264;0.201547;2.593364;0.000000;
-13.023;0.2000;0.073074;0.199297;2.736939;0.000000;
-12.912;0.2100;0.072895;0.197047;2.880865;0.000000;
-12.802;0.2200;0.072725;0.194797;3.025085;0.000000;
-12.691;0.2300;0.072566;0.192546;3.169540;0.000000;
-12.581;0.2400;0.072416;0.190296;3.314172;0.000000;
-12.471;0.2500;0.072277;0.188046;3.458923;0.000000;
-12.360;0.2600;0.072147;0.185796;3.603733;0.000000;
-12.250;0.2700;0.072028;0.183546;3.748541;0.000000;
-12.139;0.2800;0.071919;0.181296;3.893286;0.000000;
-12.029;0.2900;0.071819;0.179046;4.037909;0.000000;
-11.919;0.3000;0.071730;0.176795;4.182347;0.000000;
-11.808;0.3100;0.071651;0.174545;4.326539;0.000000;
-11.698;0.3200;0.071582;0.172295;4.470424;0.000000;
-11.587;0.3300;0.071522;0.170045;4.613941;0.000000;
-11.477;0.3400;0.071473;0.167795;4.757028;0.000000;
-11.366;0.3500;0.071434;0.165545;4.899624;0.000000;
-11.256;0.3600;0.071405;0.163294;5.041668;0.000000;
-11.146;0.3700;0.071386;0.161044;5.183099;0.000000;
-11.035;0.3800;0.071377;0.158794;5.323858;0.000000;
-10.925;0.3900;0.071378;0.156544;5.463885;0.000000;
-10.814;0.4000;0.071389;0.154294;5.603120;0.000000;
-10.704;0.4100;0.071410;0.152044;5.741506;0.000000;
-10.594;0.4200;0.071441;0.149793;5.878985;0.000000;
-10.483;0.4300;0.071482;0.147543;6.015500;0.000000;
-10.373;0.4400;0.071533;0.145293;6.150996;0.000000;
-10.262;0.4500;0.071594;0.143043;6.285418;0.000000;
-10.152;0.4600;0.071665;0.140793;6.418712;0.000000;
-10.041;0.4700;0.071747;0.138543;6.550825;0.000000;
-9.931;0.4800;0.071838;0.136293;6.681706;0.000000;
-9.821;0.4900;0.071939;0.134042;6.811306;0.000000;
-9.710;0.5000;0.072051;0.131792;6.939575;0.000000;
-9.600;0.5100;0.072172;0.129542;7.066466;0.000000;
-9.489;0.5200;0.072303;0.127292;7.191933;0.000000;
-9.379;0.5300;0.072445;0.125042;7.315933;0.000000;
-9.269;0.5400;0.072596;0.122792;7.438421;0.000000;
