# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_approach_landing_gear_out_design_-600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-17.914;-0.5000;0.148562;0.716165;-3.365607;-6.000000;
-17.804;-0.4900;0.147636;0.713810;-3.318978;-6.000000;
-17.694;-0.4800;0.146720;0.711455;-3.271532;-6.000000;
-17.584;-0.4700;0.145815;0.709101;-3.223265;-6.000000;
-17.474;-0.4600;0.144920;0.706746;-3.174172;-6.000000;
-17.364;-0.4500;0.144035;0.704391;-3.124248;-6.000000;
-17.254;-0.4400;0.143160;0.702037;-3.073488;-6.000000;
-17.143;-0.4300;0.142295;0.699682;-3.021887;-6.000000;
-17.033;-0.4200;0.141441;0.697327;-2.969441;-6.000000;
-16.923;-0.4100;0.140596;0.694972;-2.916147;-6.000000;
-16.813;-0.4000;0.139762;0.692618;-2.862000;-6.000000;
-16.703;-0.3900;0.138939;0.690263;-2.806997;-6.000000;
-16.593;-0.3800;0.138125;0.687908;-2.751134;-6.000000;
-16.483;-0.3700;0.137321;0.685553;-2.694410;-6.000000;
-16.373;-0.3600;0.136528;0.683199;-2.636821;-6.000000;
-16.263;-0.3500;0.135745;0.680844;-2.578366;-6.000000;
-16.152;-0.3400;0.134972;0.678489;-2.519042;-6.000000;
-16.042;-0.3300;0.134209;0.676134;-2.458848;-6.000000;
-15.932;-0.3200;0.133457;0.673780;-2.397783;-6.000000;
-15.822;-0.3100;0.132714;0.671425;-2.335846;-6.000000;
-15.712;-0.3000;0.131982;0.669070;-2.273037;-6.000000;
-15.602;-0.2900;0.131260;0.666715;-2.209355;-6.000000;
-15.492;-0.2800;0.130548;0.664361;-2.144802;-6.000000;
-15.382;-0.2700;0.129847;0.662006;-2.079377;-6.000000;
-15.272;-0.2600;0.129155;0.659651;-2.013083;-6.000000;
-15.161;-0.2500;0.128474;0.657297;-1.945921;-6.000000;
-15.051;-0.2400;0.127803;0.654942;-1.877893;-6.000000;
-14.941;-0.2300;0.127142;0.652587;-1.809002;-6.000000;
-14.831;-0.2200;0.126491;0.650232;-1.739251;-6.000000;
-14.721;-0.2100;0.125851;0.647878;-1.668644;-6.000000;
-14.611;-0.2000;0.125220;0.645523;-1.597184;-6.000000;
-14.501;-0.1900;0.124600;0.643168;-1.524876;-6.000000;
-14.391;-0.1800;0.123990;0.640813;-1.451726;-6.000000;
-14.280;-0.1700;0.123391;0.638459;-1.377739;-6.000000;
-14.170;-0.1600;0.122801;0.636104;-1.302921;-6.000000;
-14.060;-0.1500;0.122222;0.633749;-1.227279;-6.000000;
-13.950;-0.1400;0.121652;0.631394;-1.150820;-6.000000;
-13.840;-0.1300;0.121093;0.629040;-1.073551;-6.000000;
-13.730;-0.1200;0.120545;0.626685;-0.995482;-6.000000;
-13.620;-0.1100;0.120006;0.624330;-0.916621;-6.000000;
-13.510;-0.1000;0.119478;0.621975;-0.836977;-6.000000;
-13.400;-0.0900;0.118959;0.619621;-0.756561;-6.000000;
-13.289;-0.0800;0.118451;0.617266;-0.675383;-6.000000;
-13.179;-0.0700;0.117953;0.614911;-0.593455;-6.000000;
-13.069;-0.0600;0.117466;0.612557;-0.510788;-6.000000;
-12.959;-0.0500;0.116988;0.610202;-0.427394;-6.000000;
-12.849;-0.0400;0.116521;0.607847;-0.343286;-6.000000;
-12.739;-0.0300;0.116064;0.605492;-0.258479;-6.000000;
-12.629;-0.0200;0.115617;0.603138;-0.172985;-6.000000;
-12.519;-0.0100;0.115180;0.600783;-0.086821;-6.000000;
-12.409;0.0000;0.114753;0.598428;0.000000;-6.000000;
-12.298;0.0100;0.114337;0.596073;0.087461;-6.000000;
-12.188;0.0200;0.113931;0.593719;0.175545;-6.000000;
-12.078;0.0300;0.113535;0.591364;0.264236;-6.000000;
-11.968;0.0400;0.113149;0.589009;0.353516;-6.000000;
-11.858;0.0500;0.112773;0.586654;0.443367;-6.000000;
-11.748;0.0600;0.112408;0.584300;0.533770;-6.000000;
-11.638;0.0700;0.112053;0.581945;0.624706;-6.000000;
-11.528;0.0800;0.111708;0.579590;0.716155;-6.000000;
-11.418;0.0900;0.111373;0.577236;0.808096;-6.000000;
-11.307;0.1000;0.111048;0.574881;0.900510;-6.000000;
-11.197;0.1100;0.110734;0.572526;0.993375;-6.000000;
-11.087;0.1200;0.110429;0.570171;1.086668;-6.000000;
-10.977;0.1300;0.110135;0.567817;1.180367;-6.000000;
-10.867;0.1400;0.109851;0.565462;1.274450;-6.000000;
-10.757;0.1500;0.109578;0.563107;1.368894;-6.000000;
-10.647;0.1600;0.109314;0.560752;1.463674;-6.000000;
-10.537;0.1700;0.109061;0.558398;1.558766;-6.000000;
-10.427;0.1800;0.108817;0.556043;1.654147;-6.000000;
-10.316;0.1900;0.108584;0.553688;1.749791;-6.000000;
-10.206;0.2000;0.108362;0.551333;1.845672;-6.000000;
-10.096;0.2100;0.108149;0.548979;1.941766;-6.000000;
-9.986;0.2200;0.107947;0.546624;2.038046;-6.000000;
-9.876;0.2300;0.107754;0.544269;2.134485;-6.000000;
-9.766;0.2400;0.107572;0.541914;2.231059;-6.000000;
-9.656;0.2500;0.107400;0.539560;2.327739;-6.000000;
-9.546;0.2600;0.107239;0.537205;2.424498;-6.000000;
-9.436;0.2700;0.107087;0.534850;2.521310;-6.000000;
-9.325;0.2800;0.106946;0.532496;2.618146;-6.000000;
-9.215;0.2900;0.106815;0.530141;2.714980;-6.000000;
-9.105;0.3000;0.106694;0.527786;2.811784;-6.000000;
-8.995;0.3100;0.106583;0.525431;2.908529;-6.000000;
-8.885;0.3200;0.106483;0.523077;3.005188;-6.000000;
-8.775;0.3300;0.106392;0.520722;3.101732;-6.000000;
-8.665;0.3400;0.106312;0.518367;3.198134;-6.000000;
-8.555;0.3500;0.106242;0.516012;3.294366;-6.000000;
-8.445;0.3600;0.106182;0.513658;3.390399;-6.000000;
-8.334;0.3700;0.106133;0.511303;3.486206;-6.000000;
-8.224;0.3800;0.106093;0.508948;3.581759;-6.000000;
-8.114;0.3900;0.106064;0.506593;3.677029;-6.000000;
-8.004;0.4000;0.106045;0.504239;3.771990;-6.000000;
-7.894;0.4100;0.106036;0.501884;3.866613;-6.000000;
-7.784;0.4200;0.106037;0.499529;3.960871;-6.000000;
-7.674;0.4300;0.106049;0.497174;4.054737;-6.000000;
-7.564;0.4400;0.106070;0.494820;4.148185;-6.000000;
-7.454;0.4500;0.106102;0.492465;4.241187;-6.000000;
-7.343;0.4600;0.106144;0.490110;4.333717;-6.000000;
-7.233;0.4700;0.106197;0.487756;4.425750;-6.000000;
-7.123;0.4800;0.106259;0.485401;4.517258;-6.000000;
-7.013;0.4900;0.106332;0.483046;4.608218;-6.000000;
-6.903;0.5000;0.106415;0.480691;4.698603;-6.000000;
-6.793;0.5100;0.106508;0.478337;4.788390;-6.000000;
-6.683;0.5200;0.106611;0.475982;4.877554;-6.000000;
-6.573;0.5300;0.106724;0.473627;4.966072;-6.000000;
-6.463;0.5400;0.106848;0.471272;5.053919;-6.000000;
-6.352;0.5500;0.106982;0.468918;5.141075;-6.000000;
-6.242;0.5600;0.107125;0.466563;5.227515;-6.000000;
-6.132;0.5700;0.107280;0.464208;5.313218;-6.000000;
-6.022;0.5800;0.107444;0.461853;5.398164;-6.000000;
-5.912;0.5900;0.107618;0.459499;5.482332;-6.000000;
-5.802;0.6000;0.107803;0.457144;5.565701;-6.000000;
-5.692;0.6100;0.107998;0.454789;5.648251;-6.000000;
-5.582;0.6200;0.108203;0.452434;5.729965;-6.000000;
-5.472;0.6300;0.108418;0.450080;5.810824;-6.000000;
-5.361;0.6400;0.108644;0.447725;5.890809;-6.000000;
-5.251;0.6500;0.108879;0.445370;5.969905;-6.000000;
-5.141;0.6600;0.109125;0.443016;6.048095;-6.000000;
-5.031;0.6700;0.109381;0.440661;6.125362;-6.000000;
-4.921;0.6800;0.109647;0.438306;6.201693;-6.000000;
-4.811;0.6900;0.109924;0.435951;6.277071;-6.000000;
-4.701;0.7000;0.110210;0.433597;6.351485;-6.000000;
-4.591;0.7100;0.110507;0.431242;6.424920;-6.000000;
-4.481;0.7200;0.110814;0.428887;6.497364;-6.000000;
-4.370;0.7300;0.111131;0.426532;6.568806;-6.000000;
-4.260;0.7400;0.111459;0.424178;6.639235;-6.000000;
-4.150;0.7500;0.111796;0.421823;6.708639;-6.000000;
-4.040;0.7600;0.112144;0.419468;6.777010;-6.000000;
