# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_approach_landing_gear_out_design_600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-20.066;-0.5000;0.140069;-0.056780;-3.569663;6.000000;
-19.955;-0.4900;0.139230;-0.059033;-3.519344;6.000000;
-19.845;-0.4800;0.138402;-0.061287;-3.468167;6.000000;
-19.734;-0.4700;0.137583;-0.063540;-3.416128;6.000000;
-19.624;-0.4600;0.136774;-0.065794;-3.363222;6.000000;
-19.513;-0.4500;0.135974;-0.068047;-3.309445;6.000000;
-19.403;-0.4400;0.135185;-0.070300;-3.254794;6.000000;
-19.292;-0.4300;0.134406;-0.072554;-3.199265;6.000000;
-19.182;-0.4200;0.133636;-0.074807;-3.142856;6.000000;
-19.071;-0.4100;0.132877;-0.077060;-3.085563;6.000000;
-18.960;-0.4000;0.132127;-0.079314;-3.027385;6.000000;
-18.850;-0.3900;0.131388;-0.081567;-2.968319;6.000000;
-18.739;-0.3800;0.130658;-0.083821;-2.908363;6.000000;
-18.629;-0.3700;0.129938;-0.086074;-2.847517;6.000000;
-18.518;-0.3600;0.129228;-0.088327;-2.785780;6.000000;
-18.408;-0.3500;0.128528;-0.090581;-2.723151;6.000000;
-18.297;-0.3400;0.127837;-0.092834;-2.659629;6.000000;
-18.187;-0.3300;0.127157;-0.095087;-2.595216;6.000000;
-18.076;-0.3200;0.126487;-0.097341;-2.529911;6.000000;
-17.966;-0.3100;0.125826;-0.099594;-2.463717;6.000000;
-17.855;-0.3000;0.125176;-0.101848;-2.396635;6.000000;
-17.745;-0.2900;0.124535;-0.104101;-2.328666;6.000000;
-17.634;-0.2800;0.123904;-0.106354;-2.259814;6.000000;
-17.523;-0.2700;0.123283;-0.108608;-2.190081;6.000000;
-17.413;-0.2600;0.122672;-0.110861;-2.119471;6.000000;
-17.302;-0.2500;0.122071;-0.113114;-2.047989;6.000000;
-17.192;-0.2400;0.121480;-0.115368;-1.975637;6.000000;
-17.081;-0.2300;0.120899;-0.117621;-1.902422;6.000000;
-16.971;-0.2200;0.120327;-0.119875;-1.828349;6.000000;
-16.860;-0.2100;0.119766;-0.122128;-1.753425;6.000000;
-16.750;-0.2000;0.119214;-0.124381;-1.677655;6.000000;
-16.639;-0.1900;0.118672;-0.126635;-1.601047;6.000000;
-16.529;-0.1800;0.118141;-0.128888;-1.523608;6.000000;
-16.418;-0.1700;0.117619;-0.131141;-1.445348;6.000000;
-16.307;-0.1600;0.117107;-0.133395;-1.366275;6.000000;
-16.197;-0.1500;0.116605;-0.135648;-1.286398;6.000000;
-16.086;-0.1400;0.116112;-0.137902;-1.205727;6.000000;
-15.976;-0.1300;0.115630;-0.140155;-1.124273;6.000000;
-15.865;-0.1200;0.115158;-0.142408;-1.042048;6.000000;
-15.755;-0.1100;0.114695;-0.144662;-0.959062;6.000000;
-15.644;-0.1000;0.114243;-0.146915;-0.875328;6.000000;
-15.534;-0.0900;0.113800;-0.149168;-0.790860;6.000000;
-15.423;-0.0800;0.113367;-0.151422;-0.705670;6.000000;
-15.313;-0.0700;0.112945;-0.153675;-0.619773;6.000000;
-15.202;-0.0600;0.112532;-0.155929;-0.533183;6.000000;
-15.092;-0.0500;0.112129;-0.158182;-0.445917;6.000000;
-14.981;-0.0400;0.111735;-0.160435;-0.357988;6.000000;
-14.870;-0.0300;0.111352;-0.162689;-0.269415;6.000000;
-14.760;-0.0200;0.110979;-0.164942;-0.180214;6.000000;
-14.649;-0.0100;0.110615;-0.167195;-0.090403;6.000000;
-14.539;0.0000;0.110262;-0.169449;0.000000;6.000000;
-14.428;0.0100;0.109918;-0.171702;0.090977;6.000000;
-14.318;0.0200;0.109585;-0.173956;0.182507;6.000000;
-14.207;0.0300;0.109261;-0.176209;0.274573;6.000000;
-14.097;0.0400;0.108947;-0.178462;0.367152;6.000000;
-13.986;0.0500;0.108643;-0.180716;0.460224;6.000000;
-13.876;0.0600;0.108349;-0.182969;0.553768;6.000000;
-13.765;0.0700;0.108064;-0.185222;0.647761;6.000000;
-13.654;0.0800;0.107790;-0.187476;0.742183;6.000000;
-13.544;0.0900;0.107526;-0.189729;0.837009;6.000000;
-13.433;0.1000;0.107271;-0.191983;0.932216;6.000000;
-13.323;0.1100;0.107027;-0.194236;1.027781;6.000000;
-13.212;0.1200;0.106792;-0.196489;1.123680;6.000000;
-13.102;0.1300;0.106567;-0.198743;1.219888;6.000000;
-12.991;0.1400;0.106352;-0.200996;1.316380;6.000000;
-12.881;0.1500;0.106147;-0.203249;1.413131;6.000000;
-12.770;0.1600;0.105952;-0.205503;1.510115;6.000000;
-12.660;0.1700;0.105767;-0.207756;1.607306;6.000000;
-12.549;0.1800;0.105592;-0.210010;1.704679;6.000000;
-12.438;0.1900;0.105426;-0.212263;1.802206;6.000000;
-12.328;0.2000;0.105271;-0.214516;1.899861;6.000000;
-12.217;0.2100;0.105125;-0.216770;1.997616;6.000000;
-12.107;0.2200;0.104990;-0.219023;2.095445;6.000000;
