# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_climb_design_-600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-14.313;-0.5000;0.040993;0.656165;-12.197271;-6.000000;
-14.203;-0.4900;0.040271;0.653810;-12.167635;-6.000000;
-14.093;-0.4800;0.039559;0.651455;-12.133790;-6.000000;
-13.983;-0.4700;0.038857;0.649101;-12.095534;-6.000000;
-13.873;-0.4600;0.038166;0.646746;-12.052652;-6.000000;
-13.763;-0.4500;0.037485;0.644391;-12.004925;-6.000000;
-13.653;-0.4400;0.036814;0.642037;-11.952121;-6.000000;
-13.542;-0.4300;0.036153;0.639682;-11.894005;-6.000000;
-13.432;-0.4200;0.035502;0.637327;-11.830328;-6.000000;
-13.322;-0.4100;0.034861;0.634972;-11.760836;-6.000000;
-13.212;-0.4000;0.034231;0.632618;-11.685263;-6.000000;
-13.102;-0.3900;0.033611;0.630263;-11.603337;-6.000000;
-12.992;-0.3800;0.033001;0.627908;-11.514775;-6.000000;
-12.882;-0.3700;0.032401;0.625553;-11.419287;-6.000000;
-12.772;-0.3600;0.031812;0.623199;-11.316571;-6.000000;
-12.662;-0.3500;0.031232;0.620844;-11.206320;-6.000000;
-12.551;-0.3400;0.030663;0.618489;-11.088215;-6.000000;
-12.441;-0.3300;0.030104;0.616134;-10.961932;-6.000000;
-12.331;-0.3200;0.029555;0.613780;-10.827137;-6.000000;
-12.221;-0.3100;0.029017;0.611425;-10.683489;-6.000000;
-12.111;-0.3000;0.028488;0.609070;-10.530640;-6.000000;
-12.001;-0.2900;0.027970;0.606715;-10.368236;-6.000000;
-11.891;-0.2800;0.027462;0.604361;-10.195915;-6.000000;
-11.781;-0.2700;0.026964;0.602006;-10.013314;-6.000000;
-11.671;-0.2600;0.026476;0.599651;-9.820062;-6.000000;
-11.560;-0.2500;0.025999;0.597297;-9.615789;-6.000000;
-11.450;-0.2400;0.025532;0.594942;-9.400118;-6.000000;
-11.340;-0.2300;0.025074;0.592587;-9.172678;-6.000000;
-11.230;-0.2200;0.024628;0.590232;-8.933093;-6.000000;
-11.120;-0.2100;0.024191;0.587878;-8.680995;-6.000000;
-11.010;-0.2000;0.023764;0.585523;-8.416016;-6.000000;
-10.900;-0.1900;0.023348;0.583168;-8.137799;-6.000000;
-10.790;-0.1800;0.022942;0.580813;-7.845993;-6.000000;
-10.679;-0.1700;0.022546;0.578459;-7.540258;-6.000000;
-10.569;-0.1600;0.022160;0.576104;-7.220271;-6.000000;
-10.459;-0.1500;0.021784;0.573749;-6.885722;-6.000000;
-10.349;-0.1400;0.021419;0.571394;-6.536323;-6.000000;
-10.239;-0.1300;0.021064;0.569040;-6.171807;-6.000000;
-10.129;-0.1200;0.020718;0.566685;-5.791936;-6.000000;
-10.019;-0.1100;0.020384;0.564330;-5.396499;-6.000000;
-9.909;-0.1000;0.020059;0.561975;-4.985319;-6.000000;
-9.799;-0.0900;0.019744;0.559621;-4.558255;-6.000000;
-9.688;-0.0800;0.019440;0.557266;-4.115208;-6.000000;
-9.578;-0.0700;0.019146;0.554911;-3.656123;-6.000000;
-9.468;-0.0600;0.018862;0.552557;-3.180994;-6.000000;
-9.358;-0.0500;0.018588;0.550202;-2.689867;-6.000000;
-9.248;-0.0400;0.018325;0.547847;-2.182844;-6.000000;
-9.138;-0.0300;0.018071;0.545492;-1.660086;-6.000000;
-9.028;-0.0200;0.017828;0.543138;-1.121821;-6.000000;
-8.918;-0.0100;0.017595;0.540783;-0.568338;-6.000000;
-8.808;0.0000;0.017372;0.538428;0.000000;-6.000000;
-8.697;0.0100;0.017160;0.536073;0.582760;-6.000000;
-8.587;0.0200;0.016957;0.533719;1.179433;-6.000000;
-8.477;0.0300;0.016765;0.531364;1.789437;-6.000000;
-8.367;0.0400;0.016583;0.529009;2.412110;-6.000000;
-8.257;0.0500;0.016411;0.526654;3.046714;-6.000000;
-8.147;0.0600;0.016249;0.524300;3.692435;-6.000000;
-8.037;0.0700;0.016098;0.521945;4.348381;-6.000000;
-7.927;0.0800;0.015957;0.519590;5.013588;-6.000000;
-7.817;0.0900;0.015826;0.517236;5.687019;-6.000000;
-7.706;0.1000;0.015705;0.514881;6.367568;-6.000000;
-7.596;0.1100;0.015594;0.512526;7.054068;-6.000000;
-7.486;0.1200;0.015493;0.510171;7.745293;-6.000000;
-7.376;0.1300;0.015403;0.507817;8.439963;-6.000000;
-7.266;0.1400;0.015323;0.505462;9.136753;-6.000000;
-7.156;0.1500;0.015253;0.503107;9.834301;-6.000000;
-7.046;0.1600;0.015193;0.500752;10.531215;-6.000000;
-6.936;0.1700;0.015143;0.498398;11.226079;-6.000000;
-6.826;0.1800;0.015104;0.496043;11.917468;-6.000000;
-6.715;0.1900;0.015075;0.493688;12.603952;-6.000000;
-6.605;0.2000;0.015056;0.491333;13.284111;-6.000000;
-6.495;0.2100;0.015047;0.488979;13.956537;-6.000000;
-6.385;0.2200;0.015048;0.486624;14.619851;-6.000000;
-6.275;0.2300;0.015060;0.484269;15.272710;-6.000000;
-6.165;0.2400;0.015081;0.481914;15.913815;-6.000000;
-6.055;0.2500;0.015113;0.479560;16.541920;-6.000000;
-5.945;0.2600;0.015155;0.477205;17.155840;-6.000000;
-5.835;0.2700;0.015207;0.474850;17.754458;-6.000000;
-5.724;0.2800;0.015270;0.472496;18.336735;-6.000000;
-5.614;0.2900;0.015343;0.470141;18.901709;-6.000000;
-5.504;0.3000;0.015425;0.467786;19.448506;-6.000000;
-5.394;0.3100;0.015518;0.465431;19.976340;-6.000000;
-5.284;0.3200;0.015622;0.463077;20.484516;-6.000000;
-5.174;0.3300;0.015735;0.460722;20.972435;-6.000000;
-5.064;0.3400;0.015859;0.458367;21.439590;-6.000000;
-4.954;0.3500;0.015992;0.456012;21.885570;-6.000000;
-4.844;0.3600;0.016136;0.453658;22.310058;-6.000000;
-4.733;0.3700;0.016290;0.451303;22.712825;-6.000000;
-4.623;0.3800;0.016455;0.448948;23.093736;-6.000000;
-4.513;0.3900;0.016629;0.446593;23.452736;-6.000000;
-4.403;0.4000;0.016814;0.444239;23.789857;-6.000000;
-4.293;0.4100;0.017009;0.441884;24.105205;-6.000000;
