# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_climb_design_000_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-15.383;-0.5000;0.035851;0.266808;-13.946470;0.000000;
-15.273;-0.4900;0.035170;0.264558;-13.932207;0.000000;
-15.162;-0.4800;0.034499;0.262308;-13.913335;0.000000;
-15.052;-0.4700;0.033838;0.260058;-13.889596;0.000000;
-14.941;-0.4600;0.033187;0.257807;-13.860721;0.000000;
-14.831;-0.4500;0.032546;0.255557;-13.826428;0.000000;
-14.721;-0.4400;0.031915;0.253307;-13.786423;0.000000;
-14.610;-0.4300;0.031295;0.251057;-13.740400;0.000000;
-14.500;-0.4200;0.030684;0.248807;-13.688037;0.000000;
-14.389;-0.4100;0.030083;0.246557;-13.629002;0.000000;
-14.279;-0.4000;0.029492;0.244306;-13.562947;0.000000;
-14.169;-0.3900;0.028911;0.242056;-13.489509;0.000000;
-14.058;-0.3800;0.028341;0.239806;-13.408314;0.000000;
-13.948;-0.3700;0.027780;0.237556;-13.318970;0.000000;
-13.837;-0.3600;0.027229;0.235306;-13.221074;0.000000;
-13.727;-0.3500;0.026689;0.233056;-13.114206;0.000000;
-13.616;-0.3400;0.026158;0.230806;-12.997933;0.000000;
-13.506;-0.3300;0.025637;0.228555;-12.871808;0.000000;
-13.396;-0.3200;0.025127;0.226305;-12.735369;0.000000;
-13.285;-0.3100;0.024626;0.224055;-12.588141;0.000000;
-13.175;-0.3000;0.024136;0.221805;-12.429637;0.000000;
-13.064;-0.2900;0.023655;0.219555;-12.259356;0.000000;
-12.954;-0.2800;0.023185;0.217305;-12.076789;0.000000;
-12.844;-0.2700;0.022725;0.215054;-11.881413;0.000000;
-12.733;-0.2600;0.022274;0.212804;-11.672697;0.000000;
-12.623;-0.2500;0.021834;0.210554;-11.450106;0.000000;
-12.512;-0.2400;0.021404;0.208304;-11.213094;0.000000;
-12.402;-0.2300;0.020983;0.206054;-10.961114;0.000000;
-12.291;-0.2200;0.020573;0.203804;-10.693619;0.000000;
-12.181;-0.2100;0.020173;0.201553;-10.410059;0.000000;
-12.071;-0.2000;0.019783;0.199303;-10.109892;0.000000;
-11.960;-0.1900;0.019402;0.197053;-9.792580;0.000000;
-11.850;-0.1800;0.019032;0.194803;-9.457600;0.000000;
-11.739;-0.1700;0.018672;0.192553;-9.104438;0.000000;
-11.629;-0.1600;0.018322;0.190303;-8.732604;0.000000;
-11.519;-0.1500;0.017982;0.188053;-8.341628;0.000000;
-11.408;-0.1400;0.017652;0.185802;-7.931072;0.000000;
-11.298;-0.1300;0.017332;0.183552;-7.500530;0.000000;
