# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_landing_design_-600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-21.517;-0.5000;0.160380;0.776165;-3.117605;-6.000000;
-21.407;-0.4900;0.159352;0.773810;-3.074956;-6.000000;
-21.297;-0.4800;0.158334;0.771455;-3.031558;-6.000000;
-21.187;-0.4700;0.157327;0.769101;-2.987405;-6.000000;
-21.077;-0.4600;0.156330;0.766746;-2.942492;-6.000000;
-20.966;-0.4500;0.155343;0.764391;-2.896811;-6.000000;
-20.856;-0.4400;0.154367;0.762037;-2.850359;-6.000000;
-20.746;-0.4300;0.153400;0.759682;-2.803129;-6.000000;
-20.636;-0.4200;0.152444;0.757327;-2.755116;-6.000000;
-20.526;-0.4100;0.151498;0.754972;-2.706315;-6.000000;
-20.416;-0.4000;0.150562;0.752618;-2.656720;-6.000000;
-20.306;-0.3900;0.149636;0.750263;-2.606328;-6.000000;
-20.196;-0.3800;0.148720;0.747908;-2.555133;-6.000000;
-20.086;-0.3700;0.147815;0.745553;-2.503131;-6.000000;
-19.975;-0.3600;0.146920;0.743199;-2.450319;-6.000000;
-19.865;-0.3500;0.146035;0.740844;-2.396691;-6.000000;
-19.755;-0.3400;0.145160;0.738489;-2.342246;-6.000000;
-19.645;-0.3300;0.144295;0.736134;-2.286978;-6.000000;
-19.535;-0.3200;0.143441;0.733780;-2.230886;-6.000000;
-19.425;-0.3100;0.142596;0.731425;-2.173966;-6.000000;
-19.315;-0.3000;0.141762;0.729070;-2.116217;-6.000000;
-19.205;-0.2900;0.140939;0.726715;-2.057634;-6.000000;
-19.095;-0.2800;0.140125;0.724361;-1.998218;-6.000000;
-18.984;-0.2700;0.139321;0.722006;-1.937966;-6.000000;
-18.874;-0.2600;0.138528;0.719651;-1.876877;-6.000000;
-18.764;-0.2500;0.137745;0.717297;-1.814949;-6.000000;
-18.654;-0.2400;0.136972;0.714942;-1.752184;-6.000000;
-18.544;-0.2300;0.136209;0.712587;-1.688579;-6.000000;
-18.434;-0.2200;0.135457;0.710232;-1.624136;-6.000000;
-18.324;-0.2100;0.134714;0.707878;-1.558855;-6.000000;
-18.214;-0.2000;0.133982;0.705523;-1.492738;-6.000000;
-18.104;-0.1900;0.133260;0.703168;-1.425784;-6.000000;
-17.993;-0.1800;0.132548;0.700813;-1.357997;-6.000000;
-17.883;-0.1700;0.131847;0.698459;-1.289377;-6.000000;
-17.773;-0.1600;0.131155;0.696104;-1.219929;-6.000000;
-17.663;-0.1500;0.130474;0.693749;-1.149655;-6.000000;
-17.553;-0.1400;0.129803;0.691394;-1.078559;-6.000000;
-17.443;-0.1300;0.129142;0.689040;-1.006644;-6.000000;
-17.333;-0.1200;0.128491;0.686685;-0.933916;-6.000000;
-17.223;-0.1100;0.127851;0.684330;-0.860378;-6.000000;
-17.113;-0.1000;0.127220;0.681975;-0.786037;-6.000000;
-17.002;-0.0900;0.126600;0.679621;-0.710899;-6.000000;
-16.892;-0.0800;0.125990;0.677266;-0.634969;-6.000000;
-16.782;-0.0700;0.125391;0.674911;-0.558256;-6.000000;
-16.672;-0.0600;0.124801;0.672557;-0.480765;-6.000000;
-16.562;-0.0500;0.124222;0.670202;-0.402506;-6.000000;
-16.452;-0.0400;0.123652;0.667847;-0.323487;-6.000000;
-16.342;-0.0300;0.123093;0.665492;-0.243717;-6.000000;
-16.232;-0.0200;0.122545;0.663138;-0.163206;-6.000000;
-16.122;-0.0100;0.122006;0.660783;-0.081963;-6.000000;
-16.011;0.0000;0.121478;0.658428;0.000000;-6.000000;
-15.901;0.0100;0.120959;0.656073;0.082672;-6.000000;
-15.791;0.0200;0.120451;0.653719;0.166042;-6.000000;
-15.681;0.0300;0.119953;0.651364;0.250097;-6.000000;
-15.571;0.0400;0.119466;0.649009;0.334824;-6.000000;
-15.461;0.0500;0.118988;0.646654;0.420210;-6.000000;
-15.351;0.0600;0.118521;0.644300;0.506240;-6.000000;
-15.241;0.0700;0.118064;0.641945;0.592900;-6.000000;
-15.130;0.0800;0.117617;0.639590;0.680175;-6.000000;
-15.020;0.0900;0.117180;0.637236;0.768049;-6.000000;
-14.910;0.1000;0.116753;0.634881;0.856506;-6.000000;
-14.800;0.1100;0.116337;0.632526;0.945528;-6.000000;
-14.690;0.1200;0.115931;0.630171;1.035099;-6.000000;
-14.580;0.1300;0.115535;0.627817;1.125201;-6.000000;
-14.470;0.1400;0.115149;0.625462;1.215815;-6.000000;
-14.360;0.1500;0.114773;0.623107;1.306922;-6.000000;
-14.250;0.1600;0.114408;0.620752;1.398503;-6.000000;
-14.139;0.1700;0.114053;0.618398;1.490538;-6.000000;
-14.029;0.1800;0.113708;0.616043;1.583006;-6.000000;
-13.919;0.1900;0.113373;0.613688;1.675886;-6.000000;
-13.809;0.2000;0.113048;0.611333;1.769158;-6.000000;
-13.699;0.2100;0.112734;0.608979;1.862798;-6.000000;
-13.589;0.2200;0.112429;0.606624;1.956785;-6.000000;
-13.479;0.2300;0.112135;0.604269;2.051095;-6.000000;
-13.369;0.2400;0.111851;0.601914;2.145706;-6.000000;
-13.259;0.2500;0.111578;0.599560;2.240594;-6.000000;
-13.148;0.2600;0.111314;0.597205;2.335736;-6.000000;
-13.038;0.2700;0.111061;0.594850;2.431105;-6.000000;
-12.928;0.2800;0.110817;0.592496;2.526679;-6.000000;
-12.818;0.2900;0.110584;0.590141;2.622431;-6.000000;
-12.708;0.3000;0.110362;0.587786;2.718337;-6.000000;
-12.598;0.3100;0.110149;0.585431;2.814370;-6.000000;
-12.488;0.3200;0.109947;0.583077;2.910505;-6.000000;
-12.378;0.3300;0.109754;0.580722;3.006716;-6.000000;
-12.268;0.3400;0.109572;0.578367;3.102976;-6.000000;
-12.157;0.3500;0.109400;0.576012;3.199258;-6.000000;
-12.047;0.3600;0.109239;0.573658;3.295536;-6.000000;
-11.937;0.3700;0.109087;0.571303;3.391782;-6.000000;
-11.827;0.3800;0.108946;0.568948;3.487970;-6.000000;
-11.717;0.3900;0.108815;0.566593;3.584072;-6.000000;
-11.607;0.4000;0.108694;0.564239;3.680061;-6.000000;
-11.497;0.4100;0.108583;0.561884;3.775910;-6.000000;
-11.387;0.4200;0.108483;0.559529;3.871591;-6.000000;
-11.277;0.4300;0.108392;0.557174;3.967076;-6.000000;
-11.166;0.4400;0.108312;0.554820;4.062339;-6.000000;
-11.056;0.4500;0.108242;0.552465;4.157352;-6.000000;
-10.946;0.4600;0.108182;0.550110;4.252087;-6.000000;
-10.836;0.4700;0.108133;0.547756;4.346517;-6.000000;
-10.726;0.4800;0.108093;0.545401;4.440615;-6.000000;
-10.616;0.4900;0.108064;0.543046;4.534355;-6.000000;
-10.506;0.5000;0.108045;0.540691;4.627709;-6.000000;
-10.396;0.5100;0.108036;0.538337;4.720650;-6.000000;
-10.286;0.5200;0.108037;0.535982;4.813153;-6.000000;
-10.175;0.5300;0.108049;0.533627;4.905191;-6.000000;
-10.065;0.5400;0.108070;0.531272;4.996739;-6.000000;
-9.955;0.5500;0.108102;0.528918;5.087770;-6.000000;
-9.845;0.5600;0.108144;0.526563;5.178260;-6.000000;
-9.735;0.5700;0.108197;0.524208;5.268183;-6.000000;
-9.625;0.5800;0.108259;0.521853;5.357515;-6.000000;
-9.515;0.5900;0.108332;0.519499;5.446232;-6.000000;
-9.405;0.6000;0.108415;0.517144;5.534310;-6.000000;
-9.295;0.6100;0.108508;0.514789;5.621725;-6.000000;
-9.184;0.6200;0.108611;0.512434;5.708456;-6.000000;
-9.074;0.6300;0.108724;0.510080;5.794479;-6.000000;
-8.964;0.6400;0.108848;0.507725;5.879772;-6.000000;
-8.854;0.6500;0.108982;0.505370;5.964314;-6.000000;
-8.744;0.6600;0.109125;0.503016;6.048084;-6.000000;
-8.634;0.6700;0.109280;0.500661;6.131061;-6.000000;
-8.524;0.6800;0.109444;0.498306;6.213227;-6.000000;
-8.414;0.6900;0.109618;0.495951;6.294561;-6.000000;
-8.304;0.7000;0.109803;0.493597;6.375045;-6.000000;
-8.193;0.7100;0.109998;0.491242;6.454661;-6.000000;
-8.083;0.7200;0.110203;0.488887;6.533391;-6.000000;
-7.973;0.7300;0.110418;0.486532;6.611219;-6.000000;
-7.863;0.7400;0.110644;0.484178;6.688128;-6.000000;
-7.753;0.7500;0.110879;0.481823;6.764103;-6.000000;
-7.643;0.7600;0.111125;0.479468;6.839128;-6.000000;
-7.533;0.7700;0.111381;0.477113;6.913190;-6.000000;
-7.423;0.7800;0.111647;0.474759;6.986275;-6.000000;
-7.313;0.7900;0.111924;0.472404;7.058369;-6.000000;
-7.202;0.8000;0.112210;0.470049;7.129461;-6.000000;
-7.092;0.8100;0.112507;0.467695;7.199538;-6.000000;
-6.982;0.8200;0.112814;0.465340;7.268591;-6.000000;
-6.872;0.8300;0.113131;0.462985;7.336608;-6.000000;
-6.762;0.8400;0.113459;0.460630;7.403580;-6.000000;
-6.652;0.8500;0.113796;0.458276;7.469497;-6.000000;
-6.542;0.8600;0.114144;0.455921;7.534353;-6.000000;
-6.432;0.8700;0.114502;0.453566;7.598138;-6.000000;
-6.322;0.8800;0.114870;0.451211;7.660846;-6.000000;
-6.211;0.8900;0.115248;0.448857;7.722472;-6.000000;
-6.101;0.9000;0.115637;0.446502;7.783008;-6.000000;
-5.991;0.9100;0.116035;0.444147;7.842450;-6.000000;
-5.881;0.9200;0.116444;0.441792;7.900794;-6.000000;
-5.771;0.9300;0.116863;0.439438;7.958035;-6.000000;
-5.661;0.9400;0.117292;0.437083;8.014172;-6.000000;
-5.551;0.9500;0.117732;0.434728;8.069201;-6.000000;
-5.441;0.9600;0.118181;0.432373;8.123120;-6.000000;
-5.331;0.9700;0.118641;0.430019;8.175929;-6.000000;
-5.220;0.9800;0.119111;0.427664;8.227626;-6.000000;
-5.110;0.9900;0.119591;0.425309;8.278211;-6.000000;
-5.000;1.0000;0.120081;0.422955;8.327686;-6.000000;
-4.890;1.0100;0.120582;0.420600;8.376050;-6.000000;
-4.780;1.0200;0.121093;0.418245;8.423306;-6.000000;
-4.670;1.0300;0.121613;0.415890;8.469455;-6.000000;
-4.560;1.0400;0.122145;0.413536;8.514500;-6.000000;
-4.450;1.0500;0.122686;0.411181;8.558445;-6.000000;
-4.339;1.0600;0.123237;0.408826;8.601292;-6.000000;
-4.229;1.0700;0.123799;0.406471;8.643046;-6.000000;
-4.119;1.0800;0.124371;0.404117;8.683712;-6.000000;
-4.009;1.0900;0.124953;0.401762;8.723294;-6.000000;
-3.899;1.1000;0.125545;0.399407;8.761798;-6.000000;
-3.789;1.1100;0.126147;0.397052;8.799230;-6.000000;
-3.679;1.1200;0.126760;0.394698;8.835596;-6.000000;
-3.569;1.1300;0.127383;0.392343;8.870903;-6.000000;
-3.459;1.1400;0.128016;0.389988;8.905157;-6.000000;
-3.348;1.1500;0.128659;0.387633;8.938367;-6.000000;
-3.238;1.1600;0.129312;0.385279;8.970539;-6.000000;
-3.128;1.1700;0.129976;0.382924;9.001682;-6.000000;
-3.018;1.1800;0.130649;0.380569;9.031805;-6.000000;
-2.908;1.1900;0.131333;0.378215;9.060915;-6.000000;
-2.798;1.2000;0.132027;0.375860;9.089023;-6.000000;
-2.688;1.2100;0.132732;0.373505;9.116137;-6.000000;
-2.578;1.2200;0.133446;0.371150;9.142266;-6.000000;
-2.468;1.2300;0.134171;0.368796;9.167421;-6.000000;
-2.357;1.2400;0.134906;0.366441;9.191612;-6.000000;
-2.247;1.2500;0.135651;0.364086;9.214849;-6.000000;
-2.137;1.2600;0.136406;0.361731;9.237141;-6.000000;
-2.027;1.2700;0.137171;0.359377;9.258501;-6.000000;
-1.917;1.2800;0.137947;0.357022;9.278938;-6.000000;
