# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_landing_design_000_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-22.614;-0.5000;0.153936;0.386808;-3.248096;0.000000;
-22.503;-0.4900;0.152954;0.384558;-3.203569;0.000000;
-22.393;-0.4800;0.151982;0.382308;-3.158259;0.000000;
-22.282;-0.4700;0.151021;0.380058;-3.112159;0.000000;
-22.172;-0.4600;0.150069;0.377807;-3.065263;0.000000;
-22.061;-0.4500;0.149127;0.375557;-3.017565;0.000000;
-21.951;-0.4400;0.148195;0.373307;-2.969060;0.000000;
-21.841;-0.4300;0.147273;0.371057;-2.919742;0.000000;
-21.730;-0.4200;0.146362;0.368807;-2.869607;0.000000;
-21.620;-0.4100;0.145460;0.366557;-2.818648;0.000000;
-21.509;-0.4000;0.144568;0.364306;-2.766862;0.000000;
-21.399;-0.3900;0.143686;0.362056;-2.714243;0.000000;
-21.289;-0.3800;0.142815;0.359806;-2.660788;0.000000;
-21.178;-0.3700;0.141953;0.357556;-2.606492;0.000000;
-21.068;-0.3600;0.141102;0.355306;-2.551352;0.000000;
-20.957;-0.3500;0.140260;0.353056;-2.495364;0.000000;
-20.847;-0.3400;0.139429;0.350806;-2.438524;0.000000;
-20.736;-0.3300;0.138607;0.348555;-2.380830;0.000000;
-20.626;-0.3200;0.137796;0.346305;-2.322279;0.000000;
-20.516;-0.3100;0.136994;0.344055;-2.262869;0.000000;
-20.405;-0.3000;0.136203;0.341805;-2.202597;0.000000;
-20.295;-0.2900;0.135422;0.339555;-2.141462;0.000000;
-20.184;-0.2800;0.134650;0.337305;-2.079463;0.000000;
-20.074;-0.2700;0.133889;0.335054;-2.016598;0.000000;
-19.963;-0.2600;0.133138;0.332804;-1.952867;0.000000;
-19.853;-0.2500;0.132396;0.330554;-1.888269;0.000000;
-19.743;-0.2400;0.131665;0.328304;-1.822806;0.000000;
-19.632;-0.2300;0.130944;0.326054;-1.756476;0.000000;
-19.522;-0.2200;0.130233;0.323804;-1.689282;0.000000;
-19.411;-0.2100;0.129532;0.321553;-1.621225;0.000000;
-19.301;-0.2000;0.128841;0.319303;-1.552305;0.000000;
-19.191;-0.1900;0.128160;0.317053;-1.482527;0.000000;
-19.080;-0.1800;0.127489;0.314803;-1.411892;0.000000;
-18.970;-0.1700;0.126828;0.312553;-1.340403;0.000000;
-18.859;-0.1600;0.126177;0.310303;-1.268064;0.000000;
-18.749;-0.1500;0.125536;0.308053;-1.194880;0.000000;
-18.638;-0.1400;0.124905;0.305802;-1.120854;0.000000;
-18.528;-0.1300;0.124284;0.303552;-1.045993;0.000000;
-18.418;-0.1200;0.123673;0.301302;-0.970301;0.000000;
-18.307;-0.1100;0.123072;0.299052;-0.893785;0.000000;
-18.197;-0.1000;0.122481;0.296802;-0.816451;0.000000;
-18.086;-0.0900;0.121901;0.294552;-0.738306;0.000000;
-17.976;-0.0800;0.121330;0.292301;-0.659359;0.000000;
-17.866;-0.0700;0.120769;0.290051;-0.579618;0.000000;
-17.755;-0.0600;0.120219;0.287801;-0.499091;0.000000;
-17.645;-0.0500;0.119678;0.285551;-0.417788;0.000000;
-17.534;-0.0400;0.119147;0.283301;-0.335719;0.000000;
-17.424;-0.0300;0.118627;0.281051;-0.252894;0.000000;
-17.313;-0.0200;0.118116;0.278800;-0.169325;0.000000;
-17.203;-0.0100;0.117616;0.276550;-0.085023;0.000000;
-17.093;0.0000;0.117125;0.274300;0.000000;0.000000;
-16.982;0.0100;0.116645;0.272050;0.085730;0.000000;
-16.872;0.0200;0.116174;0.269800;0.172155;0.000000;
-16.761;0.0300;0.115714;0.267550;0.259260;0.000000;
-16.651;0.0400;0.115263;0.265299;0.347031;0.000000;
-16.541;0.0500;0.114823;0.263049;0.435452;0.000000;
-16.430;0.0600;0.114393;0.260799;0.524509;0.000000;
-16.320;0.0700;0.113973;0.258549;0.614183;0.000000;
-16.209;0.0800;0.113562;0.256299;0.704459;0.000000;
-16.099;0.0900;0.113162;0.254049;0.795320;0.000000;
-15.988;0.1000;0.112772;0.251799;0.886746;0.000000;
-15.878;0.1100;0.112392;0.249548;0.978720;0.000000;
-15.768;0.1200;0.112022;0.247298;1.071222;0.000000;
-15.657;0.1300;0.111661;0.245048;1.164233;0.000000;
-15.547;0.1400;0.111311;0.242798;1.257733;0.000000;
-15.436;0.1500;0.110971;0.240548;1.351700;0.000000;
-15.326;0.1600;0.110641;0.238298;1.446114;0.000000;
-15.216;0.1700;0.110321;0.236047;1.540953;0.000000;
-15.105;0.1800;0.110011;0.233797;1.636194;0.000000;
-14.995;0.1900;0.109711;0.231547;1.731815;0.000000;
-14.884;0.2000;0.109422;0.229297;1.827793;0.000000;
-14.774;0.2100;0.109142;0.227047;1.924104;0.000000;
-14.663;0.2200;0.108872;0.224797;2.020723;0.000000;
-14.553;0.2300;0.108612;0.222546;2.117628;0.000000;
-14.443;0.2400;0.108362;0.220296;2.214792;0.000000;
-14.332;0.2500;0.108123;0.218046;2.312190;0.000000;
-14.222;0.2600;0.107893;0.215796;2.409798;0.000000;
-14.111;0.2700;0.107673;0.213546;2.507588;0.000000;
-14.001;0.2800;0.107464;0.211296;2.605535;0.000000;
-13.891;0.2900;0.107264;0.209046;2.703612;0.000000;
-13.780;0.3000;0.107074;0.206795;2.801792;0.000000;
-13.670;0.3100;0.106895;0.204545;2.900048;0.000000;
-13.559;0.3200;0.106725;0.202295;2.998354;0.000000;
-13.449;0.3300;0.106566;0.200045;3.096680;0.000000;
-13.338;0.3400;0.106416;0.197795;3.195000;0.000000;
-13.228;0.3500;0.106277;0.195545;3.293286;0.000000;
-13.118;0.3600;0.106147;0.193294;3.391510;0.000000;
-13.007;0.3700;0.106028;0.191044;3.489643;0.000000;
-12.897;0.3800;0.105919;0.188794;3.587658;0.000000;
-12.786;0.3900;0.105819;0.186544;3.685526;0.000000;
-12.676;0.4000;0.105730;0.184294;3.783219;0.000000;
-12.566;0.4100;0.105651;0.182044;3.880709;0.000000;
-12.455;0.4200;0.105582;0.179793;3.977967;0.000000;
-12.345;0.4300;0.105522;0.177543;4.074965;0.000000;
-12.234;0.4400;0.105473;0.175293;4.171676;0.000000;
-12.124;0.4500;0.105434;0.173043;4.268071;0.000000;
-12.013;0.4600;0.105405;0.170793;4.364122;0.000000;
-11.903;0.4700;0.105386;0.168543;4.459801;0.000000;
-11.793;0.4800;0.105377;0.166293;4.555082;0.000000;
-11.682;0.4900;0.105378;0.164042;4.649936;0.000000;
-11.572;0.5000;0.105389;0.161792;4.744337;0.000000;
-11.461;0.5100;0.105410;0.159542;4.838258;0.000000;
-11.351;0.5200;0.105441;0.157292;4.931673;0.000000;
-11.241;0.5300;0.105482;0.155042;5.024554;0.000000;
-11.130;0.5400;0.105533;0.152792;5.116877;0.000000;
-11.020;0.5500;0.105594;0.150541;5.208615;0.000000;
-10.909;0.5600;0.105665;0.148291;5.299744;0.000000;
-10.799;0.5700;0.105747;0.146041;5.390240;0.000000;
-10.688;0.5800;0.105838;0.143791;5.480077;0.000000;
-10.578;0.5900;0.105939;0.141541;5.569231;0.000000;
-10.468;0.6000;0.106051;0.139291;5.657681;0.000000;
-10.357;0.6100;0.106172;0.137040;5.745402;0.000000;
-10.247;0.6200;0.106303;0.134790;5.832372;0.000000;
-10.136;0.6300;0.106445;0.132540;5.918570;0.000000;
-10.026;0.6400;0.106596;0.130290;6.003975;0.000000;
-9.916;0.6500;0.106758;0.128040;6.088565;0.000000;
-9.805;0.6600;0.106929;0.125790;6.172320;0.000000;
-9.695;0.6700;0.107111;0.123540;6.255222;0.000000;
-9.584;0.6800;0.107302;0.121289;6.337250;0.000000;
-9.474;0.6900;0.107504;0.119039;6.418387;0.000000;
-9.363;0.7000;0.107715;0.116789;6.498616;0.000000;
-9.253;0.7100;0.107937;0.114539;6.577918;0.000000;
-9.143;0.7200;0.108169;0.112289;6.656279;0.000000;
-9.032;0.7300;0.108410;0.110039;6.733681;0.000000;
-8.922;0.7400;0.108662;0.107788;6.810110;0.000000;
-8.811;0.7500;0.108924;0.105538;6.885552;0.000000;
-8.701;0.7600;0.109196;0.103288;6.959993;0.000000;
-8.591;0.7700;0.109477;0.101038;7.033419;0.000000;
-8.480;0.7800;0.109769;0.098788;7.105820;0.000000;
-8.370;0.7900;0.110071;0.096538;7.177182;0.000000;
-8.259;0.8000;0.110383;0.094287;7.247495;0.000000;
-8.149;0.8100;0.110705;0.092037;7.316749;0.000000;
-8.038;0.8200;0.111037;0.089787;7.384935;0.000000;
-7.928;0.8300;0.111379;0.087537;7.452042;0.000000;
-7.818;0.8400;0.111731;0.085287;7.518064;0.000000;
-7.707;0.8500;0.112093;0.083037;7.582993;0.000000;
-7.597;0.8600;0.112465;0.080787;7.646821;0.000000;
-7.486;0.8700;0.112847;0.078536;7.709543;0.000000;
-7.376;0.8800;0.113239;0.076286;7.771154;0.000000;
-7.266;0.8900;0.113641;0.074036;7.831648;0.000000;
-7.155;0.9000;0.114054;0.071786;7.891021;0.000000;
-7.045;0.9100;0.114476;0.069536;7.949270;0.000000;
-6.934;0.9200;0.114908;0.067286;8.006392;0.000000;
-6.824;0.9300;0.115350;0.065035;8.062385;0.000000;
-6.713;0.9400;0.115803;0.062785;8.117247;0.000000;
-6.603;0.9500;0.116265;0.060535;8.170977;0.000000;
-6.493;0.9600;0.116738;0.058285;8.223575;0.000000;
-6.382;0.9700;0.117220;0.056035;8.275041;0.000000;
-6.272;0.9800;0.117712;0.053785;8.325375;0.000000;
-6.161;0.9900;0.118215;0.051534;8.374580;0.000000;
-6.051;1.0000;0.118727;0.049284;8.422656;0.000000;
-5.941;1.0100;0.119250;0.047034;8.469607;0.000000;
-5.830;1.0200;0.119782;0.044784;8.515435;0.000000;
-5.720;1.0300;0.120325;0.042534;8.560143;0.000000;
-5.609;1.0400;0.120878;0.040284;8.603736;0.000000;
-5.499;1.0500;0.121440;0.038034;8.646219;0.000000;
-5.388;1.0600;0.122013;0.035783;8.687595;0.000000;
-5.278;1.0700;0.122596;0.033533;8.727870;0.000000;
-5.168;1.0800;0.123189;0.031283;8.767051;0.000000;
-5.057;1.0900;0.123791;0.029033;8.805142;0.000000;
-4.947;1.1000;0.124404;0.026783;8.842152;0.000000;
-4.836;1.1100;0.125027;0.024533;8.878087;0.000000;
-4.726;1.1200;0.125660;0.022282;8.912954;0.000000;
-4.616;1.1300;0.126303;0.020032;8.946760;0.000000;
-4.505;1.1400;0.126956;0.017782;8.979515;0.000000;
-4.395;1.1500;0.127619;0.015532;9.011227;0.000000;
-4.284;1.1600;0.128292;0.013282;9.041904;0.000000;
-4.174;1.1700;0.128975;0.011032;9.071555;0.000000;
-4.063;1.1800;0.129668;0.008781;9.100190;0.000000;
-3.953;1.1900;0.130371;0.006531;9.127818;0.000000;
-3.843;1.2000;0.131084;0.004281;9.154449;0.000000;
-3.732;1.2100;0.131807;0.002031;9.180093;0.000000;
-3.622;1.2200;0.132540;-0.000219;9.204761;0.000000;
-3.511;1.2300;0.133283;-0.002469;9.228463;0.000000;
-3.401;1.2400;0.134037;-0.004719;9.251209;0.000000;
-3.291;1.2500;0.134800;-0.006970;9.273012;0.000000;
-3.180;1.2600;0.135573;-0.009220;9.293881;0.000000;
-3.070;1.2700;0.136356;-0.011470;9.313829;0.000000;
-2.959;1.2800;0.137150;-0.013720;9.332866;0.000000;
-2.849;1.2900;0.137953;-0.015970;9.351004;0.000000;
-2.738;1.3000;0.138767;-0.018220;9.368255;0.000000;
-2.628;1.3100;0.139590;-0.020471;9.384630;0.000000;
-2.518;1.3200;0.140423;-0.022721;9.400142;0.000000;
-2.407;1.3300;0.141267;-0.024971;9.414802;0.000000;
-2.297;1.3400;0.142120;-0.027221;9.428623;0.000000;
-2.186;1.3500;0.142984;-0.029471;9.441617;0.000000;
-2.076;1.3600;0.143858;-0.031721;9.453795;0.000000;
-1.966;1.3700;0.144741;-0.033972;9.465170;0.000000;
-1.855;1.3800;0.145635;-0.036222;9.475755;0.000000;
-1.745;1.3900;0.146539;-0.038472;9.485561;0.000000;
-1.634;1.4000;0.147452;-0.040722;9.494602;0.000000;
-1.524;1.4100;0.148376;-0.042972;9.502888;0.000000;
-1.413;1.4200;0.149310;-0.045222;9.510433;0.000000;
-1.303;1.4300;0.150254;-0.047472;9.517249;0.000000;
-1.193;1.4400;0.151207;-0.049723;9.523348;0.000000;
-1.082;1.4500;0.152171;-0.051973;9.528742;0.000000;
-0.972;1.4600;0.153145;-0.054223;9.533444;0.000000;
-0.861;1.4700;0.154129;-0.056473;9.537466;0.000000;
-0.751;1.4800;0.155123;-0.058723;9.540820;0.000000;
-0.641;1.4900;0.156127;-0.060973;9.543519;0.000000;
-0.530;1.5000;0.157141;-0.063224;9.545573;0.000000;
-0.420;1.5100;0.158165;-0.065474;9.546996;0.000000;
-0.309;1.5200;0.159199;-0.067724;9.547798;0.000000;
-0.199;1.5300;0.160243;-0.069974;9.547993;0.000000;
-0.088;1.5400;0.161297;-0.072224;9.547592;0.000000;
0.022;1.5500;0.162361;-0.074474;9.546605;0.000000;
0.132;1.5600;0.163436;-0.076725;9.545046;0.000000;
0.243;1.5700;0.164520;-0.078975;9.542926;0.000000;
0.353;1.5800;0.165614;-0.081225;9.540255;0.000000;
0.464;1.5900;0.166718;-0.083475;9.537046;0.000000;
0.574;1.6000;0.167833;-0.085725;9.533309;0.000000;
0.685;1.6100;0.168957;-0.087975;9.529056;0.000000;
0.795;1.6200;0.170091;-0.090226;9.524297;0.000000;
0.905;1.6300;0.171236;-0.092476;9.519044;0.000000;
1.016;1.6400;0.172390;-0.094726;9.513307;0.000000;
