# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_liftDistribution_078_plot.csv
# (1)C_L; (2)C_Lw; (3)y, m; (4)C_l; (5)Cl*l, m
-0.200000;-0.154703;0.330666;-0.230440;6.019268
-0.200000;-0.154703;0.991996;-0.222977;6.019268
-0.200000;-0.154703;1.653327;-0.200319;6.019268
-0.200000;-0.154703;2.491627;-0.151713;5.739122
-0.200000;-0.154703;3.506896;-0.134983;5.178829
-0.200000;-0.154703;4.522165;-0.137972;4.618536
-0.200000;-0.154703;5.864917;-0.141142;4.102494
-0.200000;-0.154703;7.518152;-0.139832;3.635507
-0.200000;-0.154703;9.120731;-0.140315;3.182828
-0.200000;-0.154703;10.640030;-0.142267;2.753673
-0.200000;-0.154703;12.045120;-0.144578;2.356778
-0.200000;-0.154703;13.307400;-0.145902;2.000223
-0.200000;-0.154703;14.401170;-0.143492;1.691267
-0.200000;-0.154703;15.304170;-0.131146;1.436197
-0.200000;-0.154703;15.998010;-0.098966;1.240209
-0.200000;-0.154703;16.468570;-0.048052;1.107290
-0.200000;-0.154703;16.706270;-0.010508;1.040147


-0.190000;-0.145000;0.330666;-0.222814;6.019268
-0.190000;-0.145000;0.991996;-0.215378;6.019268
-0.190000;-0.145000;1.653327;-0.192796;6.019268
-0.190000;-0.145000;2.491627;-0.143888;5.739122
-0.190000;-0.145000;3.506896;-0.126466;5.178829
-0.190000;-0.145000;4.522165;-0.128681;4.618536
-0.190000;-0.145000;5.864917;-0.131138;4.102494
-0.190000;-0.145000;7.518152;-0.129232;3.635507
-0.190000;-0.145000;9.120731;-0.129114;3.182828
-0.190000;-0.145000;10.640030;-0.130486;2.753673
-0.190000;-0.145000;12.045120;-0.132263;2.356778
-0.190000;-0.145000;13.307400;-0.133155;2.000223
-0.190000;-0.145000;14.401170;-0.130546;1.691267
-0.190000;-0.145000;15.304170;-0.118537;1.436197
-0.190000;-0.145000;15.998010;-0.087793;1.240209
-0.190000;-0.145000;16.468570;-0.039948;1.107290
-0.190000;-0.145000;16.706270;-0.006991;1.040147


-0.180000;-0.135296;0.330666;-0.215187;6.019268
-0.180000;-0.135296;0.991996;-0.207779;6.019268
-0.180000;-0.135296;1.653327;-0.185271;6.019268
-0.180000;-0.135296;2.491627;-0.136063;5.739122
-0.180000;-0.135296;3.506896;-0.117949;5.178829
-0.180000;-0.135296;4.522165;-0.119389;4.618536
-0.180000;-0.135296;5.864917;-0.121134;4.102494
-0.180000;-0.135296;7.518152;-0.118633;3.635507
-0.180000;-0.135296;9.120731;-0.117914;3.182828
-0.180000;-0.135296;10.640030;-0.118706;2.753673
-0.180000;-0.135296;12.045120;-0.119949;2.356778
-0.180000;-0.135296;13.307400;-0.120409;2.000223
-0.180000;-0.135296;14.401170;-0.117600;1.691267
-0.180000;-0.135296;15.304170;-0.105928;1.436197
-0.180000;-0.135296;15.998010;-0.076620;1.240209
-0.180000;-0.135296;16.468570;-0.031846;1.107290
-0.180000;-0.135296;16.706270;-0.003475;1.040147


-0.170000;-0.125592;0.330666;-0.207560;6.019268
-0.170000;-0.125592;0.991996;-0.200180;6.019268
-0.170000;-0.125592;1.653327;-0.177746;6.019268
-0.170000;-0.125592;2.491627;-0.128237;5.739122
-0.170000;-0.125592;3.506896;-0.109432;5.178829
-0.170000;-0.125592;4.522165;-0.110098;4.618536
-0.170000;-0.125592;5.864917;-0.111131;4.102494
-0.170000;-0.125592;7.518152;-0.108034;3.635507
-0.170000;-0.125592;9.120731;-0.106714;3.182828
-0.170000;-0.125592;10.640030;-0.106926;2.753673
-0.170000;-0.125592;12.045120;-0.107636;2.356778
-0.170000;-0.125592;13.307400;-0.107664;2.000223
