# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_takeoff_design_-600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-16.129;-0.5000;0.078773;0.686165;-6.347339;-6.000000;
-16.019;-0.4900;0.077949;0.683810;-6.286138;-6.000000;
-15.909;-0.4800;0.077136;0.681455;-6.222808;-6.000000;
-15.798;-0.4700;0.076332;0.679101;-6.157306;-6.000000;
-15.688;-0.4600;0.075539;0.676746;-6.089589;-6.000000;
-15.578;-0.4500;0.074756;0.674391;-6.019614;-6.000000;
-15.468;-0.4400;0.073983;0.672037;-5.947338;-6.000000;
-15.358;-0.4300;0.073220;0.669682;-5.872719;-6.000000;
-15.248;-0.4200;0.072467;0.667327;-5.795713;-6.000000;
-15.138;-0.4100;0.071725;0.664972;-5.716280;-6.000000;
-15.028;-0.4000;0.070993;0.662618;-5.634376;-6.000000;
-14.918;-0.3900;0.070271;0.660263;-5.549961;-6.000000;
-14.807;-0.3800;0.069559;0.657908;-5.462992;-6.000000;
-14.697;-0.3700;0.068857;0.655553;-5.373430;-6.000000;
-14.587;-0.3600;0.068166;0.653199;-5.281235;-6.000000;
-14.477;-0.3500;0.067485;0.650844;-5.186367;-6.000000;
-14.367;-0.3400;0.066814;0.648489;-5.088788;-6.000000;
-14.257;-0.3300;0.066153;0.646134;-4.988461;-6.000000;
-14.147;-0.3200;0.065502;0.643780;-4.885349;-6.000000;
-14.037;-0.3100;0.064861;0.641425;-4.779417;-6.000000;
-13.927;-0.3000;0.064231;0.639070;-4.670631;-6.000000;
-13.816;-0.2900;0.063611;0.636715;-4.558958;-6.000000;
-13.706;-0.2800;0.063001;0.634361;-4.444368;-6.000000;
-13.596;-0.2700;0.062401;0.632006;-4.326831;-6.000000;
-13.486;-0.2600;0.061812;0.629651;-4.206320;-6.000000;
-13.376;-0.2500;0.061232;0.627297;-4.082807;-6.000000;
-13.266;-0.2400;0.060663;0.624942;-3.956271;-6.000000;
-13.156;-0.2300;0.060104;0.622587;-3.826689;-6.000000;
-13.046;-0.2200;0.059555;0.620232;-3.694042;-6.000000;
-12.936;-0.2100;0.059017;0.617878;-3.558313;-6.000000;
-12.825;-0.2000;0.058488;0.615523;-3.419488;-6.000000;
-12.715;-0.1900;0.057970;0.613168;-3.277555;-6.000000;
