# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_takeoff_design_000_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-17.203;-0.5000;0.073214;0.296808;-6.829331;0.000000;
-17.092;-0.4900;0.072432;0.294558;-6.764942;0.000000;
-16.982;-0.4800;0.071661;0.292308;-6.698211;0.000000;
-16.871;-0.4700;0.070900;0.290058;-6.629090;0.000000;
-16.761;-0.4600;0.070148;0.287807;-6.557531;0.000000;
-16.651;-0.4500;0.069407;0.285557;-6.483485;0.000000;
-16.540;-0.4400;0.068676;0.283307;-6.406905;0.000000;
-16.430;-0.4300;0.067955;0.281057;-6.327742;0.000000;
-16.319;-0.4200;0.067244;0.278807;-6.245950;0.000000;
-16.209;-0.4100;0.066542;0.276557;-6.161480;0.000000;
-16.098;-0.4000;0.065851;0.274306;-6.074285;0.000000;
-15.988;-0.3900;0.065170;0.272056;-5.984320;0.000000;
-15.878;-0.3800;0.064499;0.269806;-5.891539;0.000000;
-15.767;-0.3700;0.063838;0.267556;-5.795896;0.000000;
-15.657;-0.3600;0.063187;0.265306;-5.697347;0.000000;
-15.546;-0.3500;0.062546;0.263056;-5.595849;0.000000;
-15.436;-0.3400;0.061915;0.260806;-5.491359;0.000000;
-15.326;-0.3300;0.061295;0.258555;-5.383837;0.000000;
-15.215;-0.3200;0.060684;0.256305;-5.273242;0.000000;
-15.105;-0.3100;0.060083;0.254055;-5.159537;0.000000;
-14.994;-0.3000;0.059492;0.251805;-5.042685;0.000000;
-14.884;-0.2900;0.058911;0.249555;-4.922650;0.000000;
-14.773;-0.2800;0.058341;0.247305;-4.799400;0.000000;
-14.663;-0.2700;0.057780;0.245054;-4.672903;0.000000;
-14.553;-0.2600;0.057229;0.242804;-4.543131;0.000000;
-14.442;-0.2500;0.056689;0.240554;-4.410057;0.000000;
-14.332;-0.2400;0.056158;0.238304;-4.273656;0.000000;
-14.221;-0.2300;0.055637;0.236054;-4.133908;0.000000;
-14.111;-0.2200;0.055127;0.233804;-3.990794;0.000000;
-14.001;-0.2100;0.054626;0.231553;-3.844298;0.000000;
-13.890;-0.2000;0.054136;0.229303;-3.694409;0.000000;
-13.780;-0.1900;0.053655;0.227053;-3.541116;0.000000;
-13.669;-0.1800;0.053185;0.224803;-3.384415;0.000000;
-13.559;-0.1700;0.052725;0.222553;-3.224303;0.000000;
-13.448;-0.1600;0.052274;0.220303;-3.060783;0.000000;
-13.338;-0.1500;0.051834;0.218053;-2.893861;0.000000;
-13.228;-0.1400;0.051404;0.215802;-2.723547;0.000000;
-13.117;-0.1300;0.050983;0.213552;-2.549856;0.000000;
-13.007;-0.1200;0.050573;0.211302;-2.372807;0.000000;
-12.896;-0.1100;0.050173;0.209052;-2.192423;0.000000;
-12.786;-0.1000;0.049783;0.206802;-2.008734;0.000000;
-12.676;-0.0900;0.049402;0.204552;-1.821772;0.000000;
-12.565;-0.0800;0.049032;0.202301;-1.631577;0.000000;
-12.455;-0.0700;0.048672;0.200051;-1.438192;0.000000;
-12.344;-0.0600;0.048322;0.197801;-1.241667;0.000000;
-12.234;-0.0500;0.047982;0.195551;-1.042055;0.000000;
-12.123;-0.0400;0.047652;0.193301;-0.839418;0.000000;
-12.013;-0.0300;0.047332;0.191051;-0.633819;0.000000;
-11.903;-0.0200;0.047022;0.188800;-0.425331;0.000000;
-11.792;-0.0100;0.046722;0.186550;-0.214031;0.000000;
-11.682;0.0000;0.046432;0.184300;0.000000;0.000000;
-11.571;0.0100;0.046152;0.182050;0.216673;0.000000;
-11.461;0.0200;0.045883;0.179800;0.435895;0.000000;
-11.351;0.0300;0.045623;0.177550;0.657565;0.000000;
-11.240;0.0400;0.045373;0.175299;0.881580;0.000000;
-11.130;0.0500;0.045133;0.173049;1.107829;0.000000;
-11.019;0.0600;0.044904;0.170799;1.336195;0.000000;
-10.909;0.0700;0.044684;0.168549;1.566558;0.000000;
-10.798;0.0800;0.044474;0.166299;1.798792;0.000000;
-10.688;0.0900;0.044275;0.164049;2.032765;0.000000;
-10.578;0.1000;0.044085;0.161799;2.268341;0.000000;
-10.467;0.1100;0.043906;0.159548;2.505380;0.000000;
-10.357;0.1200;0.043736;0.157298;2.743736;0.000000;
-10.246;0.1300;0.043576;0.155048;2.983260;0.000000;
-10.136;0.1400;0.043427;0.152798;3.223800;0.000000;
-10.026;0.1500;0.043288;0.150548;3.465198;0.000000;
-9.915;0.1600;0.043158;0.148298;3.707294;0.000000;
-9.805;0.1700;0.043039;0.146047;3.949926;0.000000;
-9.694;0.1800;0.042929;0.143797;4.192928;0.000000;
-9.584;0.1900;0.042830;0.141547;4.436132;0.000000;
-9.473;0.2000;0.042741;0.139297;4.679368;0.000000;
-9.363;0.2100;0.042662;0.137047;4.922465;0.000000;
-9.253;0.2200;0.042592;0.134797;5.165250;0.000000;
-9.142;0.2300;0.042533;0.132546;5.407551;0.000000;
-9.032;0.2400;0.042484;0.130296;5.649193;0.000000;
-8.921;0.2500;0.042445;0.128046;5.890002;0.000000;
-8.811;0.2600;0.042416;0.125796;6.129807;0.000000;
-8.701;0.2700;0.042397;0.123546;6.368434;0.000000;
-8.590;0.2800;0.042388;0.121296;6.605712;0.000000;
-8.480;0.2900;0.042389;0.119046;6.841473;0.000000;
-8.369;0.3000;0.042400;0.116795;7.075548;0.000000;
-8.259;0.3100;0.042421;0.114545;7.307774;0.000000;
-8.148;0.3200;0.042452;0.112295;7.537988;0.000000;
-8.038;0.3300;0.042493;0.110045;7.766031;0.000000;
-7.928;0.3400;0.042544;0.107795;7.991750;0.000000;
-7.817;0.3500;0.042605;0.105545;8.214992;0.000000;
-7.707;0.3600;0.042676;0.103294;8.435611;0.000000;
-7.596;0.3700;0.042757;0.101044;8.653465;0.000000;
-7.486;0.3800;0.042849;0.098794;8.868417;0.000000;
-7.376;0.3900;0.042950;0.096544;9.080334;0.000000;
-7.265;0.4000;0.043061;0.094294;9.289090;0.000000;
-7.155;0.4100;0.043183;0.092044;9.494563;0.000000;
-7.044;0.4200;0.043314;0.089793;9.696640;0.000000;
-6.934;0.4300;0.043455;0.087543;9.895209;0.000000;
-6.823;0.4400;0.043607;0.085293;10.090170;0.000000;
-6.713;0.4500;0.043768;0.083043;10.281424;0.000000;
-6.603;0.4600;0.043940;0.080793;10.468882;0.000000;
-6.492;0.4700;0.044121;0.078543;10.652461;0.000000;
-6.382;0.4800;0.044313;0.076293;10.832083;0.000000;
-6.271;0.4900;0.044514;0.074042;11.007678;0.000000;
-6.161;0.5000;0.044726;0.071792;11.179182;0.000000;
-6.051;0.5100;0.044948;0.069542;11.346538;0.000000;
-5.940;0.5200;0.045179;0.067292;11.509697;0.000000;
-5.830;0.5300;0.045421;0.065042;11.668613;0.000000;
-5.719;0.5400;0.045673;0.062792;11.823250;0.000000;
-5.609;0.5500;0.045934;0.060541;11.973577;0.000000;
-5.498;0.5600;0.046206;0.058291;12.119569;0.000000;
-5.388;0.5700;0.046488;0.056041;12.261207;0.000000;
-5.278;0.5800;0.046780;0.053791;12.398480;0.000000;
-5.167;0.5900;0.047082;0.051541;12.531380;0.000000;
-5.057;0.6000;0.047394;0.049291;12.659907;0.000000;
-4.946;0.6100;0.047716;0.047040;12.784066;0.000000;
-4.836;0.6200;0.048048;0.044790;12.903866;0.000000;
-4.726;0.6300;0.048390;0.042540;13.019323;0.000000;
-4.615;0.6400;0.048742;0.040290;13.130457;0.000000;
-4.505;0.6500;0.049104;0.038040;13.237293;0.000000;
-4.394;0.6600;0.049476;0.035790;13.339860;0.000000;
-4.284;0.6700;0.049858;0.033540;13.438192;0.000000;
-4.173;0.6800;0.050250;0.031289;13.532326;0.000000;
-4.063;0.6900;0.050652;0.029039;13.622305;0.000000;
-3.953;0.7000;0.051064;0.026789;13.708173;0.000000;
-3.842;0.7100;0.051487;0.024539;13.789979;0.000000;
-3.732;0.7200;0.051919;0.022289;13.867774;0.000000;
-3.621;0.7300;0.052361;0.020039;13.941614;0.000000;
-3.511;0.7400;0.052814;0.017788;14.011555;0.000000;
-3.401;0.7500;0.053276;0.015538;14.077657;0.000000;
-3.290;0.7600;0.053748;0.013288;14.139983;0.000000;
-3.180;0.7700;0.054231;0.011038;14.198597;0.000000;
-3.069;0.7800;0.054723;0.008788;14.253563;0.000000;
-2.959;0.7900;0.055226;0.006538;14.304951;0.000000;
-2.848;0.8000;0.055738;0.004287;14.352829;0.000000;
-2.738;0.8100;0.056261;0.002037;14.397267;0.000000;
-2.628;0.8200;0.056793;-0.000213;14.438338;0.000000;
-2.517;0.8300;0.057336;-0.002463;14.476112;0.000000;
-2.407;0.8400;0.057888;-0.004713;14.510663;0.000000;
-2.296;0.8500;0.058451;-0.006963;14.542065;0.000000;
-2.186;0.8600;0.059024;-0.009213;14.570392;0.000000;
-2.076;0.8700;0.059607;-0.011464;14.595718;0.000000;
-1.965;0.8800;0.060199;-0.013714;14.618118;0.000000;
-1.855;0.8900;0.060802;-0.015964;14.637666;0.000000;
-1.744;0.9000;0.061415;-0.018214;14.654436;0.000000;
-1.634;0.9100;0.062038;-0.020464;14.668503;0.000000;
-1.523;0.9200;0.062671;-0.022714;14.679941;0.000000;
-1.413;0.9300;0.063313;-0.024965;14.688823;0.000000;
-1.303;0.9400;0.063966;-0.027215;14.695221;0.000000;
-1.192;0.9500;0.064629;-0.029465;14.699209;0.000000;
-1.082;0.9600;0.065302;-0.031715;14.700857;0.000000;
-0.971;0.9700;0.065985;-0.033965;14.700237;0.000000;
-0.861;0.9800;0.066678;-0.036215;14.697419;0.000000;
-0.750;0.9900;0.067381;-0.038466;14.692471;0.000000;
-0.640;1.0000;0.068095;-0.040716;14.685462;0.000000;
-0.530;1.0100;0.068818;-0.042966;14.676459;0.000000;
-0.419;1.0200;0.069551;-0.045216;14.665528;0.000000;
-0.309;1.0300;0.070294;-0.047466;14.652733;0.000000;
-0.198;1.0400;0.071047;-0.049716;14.638140;0.000000;
-0.088;1.0500;0.071811;-0.051966;14.621811;0.000000;
0.022;1.0600;0.072584;-0.054217;14.603806;0.000000;
0.133;1.0700;0.073367;-0.056467;14.584187;0.000000;
0.243;1.0800;0.074160;-0.058717;14.563013;0.000000;
0.354;1.0900;0.074964;-0.060967;14.540341;0.000000;
0.464;1.1000;0.075777;-0.063217;14.516229;0.000000;
0.575;1.1100;0.076601;-0.065467;14.490731;0.000000;
0.685;1.1200;0.077434;-0.067718;14.463901;0.000000;
0.795;1.1300;0.078278;-0.069968;14.435793;0.000000;
0.906;1.1400;0.079131;-0.072218;14.406458;0.000000;
