# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_takeoff_landing_gear_retracted_design_-600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-16.129;-0.5000;0.048773;0.686165;-10.251538;-6.000000;
-16.019;-0.4900;0.047949;0.683810;-10.219130;-6.000000;
-15.909;-0.4800;0.047136;0.681455;-10.183388;-6.000000;
-15.798;-0.4700;0.046332;0.679101;-10.144159;-6.000000;
-15.688;-0.4600;0.045539;0.676746;-10.101285;-6.000000;
-15.578;-0.4500;0.044756;0.674391;-10.054602;-6.000000;
-15.468;-0.4400;0.043983;0.672037;-10.003938;-6.000000;
-15.358;-0.4300;0.043220;0.669682;-9.949115;-6.000000;
-15.248;-0.4200;0.042467;0.667327;-9.889950;-6.000000;
-15.138;-0.4100;0.041725;0.664972;-9.826250;-6.000000;
-15.028;-0.4000;0.040993;0.662618;-9.757817;-6.000000;
-14.918;-0.3900;0.040271;0.660263;-9.684444;-6.000000;
-14.807;-0.3800;0.039559;0.657908;-9.605917;-6.000000;
-14.697;-0.3700;0.038857;0.655553;-9.522016;-6.000000;
-14.587;-0.3600;0.038166;0.653199;-9.432510;-6.000000;
-14.477;-0.3500;0.037485;0.650844;-9.337164;-6.000000;
-14.367;-0.3400;0.036814;0.648489;-9.235730;-6.000000;
-14.257;-0.3300;0.036153;0.646134;-9.127957;-6.000000;
-14.147;-0.3200;0.035502;0.643780;-9.013583;-6.000000;
-14.037;-0.3100;0.034861;0.641425;-8.892339;-6.000000;
-13.927;-0.3000;0.034231;0.639070;-8.763947;-6.000000;
-13.816;-0.2900;0.033611;0.636715;-8.628122;-6.000000;
-13.706;-0.2800;0.033001;0.634361;-8.484571;-6.000000;
-13.596;-0.2700;0.032401;0.632006;-8.332993;-6.000000;
-13.486;-0.2600;0.031812;0.629651;-8.173079;-6.000000;
-13.376;-0.2500;0.031232;0.627297;-8.004514;-6.000000;
-13.266;-0.2400;0.030663;0.624942;-7.826975;-6.000000;
-13.156;-0.2300;0.030104;0.622587;-7.640135;-6.000000;
-13.046;-0.2200;0.029555;0.620232;-7.443657;-6.000000;
-12.936;-0.2100;0.029017;0.617878;-7.237202;-6.000000;
-12.825;-0.2000;0.028488;0.615523;-7.020427;-6.000000;
-12.715;-0.1900;0.027970;0.613168;-6.792982;-6.000000;
-12.605;-0.1800;0.027462;0.610813;-6.554517;-6.000000;
-12.495;-0.1700;0.026964;0.608459;-6.304679;-6.000000;
-12.385;-0.1600;0.026476;0.606104;-6.043115;-6.000000;
-12.275;-0.1500;0.025999;0.603749;-5.769473;-6.000000;
-12.165;-0.1400;0.025532;0.601394;-5.483402;-6.000000;
-12.055;-0.1300;0.025074;0.599040;-5.184557;-6.000000;
-11.945;-0.1200;0.024628;0.596685;-4.872596;-6.000000;
-11.834;-0.1100;0.024191;0.594330;-4.547188;-6.000000;
-11.724;-0.1000;0.023764;0.591975;-4.208008;-6.000000;
-11.614;-0.0900;0.023348;0.589621;-3.854747;-6.000000;
-11.504;-0.0800;0.022942;0.587266;-3.487108;-6.000000;
-11.394;-0.0700;0.022546;0.584911;-3.104812;-6.000000;
-11.284;-0.0600;0.022160;0.582557;-2.707601;-6.000000;
-11.174;-0.0500;0.021784;0.580202;-2.295241;-6.000000;
-11.064;-0.0400;0.021419;0.577847;-1.867521;-6.000000;
-10.954;-0.0300;0.021064;0.575492;-1.424263;-6.000000;
-10.843;-0.0200;0.020718;0.573138;-0.965323;-6.000000;
-10.733;-0.0100;0.020384;0.570783;-0.490591;-6.000000;
-10.623;0.0000;0.020059;0.568428;0.000000;-6.000000;
-10.513;0.0100;0.019744;0.566073;0.506473;-6.000000;
-10.403;0.0200;0.019440;0.563719;1.028802;-6.000000;
-10.293;0.0300;0.019146;0.561364;1.566910;-6.000000;
-10.183;0.0400;0.018862;0.559009;2.120663;-6.000000;
-10.073;0.0500;0.018588;0.556654;2.689867;-6.000000;
-9.963;0.0600;0.018325;0.554300;3.274266;-6.000000;
-9.852;0.0700;0.018071;0.551945;3.873535;-6.000000;
-9.742;0.0800;0.017828;0.549590;4.487282;-6.000000;
-9.632;0.0900;0.017595;0.547236;5.115042;-6.000000;
-9.522;0.1000;0.017372;0.544881;5.756272;-6.000000;
