# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_takeoff_landing_gear_retracted_design_600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-18.263;-0.5000;0.041138;-0.086780;-12.154214;6.000000;
-18.152;-0.4900;0.040398;-0.089033;-12.129235;6.000000;
-18.042;-0.4800;0.039668;-0.091287;-12.100303;6.000000;
-17.931;-0.4700;0.038948;-0.093540;-12.067218;6.000000;
-17.820;-0.4600;0.038238;-0.095794;-12.029770;6.000000;
-17.710;-0.4500;0.037538;-0.098047;-11.987742;6.000000;
-17.599;-0.4400;0.036848;-0.100300;-11.940907;6.000000;
-17.489;-0.4300;0.036168;-0.102554;-11.889027;6.000000;
-17.378;-0.4200;0.035497;-0.104807;-11.831857;6.000000;
-17.268;-0.4100;0.034837;-0.107060;-11.769139;6.000000;
-17.157;-0.4000;0.034186;-0.109314;-11.700607;6.000000;
-17.047;-0.3900;0.033546;-0.111567;-11.625983;6.000000;
-16.936;-0.3800;0.032915;-0.113821;-11.544978;6.000000;
-16.826;-0.3700;0.032294;-0.116074;-11.457293;6.000000;
-16.715;-0.3600;0.031683;-0.118327;-11.362617;6.000000;
-16.604;-0.3500;0.031082;-0.120581;-11.260629;6.000000;
-16.494;-0.3400;0.030491;-0.122834;-11.150997;6.000000;
-16.383;-0.3300;0.029909;-0.125087;-11.033374;6.000000;
-16.273;-0.3200;0.029338;-0.127341;-10.907405;6.000000;
-16.162;-0.3100;0.028776;-0.129594;-10.772724;6.000000;
-16.052;-0.3000;0.028225;-0.131848;-10.628953;6.000000;
-15.941;-0.2900;0.027683;-0.134101;-10.475701;6.000000;
-15.831;-0.2800;0.027151;-0.136354;-10.312569;6.000000;
-15.720;-0.2700;0.026629;-0.138608;-10.139148;6.000000;
-15.610;-0.2600;0.026117;-0.140861;-9.955017;6.000000;
-15.499;-0.2500;0.025615;-0.143114;-9.759749;6.000000;
-15.389;-0.2400;0.025123;-0.145368;-9.552906;6.000000;
-15.278;-0.2300;0.024641;-0.147621;-9.334045;6.000000;
-15.167;-0.2200;0.024169;-0.149875;-9.102714;6.000000;
-15.057;-0.2100;0.023706;-0.152128;-8.858459;6.000000;
-14.946;-0.2000;0.023254;-0.154381;-8.600820;6.000000;
-14.836;-0.1900;0.022811;-0.156635;-8.329336;6.000000;
-14.725;-0.1800;0.022378;-0.158888;-8.043546;6.000000;
-14.615;-0.1700;0.021955;-0.161141;-7.742990;6.000000;
-14.504;-0.1600;0.021542;-0.163395;-7.427215;6.000000;
-14.394;-0.1500;0.021139;-0.165648;-7.095771;6.000000;
-14.283;-0.1400;0.020746;-0.167902;-6.748221;6.000000;
-14.173;-0.1300;0.020363;-0.170155;-6.384137;6.000000;
-14.062;-0.1200;0.019990;-0.172408;-6.003111;6.000000;
-13.951;-0.1100;0.019626;-0.174662;-5.604752;6.000000;
-13.841;-0.1000;0.019273;-0.176915;-5.188694;6.000000;
-13.730;-0.0900;0.018929;-0.179168;-4.754598;6.000000;
-13.620;-0.0800;0.018595;-0.181422;-4.302158;6.000000;
-13.509;-0.0700;0.018271;-0.183675;-3.831104;6.000000;
-13.399;-0.0600;0.017958;-0.185929;-3.341208;6.000000;
-13.288;-0.0500;0.017654;-0.188182;-2.832290;6.000000;
-13.178;-0.0400;0.017359;-0.190435;-2.304221;6.000000;
-13.067;-0.0300;0.017075;-0.192689;-1.756931;6.000000;
-12.957;-0.0200;0.016801;-0.194942;-1.190411;6.000000;
-12.846;-0.0100;0.016537;-0.197195;-0.604722;6.000000;
-12.736;0.0000;0.016282;-0.199449;0.000000;6.000000;
-12.625;0.0100;0.016037;-0.201702;0.623542;6.000000;
-12.514;0.0200;0.015803;-0.203956;1.265605;6.000000;
-12.404;0.0300;0.015578;-0.206209;1.925803;6.000000;
-12.293;0.0400;0.015363;-0.208462;2.603653;6.000000;
-12.183;0.0500;0.015158;-0.210716;3.298580;6.000000;
-12.072;0.0600;0.014963;-0.212969;4.009904;6.000000;
-11.962;0.0700;0.014778;-0.215222;4.736846;6.000000;
-11.851;0.0800;0.014602;-0.217476;5.478520;6.000000;
-11.741;0.0900;0.014437;-0.219729;6.233937;6.000000;
-11.630;0.1000;0.014282;-0.221983;7.002003;6.000000;
-11.520;0.1100;0.014136;-0.224236;7.781521;6.000000;
-11.409;0.1200;0.014000;-0.226489;8.571194;6.000000;
-11.298;0.1300;0.013875;-0.228743;9.369630;6.000000;
-11.188;0.1400;0.013759;-0.230996;10.175344;6.000000;
-11.077;0.1500;0.013653;-0.233249;10.986769;6.000000;
-10.967;0.1600;0.013557;-0.235503;11.802260;6.000000;
-10.856;0.1700;0.013471;-0.237756;12.620107;6.000000;
-10.746;0.1800;0.013394;-0.240010;13.438540;6.000000;
-10.635;0.1900;0.013328;-0.242263;14.255745;6.000000;
-10.525;0.2000;0.013272;-0.244516;15.069875;6.000000;
-10.414;0.2100;0.013225;-0.246770;15.879061;6.000000;
-10.304;0.2200;0.013188;-0.249023;16.681428;6.000000;
-10.193;0.2300;0.013162;-0.251276;17.475108;6.000000;
-10.083;0.2400;0.013145;-0.253530;18.258255;6.000000;
-9.972;0.2500;0.013138;-0.255783;19.029057;6.000000;
-9.861;0.2600;0.013141;-0.258037;19.785751;6.000000;
-9.751;0.2700;0.013154;-0.260290;20.526639;6.000000;
-9.640;0.2800;0.013176;-0.262543;21.250096;6.000000;
-9.530;0.2900;0.013209;-0.264797;21.954585;6.000000;
-9.419;0.3000;0.013252;-0.267050;22.638668;6.000000;
-9.309;0.3100;0.013304;-0.269303;23.301012;6.000000;
-9.198;0.3200;0.013367;-0.271557;23.940401;6.000000;
-9.088;0.3300;0.013439;-0.273810;24.555743;6.000000;
-8.977;0.3400;0.013521;-0.276064;25.146069;6.000000;
-8.867;0.3500;0.013613;-0.278317;25.710546;6.000000;
-8.756;0.3600;0.013715;-0.280570;26.248471;6.000000;
-8.645;0.3700;0.013827;-0.282824;26.759277;6.000000;
-8.535;0.3800;0.013949;-0.285077;27.242527;6.000000;
-8.424;0.3900;0.014080;-0.287330;27.697917;6.000000;
-8.314;0.4000;0.014222;-0.289584;28.125270;6.000000;
-8.203;0.4100;0.014374;-0.291837;28.524531;6.000000;
-8.093;0.4200;0.014535;-0.294091;28.895764;6.000000;
