# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/trimmed_designCruisePolar_078_plot.csv
AoA; C_L; C_Dtotal; C_Dind; C_Dvisc; C_Dwave; C_M; L/D; i_stab
-3.931;-0.2000;0.020565;0.003410;0.017155;0.000000;0.000000;-9.72527;0.188585;
-3.843;-0.1900;0.020389;0.003236;0.017152;0.000000;0.000000;-9.31897;0.156623;
-3.755;-0.1800;0.020219;0.003070;0.017150;0.000000;0.000000;-8.90236;0.124666;
-3.666;-0.1700;0.020057;0.002910;0.017147;0.000000;0.000000;-8.47565;0.092714;
-3.578;-0.1600;0.019903;0.002757;0.017146;0.000000;0.000000;-8.03908;0.060766;
-3.489;-0.1500;0.019755;0.002611;0.017144;0.000000;0.000000;-7.59291;0.028824;
-3.401;-0.1400;0.019618;0.002475;0.017143;0.000000;0.000000;-7.13630;-0.003085;
-3.312;-0.1300;0.019516;0.002374;0.017142;0.000000;0.000000;-6.66108;-0.034727;
-3.224;-0.1200;0.019422;0.002280;0.017141;0.000000;0.000000;-6.17864;-0.066382;
-3.136;-0.1100;0.019334;0.002193;0.017141;0.000000;0.000000;-5.68941;-0.098050;
-3.047;-0.1000;0.019254;0.002113;0.017140;0.000000;0.000000;-5.19383;-0.129730;
-2.959;-0.0900;0.019180;0.002040;0.017140;0.000000;0.000000;-4.69238;-0.161423;
-2.871;-0.0800;0.019113;0.001974;0.017140;0.000000;0.000000;-4.18554;-0.193128;
-2.782;-0.0700;0.019054;0.001914;0.017140;0.000000;0.000000;-3.67382;-0.224846;
-2.694;-0.0600;0.019001;0.001861;0.017140;0.000000;0.000000;-3.15773;-0.256577;
-2.605;-0.0500;0.018955;0.001816;0.017140;0.000000;0.000000;-2.63780;-0.288319;
-2.517;-0.0400;0.018916;0.001777;0.017140;0.000000;0.000000;-2.11458;-0.320075;
-2.429;-0.0300;0.018884;0.001745;0.017140;0.000000;0.000000;-1.58862;-0.351843;
-2.340;-0.0200;0.018859;0.001720;0.017140;0.000000;0.000000;-1.06048;-0.383623;
-2.252;-0.0100;0.018841;0.001701;0.017140;0.000000;0.000000;-0.53075;-0.415417;
-2.163;0.0000;0.018830;0.001690;0.017140;0.000000;0.000000;0.00000;-0.447222;
-2.075;0.0100;0.018825;0.001685;0.017140;0.000000;0.000000;0.53120;-0.479041;
-1.987;0.0200;0.018828;0.001688;0.017140;0.000000;0.000000;1.06226;-0.510871;
-1.898;0.0300;0.018837;0.001697;0.017140;0.000000;0.000000;1.59259;-0.542715;
-1.810;0.0400;0.018853;0.001713;0.017140;0.000000;0.000000;2.12163;-0.574571;
-1.722;0.0500;0.018877;0.001736;0.017140;0.000000;0.000000;2.64879;-0.606440;
-1.633;0.0600;0.018907;0.001766;0.017140;0.000000;0.000000;3.17350;-0.638321;
-1.545;0.0700;0.018944;0.001803;0.017140;0.000000;0.000000;3.69519;-0.670215;
-1.456;0.0800;0.018988;0.001848;0.017141;0.000000;0.000000;4.21312;-0.702122;
-1.368;0.0900;0.019040;0.001899;0.017141;0.000000;0.000000;4.72683;-0.734041;
-1.280;0.1000;0.019099;0.001958;0.017141;0.000000;0.000000;5.23589;-0.765973;
