# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/viscDrag_M020_design_-600_plot.csv
# Reynolds Number1.96357e+07
# Clean Polar
# Mach Number 0.2
AoA; C_L; C_D_visc; C_D_visc_Wing; C_D_visc_Stab; C_D_visc_Fin; C_D_visc_Fuselage; C_D_visc_Nacelles; C_D_visc_Misc;
-5.485;-0.400;0.017306;0.004433;0.000944;0.001233;0.007772;0.002339;0.000585;
-5.375;-0.390;0.017291;0.004417;0.000944;0.001233;0.007772;0.002339;0.000585;
-5.265;-0.380;0.017275;0.004402;0.000944;0.001233;0.007772;0.002339;0.000585;
-5.155;-0.370;0.017260;0.004387;0.000944;0.001233;0.007772;0.002339;0.000585;
-5.045;-0.360;0.017246;0.004372;0.000944;0.001233;0.007772;0.002339;0.000585;
-4.934;-0.350;0.017231;0.004358;0.000944;0.001233;0.007772;0.002339;0.000585;
-4.824;-0.340;0.017218;0.004344;0.000944;0.001233;0.007772;0.002339;0.000585;
-4.714;-0.330;0.017204;0.004331;0.000944;0.001233;0.007772;0.002339;0.000585;
-4.604;-0.320;0.017191;0.004318;0.000944;0.001233;0.007772;0.002339;0.000585;
-4.494;-0.310;0.017179;0.004305;0.000944;0.001233;0.007772;0.002339;0.000585;
-4.384;-0.300;0.017166;0.004293;0.000944;0.001233;0.007772;0.002339;0.000585;
-4.274;-0.290;0.017155;0.004281;0.000944;0.001233;0.007772;0.002339;0.000585;
-4.164;-0.280;0.017143;0.004270;0.000944;0.001233;0.007772;0.002339;0.000585;
-4.054;-0.270;0.017132;0.004259;0.000944;0.001233;0.007772;0.002339;0.000585;
-3.943;-0.260;0.017122;0.004248;0.000944;0.001233;0.007772;0.002339;0.000585;
-3.833;-0.250;0.017111;0.004238;0.000944;0.001233;0.007772;0.002339;0.000585;
-3.723;-0.240;0.017102;0.004228;0.000944;0.001233;0.007772;0.002339;0.000585;
-3.613;-0.230;0.017092;0.004219;0.000944;0.001233;0.007772;0.002339;0.000585;
-3.503;-0.220;0.017083;0.004210;0.000944;0.001233;0.007772;0.002339;0.000585;
-3.393;-0.210;0.017075;0.004201;0.000944;0.001233;0.007772;0.002339;0.000585;
-3.283;-0.200;0.017066;0.004193;0.000944;0.001233;0.007772;0.002339;0.000585;
-3.173;-0.190;0.017059;0.004185;0.000944;0.001233;0.007772;0.002339;0.000585;
-3.063;-0.180;0.017051;0.004178;0.000944;0.001233;0.007772;0.002339;0.000585;
-2.952;-0.170;0.017044;0.004171;0.000944;0.001233;0.007772;0.002339;0.000585;
-2.842;-0.160;0.017038;0.004164;0.000944;0.001233;0.007772;0.002339;0.000585;
-2.732;-0.150;0.017031;0.004158;0.000944;0.001233;0.007772;0.002339;0.000585;
-2.622;-0.140;0.017026;0.004152;0.000944;0.001233;0.007772;0.002339;0.000585;
-2.512;-0.130;0.017020;0.004147;0.000944;0.001233;0.007772;0.002339;0.000585;
-2.402;-0.120;0.017015;0.004142;0.000944;0.001233;0.007772;0.002339;0.000585;
