# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/viscDrag_M063_design_-600_plot.csv
# Reynolds Number22370190.012914
# Clean Polar
# Mach Number 0.630000
AoA; C_L; C_D_visc; C_D_visc_Wing; C_D_visc_Stab; C_D_visc_Fin; C_D_visc_Fuselage; C_D_visc_Nacelles; C_D_visc_Misc;
-4.877;-0.400;0.017979;0.005222;0.001100;0.001438;0.007393;0.002220;0.000607;
-4.785;-0.390;0.017954;0.005197;0.001100;0.001438;0.007393;0.002220;0.000607;
-4.693;-0.380;0.017931;0.005174;0.001100;0.001438;0.007393;0.002220;0.000607;
-4.601;-0.370;0.017910;0.005153;0.001100;0.001438;0.007393;0.002220;0.000607;
-4.509;-0.360;0.017891;0.005133;0.001100;0.001438;0.007393;0.002220;0.000607;
-4.417;-0.350;0.017873;0.005116;0.001100;0.001438;0.007393;0.002220;0.000607;
-4.325;-0.340;0.017856;0.005099;0.001100;0.001438;0.007393;0.002220;0.000607;
-4.233;-0.330;0.017841;0.005084;0.001100;0.001438;0.007393;0.002220;0.000607;
-4.140;-0.320;0.017828;0.005070;0.001100;0.001438;0.007393;0.002220;0.000607;
-4.048;-0.310;0.017815;0.005058;0.001100;0.001438;0.007393;0.002220;0.000607;
-3.956;-0.300;0.017804;0.005047;0.001100;0.001438;0.007393;0.002220;0.000607;
-3.864;-0.290;0.017793;0.005036;0.001100;0.001438;0.007393;0.002220;0.000607;
-3.772;-0.280;0.017784;0.005027;0.001100;0.001438;0.007393;0.002220;0.000607;
-3.680;-0.270;0.017776;0.005019;0.001100;0.001438;0.007393;0.002220;0.000607;
-3.588;-0.260;0.017768;0.005011;0.001100;0.001438;0.007393;0.002220;0.000607;
-3.496;-0.250;0.017762;0.005005;0.001100;0.001438;0.007393;0.002220;0.000607;
-3.403;-0.240;0.017756;0.004999;0.001100;0.001438;0.007393;0.002220;0.000607;
-3.311;-0.230;0.017751;0.004993;0.001100;0.001438;0.007393;0.002220;0.000607;
-3.219;-0.220;0.017746;0.004989;0.001100;0.001438;0.007393;0.002220;0.000607;
-3.127;-0.210;0.017742;0.004985;0.001100;0.001438;0.007393;0.002220;0.000607;
-3.035;-0.200;0.017739;0.004982;0.001100;0.001438;0.007393;0.002220;0.000607;
-2.943;-0.190;0.017736;0.004979;0.001100;0.001438;0.007393;0.002220;0.000607;
-2.851;-0.180;0.017733;0.004976;0.001100;0.001438;0.007393;0.002220;0.000607;
-2.759;-0.170;0.017731;0.004974;0.001100;0.001438;0.007393;0.002220;0.000607;
-2.667;-0.160;0.017729;0.004972;0.001100;0.001438;0.007393;0.002220;0.000607;
-2.574;-0.150;0.017728;0.004971;0.001100;0.001438;0.007393;0.002220;0.000607;
-2.482;-0.140;0.017726;0.004969;0.001100;0.001438;0.007393;0.002220;0.000607;
-2.390;-0.130;0.017726;0.004968;0.001100;0.001438;0.007393;0.002220;0.000607;
-2.298;-0.120;0.017725;0.004968;0.001100;0.001438;0.007393;0.002220;0.000607;
-2.206;-0.110;0.017724;0.004967;0.001100;0.001438;0.007393;0.002220;0.000607;
-2.114;-0.100;0.017724;0.004967;0.001100;0.001438;0.007393;0.002220;0.000607;
-2.022;-0.090;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-1.930;-0.080;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-1.838;-0.070;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-1.745;-0.060;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-1.653;-0.050;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-1.561;-0.040;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-1.469;-0.030;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-1.377;-0.020;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-1.285;-0.010;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-1.193;0.000;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-1.101;0.010;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-1.009;0.020;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-0.916;0.030;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-0.824;0.040;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-0.732;0.050;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-0.640;0.060;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-0.548;0.070;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-0.456;0.080;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-0.364;0.090;0.017723;0.004966;0.001100;0.001438;0.007393;0.002220;0.000607;
-0.272;0.100;0.017724;0.004967;0.001100;0.001438;0.007393;0.002220;0.000607;
-0.180;0.110;0.017724;0.004967;0.001100;0.001438;0.007393;0.002220;0.000607;
-0.087;0.120;0.017725;0.004968;0.001100;0.001438;0.007393;0.002220;0.000607;
0.005;0.130;0.017726;0.004968;0.001100;0.001438;0.007393;0.002220;0.000607;
0.097;0.140;0.017726;0.004969;0.001100;0.001438;0.007393;0.002220;0.000607;
0.189;0.150;0.017728;0.004971;0.001100;0.001438;0.007393;0.002220;0.000607;
0.281;0.160;0.017729;0.004972;0.001100;0.001438;0.007393;0.002220;0.000607;
0.373;0.170;0.017731;0.004974;0.001100;0.001438;0.007393;0.002220;0.000607;
0.465;0.180;0.017733;0.004976;0.001100;0.001438;0.007393;0.002220;0.000607;
0.557;0.190;0.017736;0.004979;0.001100;0.001438;0.007393;0.002220;0.000607;
0.649;0.200;0.017739;0.004982;0.001100;0.001438;0.007393;0.002220;0.000607;
0.742;0.210;0.017742;0.004985;0.001100;0.001438;0.007393;0.002220;0.000607;
0.834;0.220;0.017746;0.004989;0.001100;0.001438;0.007393;0.002220;0.000607;
0.926;0.230;0.017751;0.004993;0.001100;0.001438;0.007393;0.002220;0.000607;
1.018;0.240;0.017756;0.004999;0.001100;0.001438;0.007393;0.002220;0.000607;
1.110;0.250;0.017762;0.005005;0.001100;0.001438;0.007393;0.002220;0.000607;
1.202;0.260;0.017768;0.005011;0.001100;0.001438;0.007393;0.002220;0.000607;
1.294;0.270;0.017776;0.005019;0.001100;0.001438;0.007393;0.002220;0.000607;
1.386;0.280;0.017784;0.005027;0.001100;0.001438;0.007393;0.002220;0.000607;
1.478;0.290;0.017793;0.005036;0.001100;0.001438;0.007393;0.002220;0.000607;
1.571;0.300;0.017804;0.005047;0.001100;0.001438;0.007393;0.002220;0.000607;
1.663;0.310;0.017815;0.005058;0.001100;0.001438;0.007393;0.002220;0.000607;
1.755;0.320;0.017828;0.005070;0.001100;0.001438;0.007393;0.002220;0.000607;
1.847;0.330;0.017841;0.005084;0.001100;0.001438;0.007393;0.002220;0.000607;
1.939;0.340;0.017856;0.005099;0.001100;0.001438;0.007393;0.002220;0.000607;
2.031;0.350;0.017873;0.005116;0.001100;0.001438;0.007393;0.002220;0.000607;
2.123;0.360;0.017891;0.005133;0.001100;0.001438;0.007393;0.002220;0.000607;
2.215;0.370;0.017910;0.005153;0.001100;0.001438;0.007393;0.002220;0.000607;
2.307;0.380;0.017931;0.005174;0.001100;0.001438;0.007393;0.002220;0.000607;
2.400;0.390;0.017954;0.005197;0.001100;0.001438;0.007393;0.002220;0.000607;
2.492;0.400;0.017979;0.005222;0.001100;0.001438;0.007393;0.002220;0.000607;
2.584;0.410;0.018005;0.005248;0.001100;0.001438;0.007393;0.002220;0.000607;
2.676;0.420;0.018034;0.005277;0.001100;0.001438;0.007393;0.002220;0.000607;
2.768;0.430;0.018065;0.005307;0.001100;0.001438;0.007393;0.002220;0.000607;
2.860;0.440;0.018097;0.005340;0.001100;0.001438;0.007393;0.002220;0.000607;
2.952;0.450;0.018133;0.005376;0.001100;0.001438;0.007393;0.002220;0.000607;
3.044;0.460;0.018170;0.005413;0.001100;0.001438;0.007393;0.002220;0.000607;
3.136;0.470;0.018211;0.005453;0.001100;0.001438;0.007393;0.002220;0.000607;
3.229;0.480;0.018253;0.005496;0.001100;0.001438;0.007393;0.002220;0.000607;
3.321;0.490;0.018299;0.005542;0.001100;0.001438;0.007393;0.002220;0.000607;
3.413;0.500;0.018348;0.005591;0.001100;0.001438;0.007393;0.002220;0.000607;
3.505;0.510;0.018399;0.005642;0.001100;0.001438;0.007393;0.002220;0.000607;
3.597;0.520;0.018454;0.005697;0.001100;0.001438;0.007393;0.002220;0.000607;
3.689;0.530;0.018512;0.005755;0.001100;0.001438;0.007393;0.002220;0.000607;
3.781;0.540;0.018573;0.005816;0.001100;0.001438;0.007393;0.002220;0.000607;
3.873;0.550;0.018638;0.005881;0.001100;0.001438;0.007393;0.002220;0.000607;
3.965;0.560;0.018706;0.005949;0.001100;0.001438;0.007393;0.002220;0.000607;
4.058;0.570;0.018778;0.006021;0.001100;0.001438;0.007393;0.002220;0.000607;
4.150;0.580;0.018854;0.006097;0.001100;0.001438;0.007393;0.002220;0.000607;
4.242;0.590;0.018934;0.006177;0.001100;0.001438;0.007393;0.002220;0.000607;
4.334;0.600;0.019019;0.006262;0.001100;0.001438;0.007393;0.002220;0.000607;
4.426;0.610;0.019107;0.006350;0.001100;0.001438;0.007393;0.002220;0.000607;
4.518;0.620;0.019200;0.006443;0.001100;0.001438;0.007393;0.002220;0.000607;
4.610;0.630;0.019298;0.006541;0.001100;0.001438;0.007393;0.002220;0.000607;
4.702;0.640;0.019400;0.006643;0.001100;0.001438;0.007393;0.002220;0.000607;
4.794;0.650;0.019508;0.006751;0.001100;0.001438;0.007393;0.002220;0.000607;
4.887;0.660;0.019620;0.006863;0.001100;0.001438;0.007393;0.002220;0.000607;
4.979;0.670;0.019738;0.006981;0.001100;0.001438;0.007393;0.002220;0.000607;
5.071;0.680;0.019861;0.007104;0.001100;0.001438;0.007393;0.002220;0.000607;
5.163;0.690;0.019989;0.007232;0.001100;0.001438;0.007393;0.002220;0.000607;
5.255;0.700;0.020124;0.007367;0.001100;0.001438;0.007393;0.002220;0.000607;
5.347;0.710;0.020264;0.007507;0.001100;0.001438;0.007393;0.002220;0.000607;
5.439;0.720;0.020410;0.007653;0.001100;0.001438;0.007393;0.002220;0.000607;
5.531;0.730;0.020562;0.007805;0.001100;0.001438;0.007393;0.002220;0.000607;
5.623;0.740;0.020721;0.007964;0.001100;0.001438;0.007393;0.002220;0.000607;
5.716;0.750;0.020887;0.008130;0.001100;0.001438;0.007393;0.002220;0.000607;
5.808;0.760;0.021059;0.008302;0.001100;0.001438;0.007393;0.002220;0.000607;
5.900;0.770;0.021238;0.008481;0.001100;0.001438;0.007393;0.002220;0.000607;
5.992;0.780;0.021424;0.008667;0.001100;0.001438;0.007393;0.002220;0.000607;
6.084;0.790;0.021618;0.008861;0.001100;0.001438;0.007393;0.002220;0.000607;
6.176;0.800;0.021819;0.009062;0.001100;0.001438;0.007393;0.002220;0.000607;
6.268;0.810;0.022027;0.009270;0.001100;0.001438;0.007393;0.002220;0.000607;
6.360;0.820;0.022244;0.009487;0.001100;0.001438;0.007393;0.002220;0.000607;
6.452;0.830;0.022468;0.009711;0.001100;0.001438;0.007393;0.002220;0.000607;
6.545;0.840;0.022701;0.009944;0.001100;0.001438;0.007393;0.002220;0.000607;
6.637;0.850;0.022943;0.010186;0.001100;0.001438;0.007393;0.002220;0.000607;
6.729;0.860;0.023193;0.010436;0.001100;0.001438;0.007393;0.002220;0.000607;
6.821;0.870;0.023452;0.010694;0.001100;0.001438;0.007393;0.002220;0.000607;
6.913;0.880;0.023720;0.010962;0.001100;0.001438;0.007393;0.002220;0.000607;
7.005;0.890;0.023997;0.011240;0.001100;0.001438;0.007393;0.002220;0.000607;
7.097;0.900;0.024284;0.011527;0.001100;0.001438;0.007393;0.002220;0.000607;
7.189;0.910;0.024580;0.011823;0.001100;0.001438;0.007393;0.002220;0.000607;
