# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/viscDrag_M079_design_600_plot.csv
# Reynolds Number28051508.111431
# Clean Polar
# Mach Number 0.790000
AoA; C_L; C_D_visc; C_D_visc_Wing; C_D_visc_Stab; C_D_visc_Fin; C_D_visc_Fuselage; C_D_visc_Nacelles; C_D_visc_Misc;
-4.879;-0.200;0.017112;0.004902;0.001070;0.001418;0.007031;0.002102;0.000589;
-4.797;-0.190;0.017109;0.004899;0.001070;0.001418;0.007031;0.002102;0.000589;
-4.714;-0.180;0.017107;0.004897;0.001070;0.001418;0.007031;0.002102;0.000589;
-4.632;-0.170;0.017105;0.004895;0.001070;0.001418;0.007031;0.002102;0.000589;
-4.549;-0.160;0.017103;0.004893;0.001070;0.001418;0.007031;0.002102;0.000589;
-4.467;-0.150;0.017101;0.004891;0.001070;0.001418;0.007031;0.002102;0.000589;
-4.384;-0.140;0.017100;0.004890;0.001070;0.001418;0.007031;0.002102;0.000589;
-4.302;-0.130;0.017099;0.004889;0.001070;0.001418;0.007031;0.002102;0.000589;
-4.219;-0.120;0.017098;0.004888;0.001070;0.001418;0.007031;0.002102;0.000589;
-4.137;-0.110;0.017098;0.004888;0.001070;0.001418;0.007031;0.002102;0.000589;
-4.054;-0.100;0.017097;0.004887;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.972;-0.090;0.017097;0.004887;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.889;-0.080;0.017097;0.004887;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.807;-0.070;0.017096;0.004887;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.724;-0.060;0.017096;0.004887;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.642;-0.050;0.017096;0.004886;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.559;-0.040;0.017096;0.004886;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.477;-0.030;0.017096;0.004886;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.394;-0.020;0.017096;0.004886;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.312;-0.010;0.017096;0.004886;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.229;0.000;0.017096;0.004886;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.146;0.010;0.017096;0.004886;0.001070;0.001418;0.007031;0.002102;0.000589;
-3.064;0.020;0.017096;0.004886;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.981;0.030;0.017096;0.004886;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.899;0.040;0.017096;0.004886;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.816;0.050;0.017096;0.004886;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.734;0.060;0.017096;0.004887;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.651;0.070;0.017096;0.004887;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.569;0.080;0.017097;0.004887;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.486;0.090;0.017097;0.004887;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.404;0.100;0.017097;0.004887;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.321;0.110;0.017098;0.004888;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.239;0.120;0.017098;0.004888;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.156;0.130;0.017099;0.004889;0.001070;0.001418;0.007031;0.002102;0.000589;
-2.074;0.140;0.017100;0.004890;0.001070;0.001418;0.007031;0.002102;0.000589;
-1.991;0.150;0.017101;0.004891;0.001070;0.001418;0.007031;0.002102;0.000589;
-1.909;0.160;0.017103;0.004893;0.001070;0.001418;0.007031;0.002102;0.000589;
-1.826;0.170;0.017105;0.004895;0.001070;0.001418;0.007031;0.002102;0.000589;
-1.744;0.180;0.017107;0.004897;0.001070;0.001418;0.007031;0.002102;0.000589;
-1.661;0.190;0.017109;0.004899;0.001070;0.001418;0.007031;0.002102;0.000589;
